Wavelength (nm),P-Polarized,S-Polarized
300,0.063550934,0.106800064
301,0.01734761,0.298186123
302,0.4180336,0.741353512
303,0.024078693,0.45976904
304,0.130619973,0.089607544
305,0.019754088,0.15699403
306,0.167201221,0.180419505
307,0.286337465,0.376187176
308,0.128314689,0.225465983
309,0.314699411,0.587262094
310,0.113060288,0.386441141
311,0.48534888,0.21038565
312,0.647684813,0.380648583
313,0.12130063,0.48180759
314,0.468936652,0.049830846
315,0.185129762,0.915283442
316,0.04072994,0.581609488
317,0.275433213,0.774992526
318,0.414229244,0.758664191
319,0.395863682,1.050754189
320,0.241331801,1.441298366
321,1.040530324,2.94488883
322,0.544791877,3.542337179
323,0.64757371,3.745584488
324,1.298161864,5.530336857
325,1.888884425,6.764113903
326,1.877414227,7.533242702
327,2.462210417,7.915457249
328,3.292297602,8.909680367
329,3.89249444,9.824074745
330,4.437090397,10.48345757
331,4.548267365,10.78842068
332,4.443511486,10.38871479
333,4.013213158,9.174139977
334,4.276332855,8.739424706
335,3.539184093,7.764156818
336,3.043316126,6.501450539
337,2.697110653,5.229431152
338,2.42222929,4.515548229
339,2.164646149,4.070127964
340,1.56663084,3.086726665
341,1.235682249,2.459355116
342,1.084865212,1.909000754
343,1.281989336,1.60782361
344,0.712999046,1.625260949
345,0.601845026,1.008085489
346,0.106144346,0.249315977
347,0.435785592,1.196501493
348,0.465437859,0.819354773
349,0.387657493,0.346768796
350,0.159760058,0.456129581
351,0.350240976,0.749121845
352,0.279407352,0.555456221
353,0.04597275,0.550168455
354,0.180352509,0.073101327
355,0.210465536,0.293779552
356,0.272709251,0.165899053
357,0.202189669,0.414177358
358,0.052185498,0.320633292
359,0.162148684,0.230797455
360,0.114402339,0.382946789
361,0.167694852,0.38423717
362,0.111215606,0.273609012
363,0.131881222,0.169674993
364,0.262917042,0.494145542
365,0.253754854,0.33527267
366,0.304652154,0.402716547
367,0.178811356,0.450654477
368,0.278580278,0.517681778
369,0.268554598,0.302999079
370,0.248956814,0.395040274
371,0.296804309,0.561806202
372,0.340881705,0.530534744
373,0.470038235,0.717682838
374,0.396267176,0.682211518
375,0.490517229,0.608207762
376,0.601645112,0.825623155
377,0.640735984,0.763609767
378,0.687999249,0.915033996
379,0.847239971,1.115268469
380,0.993464232,1.274477601
381,1.103343487,1.466155767
382,1.405569434,1.804407358
383,1.598259568,2.071775913
384,1.839878201,2.32165432
385,2.111343384,2.55685401
386,2.57331109,3.146009207
387,2.978302479,3.719295263
388,3.601370335,4.262568951
389,4.196255684,4.939553261
390,4.935125351,5.833966732
391,5.7853508,6.695692062
392,6.750979424,7.670146942
393,7.830533504,8.942098618
394,9.107867241,10.30957127
395,10.49362659,11.95410633
396,12.05062008,13.66096687
397,13.74517059,15.63508987
398,15.53405952,17.65060043
399,17.4271698,19.93950844
400,19.43033981,22.29014587
401,21.414114,24.58628082
402,23.33862877,26.88618279
403,25.12766075,29.19776726
404,26.80826187,31.2784996
405,28.19926834,33.06125259
406,29.30148315,34.58346558
407,30.11127472,35.69347382
408,30.61318016,36.66613388
409,30.81410217,37.1992569
410,30.75209808,37.42528915
411,30.48145485,37.33763123
412,29.98785973,37.12942123
413,29.3994751,36.7831459
414,28.74115753,36.30444717
415,28.05015373,35.82264328
416,27.38949013,35.32095337
417,26.7934227,34.95672226
418,26.20644951,34.54994965
419,25.75740814,34.28386307
420,25.34891891,34.09609222
421,25.06400299,34.06687546
422,24.89425087,34.16833496
423,24.75183868,34.3043251
424,24.72636795,34.59241867
425,24.77116966,34.96302032
426,24.89513397,35.45137787
427,25.11153603,36.03715515
428,25.39589691,36.78468704
429,25.75439453,37.55897903
430,26.14080238,38.45910645
431,26.63191795,39.45029831
432,27.15856743,40.54241943
433,27.72177124,41.64281082
434,28.31615829,42.8337059
435,28.9624691,44.06983566
436,29.63072014,45.36432266
437,30.31214523,46.66827774
438,30.99447823,47.98207855
439,31.66200447,49.25945282
440,32.35262299,50.55223846
441,32.9572258,51.77081299
442,33.56045151,52.94032288
443,34.12054825,54.00329208
444,34.61172104,54.93972397
445,35.00954056,55.78367233
446,35.36555481,56.49523926
447,35.61552811,57.03535843
448,35.78743744,57.45632172
449,35.87061691,57.71601105
450,35.87407684,57.85181046
451,35.78063965,57.7603035
452,35.61773682,57.63351822
453,35.3973465,57.3379097
454,35.09815216,56.95166779
455,34.74906921,56.44696426
456,34.35777283,55.87141418
457,33.94026947,55.23651123
458,33.50649643,54.57816696
459,33.04664612,53.87259674
460,32.59148026,53.19567871
461,32.13549423,52.4633522
462,31.69324112,51.73438263
463,31.26507187,51.06777954
464,30.84881592,50.39061737
465,30.47594643,49.75812531
466,30.12504005,49.17748642
467,29.79687119,48.66257858
468,29.5289669,48.15482712
469,29.2724781,47.73145676
470,29.06443405,47.39929581
471,28.88016129,47.04499435
