Wavelength (nm),P-Polarized,S-Polarized
300,0.419119835,0.030728197
301,0.213975012,0.187737182
302,0.557929277,0.224631906
303,0.134851977,0.269116759
304,0.07326813,0.003108725
305,0.240083084,0.098572046
306,0.168353811,0.613669515
307,0.01052627,0.006271863
308,0.255990833,0.045206852
309,0.067177996,0.135591969
310,0.235379607,0.157993287
311,0.268158406,0.103602096
312,0.408604682,0.315189958
313,0.083598614,0.183494359
314,0.456152856,0.126484275
315,0.21332705,0.21312958
316,0.207517296,0.382899642
317,0.273925871,0.57096827
318,0.159363776,0.035457
319,0.065050393,0.218340129
320,0.163989887,0.833550751
321,0.785493553,1.297691703
322,0.706996262,0.843843937
323,0.813771009,0.70371747
324,0.766931832,1.909141421
325,1.333368182,1.98972261
326,0.91134876,2.024107695
327,0.625781238,1.634274006
328,1.212680817,1.97245574
329,1.309536815,1.744473219
330,1.471082687,1.889465809
331,1.684467673,2.170214891
332,1.307275295,1.572923899
333,1.178821325,1.248279572
334,1.102216482,1.327791572
335,1.077993989,1.101291299
336,0.679302752,0.739823043
337,0.680637062,0.449345678
338,0.615735829,0.816251516
339,0.723955154,0.996355355
340,0.516731262,0.29185912
341,0.412708104,0.380058169
342,0.256129533,0.287923962
343,0.38525489,0.32746017
344,0.287821412,0.374651104
345,0.214684844,0.18445389
346,0.122143582,0.139357328
347,0.318908095,0.270881653
348,0.213985488,0.306892723
349,0.064743184,0.22539939
350,0.000433131,0.031486697
351,0.105305761,0.329560787
352,0.101229757,0.154971182
353,0.135647804,0.189041898
354,0.092971399,0.013485621
355,0.169744223,0.04695436
356,0.043761432,0.207958296
357,0.093185544,0.192854926
358,0.076667175,0.015939986
359,0.088650346,0.052290339
360,0.184880003,0.066246085
361,0.186713353,0.315147787
362,0.089566939,0.13652207
363,0.183933243,0.141609103
364,0.181300759,0.258551389
365,0.13284047,0.000154363
366,0.151188806,0.046710409
367,0.168288901,0.194607332
368,0.281218439,0.336387366
369,0.245930284,0.185641542
370,0.271359056,0.199117005
371,0.317565143,0.339489162
372,0.291449428,0.347502589
373,0.450859457,0.447213888
374,0.46193096,0.318171293
375,0.433033973,0.497567654
376,0.676953375,0.569888294
377,0.630495787,0.588888049
378,0.793800414,0.66488415
379,0.973128736,0.906152368
380,1.139481664,1.021960616
381,1.428393364,1.058854342
382,1.749680161,1.477172732
383,2.170119762,1.854257107
384,2.553723812,2.235868692
385,3.010997295,2.672355175
386,3.793992043,3.144982338
387,4.567616463,3.993620396
388,5.537530422,4.833980083
389,6.616304874,5.745313168
390,8.080695152,7.063347816
391,9.686664581,8.538359642
392,11.60407925,10.18010235
393,13.83334732,12.2868576
394,16.47584724,14.69707966
395,19.43276215,17.41179657
396,22.77894974,20.37308693
397,26.43425751,23.7409935
398,30.35934258,27.19188309
399,34.4209404,30.94026375
400,38.55672073,34.63264847
401,42.64916992,38.18383408
402,46.36300659,41.47885513
403,49.64660645,44.28848267
404,52.42290497,46.70396423
405,54.5018959,48.31400681
406,55.85647964,49.32307053
407,56.5860405,49.70332336
408,56.69454956,49.61279297
409,56.29137802,48.89550018
410,55.53596115,47.9644928
411,54.46302414,46.7062645
412,53.23239517,45.34546661
413,51.94446945,43.82740402
414,50.64791489,42.39120483
415,49.42141724,40.94451523
416,48.27874374,39.62667465
417,47.31696701,38.48641586
418,46.42966461,37.40010071
419,45.74374008,36.48423386
420,45.19518661,35.68553162
421,44.83815384,35.04188156
422,44.62391281,34.52749252
423,44.55545425,34.08075333
424,44.60651016,33.805336
425,44.83815384,33.5764122
426,45.16934967,33.53006744
427,45.6280632,33.53984451
428,46.18994141,33.66807556
429,46.86439514,33.80389786
430,47.61320496,33.97842026
431,48.43917084,34.23872375
432,49.34592819,34.52162552
433,50.25450134,34.80021667
434,51.23696136,35.11632538
435,52.22107697,35.44329453
436,53.21136093,35.74450684
437,54.15581512,36.04572678
438,55.05944061,36.30659103
439,55.89834976,36.4995575
440,56.64626312,36.68435287
441,57.32543945,36.79576111
442,57.86195374,36.81941223
443,58.30073547,36.75311279
444,58.56825638,36.6610527
445,58.67764282,36.40065002
446,58.66072083,36.13667297
447,58.4624939,35.76586533
448,58.14058685,35.32123566
449,57.68039703,34.79354858
450,57.05948639,34.23184204
451,56.42684174,33.58688354
452,55.62338257,32.94008255
453,54.7193985,32.22913361
454,53.86926651,31.48041344
455,52.90833282,30.78179741
456,51.8998642,30.03783226
457,50.90417099,29.31163406
458,49.91897964,28.61514664
459,48.93527603,27.90883255
460,48.00295639,27.26011658
461,47.09606934,26.64757347
462,46.23131943,26.05805779
463,45.42457199,25.5352459
464,44.66152573,25.00419044
465,43.96111298,24.54567337
466,43.32822037,24.15658569
467,42.74814987,23.77691269
468,42.2589035,23.43927574
469,41.80725098,23.14139175
470,41.44664001,22.91875839
471,41.11488724,22.70987701
472,40.8614769,22.58004761
473,40.71661377,22.43957901
474,40.59562683,22.36008644
475,40.53478241,22.27414322
476,40.53232193,22.27675819
477,40.58048248,22.28154564
478,40.70072937,22.35746384
479,40.89717484,22.42758942
480,41.11452866,22.56408691
481,41.40002823,22.68687439
482,41.74427414,22.84794617
483,42.10700226,23.03146362
484,42.5377655,23.22447014
485,43.0024147,23.46729469
486,43.51194763,23.72644234
487,44.04953003,23.98867226
488,44.62379074,24.27833939
489,45.21732712,24.59156036
490,45.85168076,24.9118309
491,46.49246979,25.22549248
492,47.12740326,25.55632973
493,47.77877808,25.88702774
494,48.44850922,26.22665215
495,49.07365799,26.54853821
496,49.69300079,26.87301254
497,50.29794693,27.20943451
498,50.85484314,27.48058701
499,51.36481094,27.75571632
500,51.81968307,28.0277462
501,52.21646881,28.23275566
502,52.53822708,28.43325424
503,52.7869873,28.59282494
504,52.9489212,28.70124817
505,53.02230835,28.75889015
506,53.02005386,28.79719162
507,52.92368698,28.76523781
508,52.70425034,28.69334221
509,52.39454651,28.57100296
510,51.98422241,28.38456917
511,51.48045349,28.15545845
512,50.87678909,27.88307571
513,50.19346619,27.54574966
514,49.4505043,27.20581055
515,48.6042366,26.79495811
516,47.71538544,26.33986092
517,46.75120163,25.87875938
518,45.7697258,25.39996529
519,44.73700714,24.87417221
520,43.67367554,24.32561302
521,42.60378647,23.77897453
522,41.52955627,23.23349953
523,40.43525314,22.69685555
524,39.35865021,22.16176987
525,38.28760529,21.65099525
526,37.23591995,21.11040306
527,36.2002449,20.60370064
528,35.18906021,20.11857796
529,34.21332932,19.62207031
530,33.26953125,19.17148399
531,32.3480835,18.71422195
532,31.47114754,18.28774071
533,30.62685204,17.89559364
534,29.81759644,17.50746346
535,29.03788376,17.14283752
536,28.30013275,16.80360222
537,27.61181259,16.48679733
538,26.93611717,16.17750168
539,26.29689026,15.88939476
540,25.712183,15.62913799
541,25.14373016,15.37029171
542,24.60195351,15.1244936
543,24.1072998,14.92143822
544,23.61724663,14.708951
545,23.17558479,14.52412415
546,22.75745201,14.3701973
547,22.3663063,14.19878578
548,21.99032974,14.05071068
549,21.65575218,13.93212986
