depth,r,g,b
0.0,-163.05856,-153.12578,-144.48814
0.10000000149011612,-176.65196,-171.24727,-165.86134
5.0,-0.30802226,-0.6063108,-0.19235754
10.0,13.027182,9.645424,12.814417
15.0,2.1178005,1.9587128,2.1886716
20.0,1.7128371,1.5779059,1.8042964
25.0,2.2296507,2.0015814,2.3399627
30.0,2.0220432,1.8034834,2.1130002
40.0,0.7766554,0.6494294,0.81398785
50.0,0.6980769,0.63402385,0.871943
60.0,0.7689807,0.76803315,1.1136045
70.0,0.31967065,0.3424752,0.44179228
80.0,0.16002074,0.1652367,0.2595643
90.0,0.19517267,0.04475903,0.17196809
