,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.87677,1.0951,3.7805,2.0082,1.7723,480.0,480.0,480.0,480.0,0.85589,1.069,3.6344,1.9139,1.7205,540.0,540.0,540.0,540.0,0.82646,1.034,3.4741,1.8189,1.6552,600.0,600.0,600.0,600.0,0.0
1,0.0,0.87677,1.0951,3.7805,2.0082,1.7723,0.3,250.0,9.0575,-0.85151,0.85589,1.069,3.6344,1.9139,1.7205,0.3,250.0,9.0575,-2.603,0.82646,1.034,3.4741,1.8189,1.6552,0.3,250.0,9.0575,-3.8079,0.85
2,0.01,0.81332,1.0199,3.7628,2.0705,1.6924,0.3,250.0,9.0575,9.1382,0.79695,0.99855,3.6903,2.0313,1.659,0.3,250.0,9.0575,9.2444,0.77108,0.96746,3.5767,1.9707,1.6061,0.3,250.0,9.0575,9.3693,0.85
3,0.02,0.7424,0.93829,3.3863,1.8511,1.5353,0.3,250.0,9.0575,7.5572,0.72685,0.91798,3.3157,1.8125,1.5032,0.3,250.0,9.0575,7.5897,0.70223,0.88848,3.2079,1.7549,1.4529,0.3,250.0,9.0575,7.6671,0.85
4,0.03,0.68644,0.87258,3.1204,1.7034,1.417,0.3,250.0,9.0575,7.0341,0.67199,0.85358,3.0538,1.6667,1.3871,0.3,250.0,9.0575,7.0318,0.64857,0.82559,2.9513,1.612,1.3393,0.3,250.0,9.0575,7.092,0.85
5,0.04,0.63658,0.81371,2.897,1.5829,1.3142,0.3,250.0,9.0575,6.9691,0.6233,0.79606,2.8354,1.5488,1.2866,0.3,250.0,9.0575,6.9549,0.60101,0.76951,2.7379,1.4968,1.2411,0.3,250.0,9.0575,7.0136,0.85
6,0.05,0.58996,0.7587,2.6925,1.4737,1.2188,0.3,250.0,9.0575,7.0506,0.57782,0.74238,2.6357,1.4422,1.1935,0.3,250.0,9.0575,7.0299,0.55659,0.71717,2.543,1.3928,1.1502,0.3,250.0,9.0575,7.096,0.85
7,0.06,0.54567,0.70663,2.4997,1.3713,1.1284,0.3,250.0,9.0575,7.1897,0.53465,0.69158,2.4476,1.3422,1.1054,0.3,250.0,9.0575,7.1655,0.5144,0.66763,2.3594,1.2953,1.0641,0.3,250.0,9.0575,7.2413,0.85
8,0.07,0.50337,0.65711,2.3163,1.2741,1.0422,0.3,250.0,9.0575,7.3646,0.49342,0.64329,2.2688,1.2474,1.0214,0.3,250.0,9.0575,7.3356,0.47409,0.6205,2.1848,1.2028,0.98194,0.3,250.0,9.0575,7.4223,0.85
9,0.08,0.46285,0.6099,2.1411,1.1815,0.95965,0.3,250.0,9.0575,7.5708,0.45394,0.59726,2.0981,1.1571,0.94097,0.3,250.0,9.0575,7.5374,0.43546,0.57557,2.0179,1.1146,0.90329,0.3,250.0,9.0575,7.6392,0.85
10,0.09,0.42395,0.56484,1.9735,1.093,0.88051,0.3,250.0,9.0575,7.8123,0.41606,0.55332,1.9348,1.0709,0.86387,0.3,250.0,9.0575,7.7738,0.39835,0.53265,1.8582,1.0304,0.82781,0.3,250.0,9.0575,7.8912,0.85
11,0.1,0.38654,0.52174,1.8128,1.0084,0.80445,0.3,250.0,9.0575,8.0947,0.37963,0.51132,1.7783,0.98845,0.7898,0.3,250.0,9.0575,8.0494,0.36264,0.4916,1.705,0.94975,0.75523,0.3,250.0,9.0575,8.1874,0.85
12,0.11,0.35047,0.48047,1.6585,0.92729,0.7312,0.3,250.0,9.0575,8.4276,0.34452,0.47111,1.6279,0.90944,0.71849,0.3,250.0,9.0575,8.3737,0.3282,0.45226,1.5577,0.87243,0.68529,0.3,250.0,9.0575,8.5374,0.85
13,0.12,0.31563,0.44088,1.5099,0.84943,0.66051,0.3,250.0,9.0575,8.8211,0.31062,0.43255,1.4833,0.8336,0.64969,0.3,250.0,9.0575,8.7572,0.2949,0.4145,1.4159,0.79816,0.61775,0.3,250.0,9.0575,8.9509,0.85
14,0.13,0.2819,0.40283,1.3667,0.77454,0.59212,0.3,250.0,9.0575,9.2917,0.27781,0.39549,1.3438,0.76068,0.58316,0.3,250.0,9.0575,9.2143,0.26263,0.3782,1.279,0.72668,0.55236,0.3,250.0,9.0575,9.4479,0.85
15,0.14,0.24915,0.36619,1.2281,0.70235,0.5258,0.3,250.0,9.0575,9.8574,0.24596,0.35982,1.2091,0.69041,0.51867,0.3,250.0,9.0575,9.7636,0.23129,0.34321,1.1466,0.65773,0.48891,0.3,250.0,9.0575,10.046,0.85
16,0.15,0.21727,0.33083,1.0939,0.63261,0.46132,0.3,250.0,9.0575,10.547,0.21498,0.3254,1.0785,0.62255,0.45599,0.3,250.0,9.0575,10.433,0.20074,0.30942,1.0182,0.59109,0.42715,0.3,250.0,9.0575,10.779,0.85
17,0.16,0.18614,0.29662,0.96352,0.56509,0.39843,0.3,250.0,9.0575,11.399,0.18474,0.29212,0.95176,0.55687,0.39489,0.3,250.0,9.0575,11.258,0.1709,0.27671,0.89338,0.5265,0.36688,0.3,250.0,9.0575,11.69,0.85
18,0.17,0.15566,0.26344,0.83642,0.49951,0.3369,0.3,250.0,9.0575,12.476,0.15514,0.25986,0.82824,0.49311,0.33513,0.3,250.0,9.0575,12.296,0.14165,0.24497,0.77158,0.46373,0.30785,0.3,250.0,9.0575,12.849,0.85
19,0.18,0.1257,0.23115,0.71201,0.43561,0.2764,0.3,250.0,9.0575,13.879,0.12606,0.22847,0.70741,0.43101,0.2764,0.3,250.0,9.0575,13.643,0.11287,0.21404,0.65224,0.40251,0.24973,0.3,250.0,9.0575,14.365,0.85
20,0.19,0.096065,0.19957,0.58914,0.37292,0.21622,0.3,250.0,9.0575,15.825,0.097321,0.19779,0.58814,0.37012,0.21802,0.3,250.0,9.0575,15.504,0.084358,0.18376,0.53415,0.34236,0.1918,0.3,250.0,9.0575,16.503,0.85
