,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.86749,1.0951,3.7667,2.0082,1.7585,480.0,480.0,480.0,0.85562,1.069,3.6368,1.9139,1.7229,540.0,540.0,540.0,0.81901,1.034,3.4637,1.8189,1.6448,600.0,600.0,600.0
1,0.0,0.86749,1.0951,3.7667,2.0082,1.7585,0.05,125.0,4.5288,0.85562,1.069,3.6368,1.9139,1.7229,0.01,125.0,4.5288,0.81901,1.034,3.4637,1.8189,1.6448,0.03,125.0,4.5288
2,0.01,0.8436,1.0692,3.954,2.1895,1.7645,0.05,125.0,4.5288,0.83658,1.0496,3.9022,2.1539,1.7483,0.01,125.0,4.5288,0.80191,1.0158,3.7632,2.0847,1.6784,0.03,125.0,4.5288
3,0.02,0.79671,1.0204,3.7359,2.07,1.6659,0.05,125.0,4.5288,0.79067,1.0033,3.694,2.0415,1.6525,0.01,125.0,4.5288,0.75633,0.96907,3.5564,1.9729,1.5835,0.03,125.0,4.5288
4,0.03,0.75403,0.97592,3.5175,1.9453,1.5722,0.05,125.0,4.5288,0.74855,0.96078,3.48,1.9198,1.5601,0.01,125.0,4.5288,0.71449,0.92621,3.3421,1.8506,1.4915,0.03,125.0,4.5288
5,0.04,0.71642,0.9366,3.3358,1.8443,1.4916,0.05,125.0,4.5288,0.71143,0.92332,3.3021,1.8215,1.4806,0.01,125.0,4.5288,0.67775,0.88849,3.1644,1.7518,1.4126,0.03,125.0,4.5288
6,0.05,0.68199,0.90055,3.1797,1.7601,1.4196,0.05,125.0,4.5288,0.67741,0.88898,3.1497,1.74,1.4097,0.01,125.0,4.5288,0.6442,0.85401,3.0126,1.6701,1.3424,0.03,125.0,4.5288
7,0.06,0.64937,0.86637,3.0382,1.6856,1.3526,0.05,125.0,4.5288,0.64509,0.85636,3.0116,1.6681,1.3435,0.01,125.0,4.5288,0.61243,0.82136,2.8755,1.5983,1.2772,0.03,125.0,4.5288
8,0.07,0.61778,0.8333,2.9048,1.6165,1.2883,0.05,125.0,4.5288,0.61368,0.82465,2.881,1.6012,1.2798,0.01,125.0,4.5288,0.58164,0.78973,2.7464,1.5317,1.2147,0.03,125.0,4.5288
9,0.08,0.58681,0.80091,2.776,1.5503,1.2257,0.05,125.0,4.5288,0.58276,0.79345,2.7545,1.537,1.2175,0.01,125.0,4.5288,0.55141,0.75869,2.6216,1.468,1.1536,0.03,125.0,4.5288
10,0.09,0.55624,0.76899,2.6499,1.4859,1.164,0.05,125.0,4.5288,0.55211,0.76253,2.6302,1.4743,1.1559,0.01,125.0,4.5288,0.52151,0.72802,2.4994,1.4059,1.0934,0.03,125.0,4.5288
11,0.1,0.52596,0.73741,2.5257,1.4226,1.1031,0.05,125.0,4.5288,0.52162,0.73178,2.5071,1.4124,1.0948,0.01,125.0,4.5288,0.49183,0.69761,2.3786,1.3448,1.0338,0.03,125.0,4.5288
12,0.11,0.49589,0.7061,2.4027,1.3601,1.0426,0.05,125.0,4.5288,0.49122,0.70113,2.3847,1.3509,1.0339,0.01,125.0,4.5288,0.4623,0.66738,2.2588,1.2843,0.97454,0.03,125.0,4.5288
13,0.12,0.46599,0.67504,2.2807,1.2981,0.98256,0.05,125.0,4.5288,0.46088,0.67056,2.2627,1.2897,0.97309,0.01,125.0,4.5288,0.43288,0.63731,2.1397,1.2241,0.91552,0.03,125.0,4.5288
14,0.13,0.43625,0.64419,2.1595,1.2366,0.92281,0.05,125.0,4.5288,0.43059,0.64005,2.141,1.2286,0.91242,0.01,125.0,4.5288,0.40355,0.60735,2.021,1.1643,0.85671,0.03,125.0,4.5288
15,0.14,0.40664,0.61352,2.0389,1.1756,0.86333,0.05,125.0,4.5288,0.40032,0.60958,2.0195,1.1677,0.85181,0.01,125.0,4.5288,0.3743,0.57752,1.9028,1.1048,0.79804,0.03,125.0,4.5288
16,0.15,0.37715,0.58304,1.9189,1.1149,0.80408,0.05,125.0,4.5288,0.37008,0.57914,1.898,1.1068,0.79121,0.01,125.0,4.5288,0.34511,0.54777,1.7849,1.0454,0.73948,0.03,125.0,4.5288
17,0.16,0.34775,0.55271,1.7994,1.0544,0.74498,0.05,125.0,4.5288,0.33984,0.54872,1.7766,1.046,0.73056,0.01,125.0,4.5288,0.31597,0.51811,1.6672,0.98621,0.68096,0.03,125.0,4.5288
18,0.17,0.31842,0.52252,1.6802,0.99425,0.68593,0.05,125.0,4.5288,0.30959,0.51829,1.6549,0.98513,0.66975,0.01,125.0,4.5288,0.28685,0.48851,1.5494,0.92708,0.62236,0.03,125.0,4.5288
19,0.18,0.28913,0.49241,1.5609,0.93417,0.6267,0.05,125.0,4.5288,0.27929,0.48783,1.5327,0.92412,0.60854,0.01,125.0,4.5288,0.25771,0.45892,1.4313,0.86791,0.56343,0.03,125.0,4.5288
20,0.19,0.25978,0.46231,1.4406,0.87393,0.56671,0.05,125.0,4.5288,0.24883,0.45723,1.4089,0.86266,0.54627,0.01,125.0,4.5288,0.22845,0.42925,1.3119,0.8084,0.50353,0.03,125.0,4.5288
