,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
0,0.0,0.10768,0.11663,0.42419,0.21102,0.21317,480.0,480.0,480.0,0.098955,0.10758,0.39063,0.19464,0.19599,540.0,540.0,540.0,0.09055,0.098604,0.35779,0.17841,0.17938,600.0,600.0,600.0,0.0
1,0.0,0.10768,0.11663,0.42419,0.21102,0.21317,0.08,1300.0,36.543,0.098955,0.10758,0.39063,0.19464,0.19599,0.1,1300.0,36.543,0.09055,0.098604,0.35779,0.17841,0.17938,0.1,1300.0,36.543,0.88
2,0.01,0.10002,0.10862,0.41722,0.2151,0.20212,0.08,1300.0,36.543,0.09152,0.09974,0.38244,0.19742,0.18502,0.1,1300.0,36.543,0.083544,0.091231,0.34948,0.18054,0.16894,0.1,1300.0,36.543,0.88
3,0.02,0.089938,0.09822,0.37627,0.19439,0.18188,0.08,1300.0,36.543,0.081946,0.089802,0.34344,0.17765,0.16579,0.1,1300.0,36.543,0.074581,0.081937,0.31299,0.16205,0.15094,0.1,1300.0,36.543,0.88
4,0.03,0.080198,0.088195,0.33674,0.17441,0.16233,0.08,1300.0,36.543,0.072766,0.080297,0.30608,0.15872,0.14735,0.1,1300.0,36.543,0.065977,0.073037,0.27798,0.14432,0.13366,0.1,1300.0,36.543,0.88
5,0.04,0.070771,0.078512,0.29853,0.15511,0.14342,0.08,1300.0,36.543,0.06394,0.071183,0.2702,0.14057,0.12963,0.1,1300.0,36.543,0.057694,0.064493,0.24434,0.1273,0.11703,0.1,1300.0,36.543,0.88
6,0.05,0.061619,0.069136,0.26148,0.13641,0.12506,0.08,1300.0,36.543,0.055426,0.062416,0.23564,0.1231,0.11254,0.1,1300.0,36.543,0.049693,0.056263,0.21188,0.1109,0.10098,0.1,1300.0,36.543,0.88
7,0.06,0.052707,0.06003,0.22545,0.11825,0.10719,0.08,1300.0,36.543,0.047181,0.053952,0.20223,0.10623,0.096005,0.1,1300.0,36.543,0.041933,0.048306,0.18045,0.095037,0.085412,0.1,1300.0,36.543,0.88
8,0.07,0.044001,0.051157,0.19029,0.10055,0.089743,0.08,1300.0,36.543,0.039166,0.045751,0.16981,0.089874,0.079932,0.1,1300.0,36.543,0.034377,0.040585,0.1499,0.079637,0.070263,0.1,1300.0,36.543,0.88
9,0.08,0.035466,0.042483,0.15588,0.083237,0.072641,0.08,1300.0,36.543,0.031342,0.037772,0.13821,0.073958,0.064248,0.1,1300.0,36.543,0.026988,0.033061,0.12008,0.064625,0.055455,0.1,1300.0,36.543,0.88
10,0.09,0.027069,0.033975,0.12207,0.06625,0.055823,0.08,1300.0,36.543,0.02367,0.029978,0.10728,0.058401,0.048877,0.1,1300.0,36.543,0.019731,0.025699,0.090845,0.049928,0.040917,0.1,1300.0,36.543,0.88
11,0.1,0.01907,0.025886,0.089797,0.050074,0.039723,0.1,350.0,9.8385,0.016379,0.022591,0.077839,0.043635,0.034204,0.1,350.0,9.8385,0.012821,0.018706,0.062942,0.035942,0.027,0.15,350.0,9.8385,0.96
12,0.11,0.018326,0.025054,0.086641,0.048427,0.038215,0.1,350.0,3.024,0.015701,0.021836,0.074969,0.04214,0.032829,0.1,350.0,3.024,0.012185,0.017978,0.060202,0.034498,0.025704,0.15,350.0,3.024,0.96
13,0.12,0.017594,0.024237,0.083539,0.046809,0.036731,0.1,350.0,3.024,0.015031,0.021093,0.072141,0.040669,0.031472,0.1,350.0,3.024,0.011561,0.017265,0.057526,0.03309,0.024436,0.15,350.0,3.024,0.96
14,0.13,0.016871,0.023432,0.080483,0.045217,0.035266,0.1,350.0,3.024,0.014369,0.02036,0.069351,0.039219,0.030132,0.1,350.0,3.024,0.010945,0.016565,0.054896,0.03171,0.023186,0.15,350.0,3.024,0.96
15,0.14,0.016156,0.022638,0.077466,0.043648,0.033817,0.1,350.0,3.024,0.013713,0.019636,0.066595,0.037789,0.028806,0.1,350.0,3.024,0.010338,0.015877,0.052308,0.030355,0.021953,0.15,350.0,3.024,0.96
16,0.15,0.015448,0.021854,0.074484,0.0421,0.032384,0.1,350.0,3.024,0.013064,0.018922,0.063869,0.036377,0.027492,0.1,350.0,3.024,0.0097373,0.0152,0.049756,0.029021,0.020735,0.15,350.0,3.024,0.96
17,0.16,0.014747,0.02108,0.071536,0.040572,0.030964,0.1,350.0,3.024,0.012421,0.018216,0.061171,0.034982,0.026189,0.1,350.0,3.024,0.0091434,0.014534,0.047236,0.027707,0.019529,0.15,350.0,3.024,0.96
18,0.17,0.014052,0.020315,0.068615,0.03906,0.029555,0.1,350.0,3.024,0.011782,0.017518,0.058496,0.033601,0.024895,0.1,350.0,3.024,0.0085552,0.013877,0.044743,0.02641,0.018332,0.15,350.0,3.024,0.96
19,0.18,0.013363,0.019559,0.065716,0.037563,0.028153,0.1,350.0,3.024,0.011148,0.016827,0.055836,0.032231,0.023604,0.1,350.0,3.024,0.0079714,0.013228,0.042266,0.025127,0.017139,0.15,350.0,3.024,0.96
20,0.19,0.012677,0.018809,0.06282,0.036075,0.026745,0.1,350.0,3.024,0.010517,0.016141,0.053173,0.030868,0.022305,0.1,350.0,3.024,0.0073898,0.012584,0.039786,0.023852,0.015934,0.15,350.0,3.024,0.96
21,0.2,0.011989,0.018058,0.059829,0.034567,0.025262,0.12,350.0,3.024,0.0098807,0.015452,0.050401,0.029478,0.020923,0.15,350.0,3.024,0.0068026,0.011938,0.037177,0.022544,0.014633,0.25,350.0,3.024,0.99
22,0.21,0.011824,0.017823,0.059004,0.034092,0.024912,0.12,350.0,0.735,0.0097323,0.015228,0.049626,0.029024,0.020603,0.15,350.0,0.735,0.0066723,0.011715,0.036428,0.022085,0.014343,0.25,350.0,0.735,0.99
23,0.22,0.011663,0.017591,0.058205,0.033634,0.024571,0.12,350.0,0.735,0.0095877,0.01501,0.048884,0.02859,0.020294,0.15,350.0,0.735,0.0065465,0.011499,0.035724,0.021656,0.014069,0.25,350.0,0.735,0.99
24,0.23,0.011505,0.017363,0.057424,0.033186,0.024237,0.12,350.0,0.735,0.0094458,0.014795,0.048161,0.028169,0.019993,0.15,350.0,0.735,0.006424,0.011288,0.035045,0.021243,0.013802,0.25,350.0,0.735,0.99
25,0.24,0.011348,0.017138,0.056656,0.032748,0.023908,0.12,350.0,0.735,0.0093063,0.014584,0.047454,0.027757,0.019697,0.15,350.0,0.735,0.0063043,0.011082,0.034387,0.020843,0.013544,0.25,350.0,0.735,0.99
26,0.25,0.011194,0.016916,0.055901,0.032316,0.023585,0.12,350.0,0.735,0.0091689,0.014376,0.04676,0.027354,0.019406,0.15,350.0,0.735,0.0061873,0.01088,0.033745,0.020454,0.013291,0.25,350.0,0.735,0.99
27,0.26,0.011041,0.016697,0.055157,0.031892,0.023265,0.12,350.0,0.735,0.0090337,0.014171,0.046078,0.026958,0.019121,0.15,350.0,0.735,0.0060726,0.010681,0.033118,0.020074,0.013044,0.25,350.0,0.735,0.99
28,0.27,0.010891,0.016481,0.054424,0.031474,0.02295,0.12,350.0,0.735,0.0089004,0.013969,0.045408,0.026569,0.018839,0.15,350.0,0.735,0.0059602,0.010487,0.032505,0.019704,0.012802,0.25,350.0,0.735,0.99
29,0.28,0.010742,0.016268,0.0537,0.031062,0.022639,0.12,350.0,0.735,0.0087691,0.01377,0.044748,0.026186,0.018562,0.15,350.0,0.735,0.0058501,0.010296,0.031906,0.019341,0.012565,0.25,350.0,0.735,0.99
30,0.29,0.010595,0.016057,0.052987,0.030655,0.022331,0.12,350.0,0.735,0.0086396,0.013574,0.044098,0.025809,0.018289,0.15,350.0,0.735,0.005742,0.010109,0.031318,0.018986,0.012333,0.25,350.0,0.735,0.99
31,0.3,0.01045,0.015849,0.052282,0.030254,0.022028,0.12,350.0,0.735,0.0085119,0.013381,0.043459,0.025439,0.01802,0.15,350.0,0.735,0.005636,0.0099258,0.030743,0.018638,0.012105,0.25,350.0,0.735,0.99
32,0.31,0.010307,0.015643,0.051586,0.029858,0.021728,0.12,350.0,0.735,0.0083859,0.01319,0.042828,0.025073,0.017754,0.15,350.0,0.735,0.0055319,0.0097456,0.030179,0.018297,0.011882,0.25,350.0,0.735,0.99
33,0.32,0.010165,0.01544,0.050899,0.029467,0.021432,0.12,350.0,0.735,0.0082616,0.013002,0.042206,0.024714,0.017493,0.15,350.0,0.735,0.0054298,0.0095687,0.029625,0.017963,0.011663,0.25,350.0,0.735,0.99
34,0.33,0.010025,0.015239,0.05022,0.029081,0.021139,0.12,350.0,0.735,0.008139,0.012817,0.041593,0.024359,0.017235,0.15,350.0,0.735,0.0053295,0.0093951,0.029083,0.017635,0.011448,0.25,350.0,0.735,0.99
35,0.34,0.0098867,0.015041,0.04955,0.0287,0.02085,0.12,350.0,0.735,0.0080181,0.012634,0.040989,0.024009,0.01698,0.15,350.0,0.735,0.0052311,0.0092246,0.02855,0.017314,0.011236,0.25,350.0,0.735,0.99
36,0.35,0.0097498,0.014845,0.048887,0.028324,0.020563,0.12,350.0,0.735,0.0078987,0.012453,0.040393,0.023665,0.016729,0.15,350.0,0.735,0.0051344,0.0090572,0.028027,0.016998,0.011029,0.25,350.0,0.735,0.99
37,0.36,0.0096144,0.014651,0.048233,0.027952,0.020281,0.12,350.0,0.735,0.0077809,0.012275,0.039806,0.023325,0.016481,0.15,350.0,0.735,0.0050394,0.0088928,0.027514,0.016688,0.010826,0.25,350.0,0.735,0.99
38,0.37,0.0094805,0.01446,0.047586,0.027584,0.020001,0.12,350.0,0.735,0.0076646,0.0121,0.039226,0.02299,0.016236,0.15,350.0,0.735,0.0049461,0.0087314,0.02701,0.016384,0.010626,0.25,350.0,0.735,0.99
39,0.38,0.0093481,0.014271,0.046946,0.027221,0.019725,0.12,350.0,0.735,0.0075499,0.011927,0.038654,0.022659,0.015995,0.15,350.0,0.735,0.0048545,0.0085729,0.026516,0.016086,0.01043,0.25,350.0,0.735,0.99
40,0.39,0.0092172,0.014084,0.046314,0.026863,0.019451,0.12,350.0,0.735,0.0074366,0.011756,0.03809,0.022333,0.015757,0.15,350.0,0.735,0.0047645,0.0084172,0.02603,0.015793,0.010237,0.25,350.0,0.735,0.99
41,0.4,0.0090877,0.013899,0.045689,0.026508,0.019181,0.12,350.0,0.735,0.0073249,0.011588,0.037533,0.022011,0.015522,0.15,350.0,0.735,0.0046761,0.0082644,0.025553,0.015505,0.010048,0.25,350.0,0.735,0.99
42,0.41,0.0089597,0.013717,0.045072,0.026158,0.018914,0.12,350.0,0.735,0.0072145,0.011421,0.036984,0.021694,0.01529,0.15,350.0,0.735,0.0045893,0.0081142,0.025085,0.015223,0.0098619,0.25,350.0,0.735,0.99
43,0.42,0.008833,0.013536,0.044461,0.025812,0.01865,0.12,350.0,0.735,0.0071056,0.011257,0.036442,0.021381,0.015061,0.15,350.0,0.735,0.0045039,0.0079668,0.024625,0.014946,0.0096792,0.25,350.0,0.735,0.99
44,0.43,0.0087077,0.013358,0.043858,0.025469,0.018388,0.12,350.0,0.735,0.006998,0.011095,0.035907,0.021072,0.014835,0.15,350.0,0.735,0.0044201,0.0078219,0.024173,0.014673,0.0094998,0.25,350.0,0.735,0.99
45,0.44,0.0085837,0.013182,0.043261,0.025131,0.01813,0.12,350.0,0.735,0.0068918,0.010936,0.03538,0.020768,0.014612,0.15,350.0,0.735,0.0043377,0.0076797,0.023729,0.014406,0.0093235,0.25,350.0,0.735,0.99
46,0.45,0.0084611,0.013008,0.042671,0.024797,0.017874,0.12,350.0,0.735,0.006787,0.010778,0.034859,0.020467,0.014392,0.15,350.0,0.735,0.0042568,0.00754,0.023294,0.014143,0.0091503,0.25,350.0,0.735,0.99
47,0.46,0.0083398,0.012836,0.042088,0.024467,0.017621,0.12,350.0,0.735,0.0066834,0.010623,0.034345,0.020171,0.014174,0.15,350.0,0.735,0.0041772,0.0074028,0.022865,0.013885,0.0089801,0.25,350.0,0.735,0.99
48,0.47,0.0082198,0.012665,0.041511,0.02414,0.017371,0.12,350.0,0.735,0.0065812,0.01047,0.033838,0.019878,0.013959,0.15,350.0,0.735,0.0040991,0.007268,0.022445,0.013632,0.0088129,0.25,350.0,0.735,0.99
49,0.48,0.008101,0.012497,0.04094,0.023817,0.017123,0.12,350.0,0.735,0.0064803,0.010318,0.033337,0.01959,0.013747,0.15,350.0,0.735,0.0040223,0.0071356,0.022032,0.013383,0.0086486,0.25,350.0,0.735,0.99
50,0.49,0.0079836,0.012331,0.040376,0.023498,0.016878,0.12,350.0,0.735,0.0063806,0.010169,0.032843,0.019305,0.013538,0.15,350.0,0.735,0.0039468,0.0070055,0.021626,0.013138,0.0084872,0.25,350.0,0.735,0.99
51,0.5,0.0078673,0.012167,0.039819,0.023183,0.016636,0.12,350.0,0.735,0.0062822,0.010022,0.032355,0.019024,0.013331,0.15,350.0,0.735,0.0038726,0.0068778,0.021227,0.012898,0.0083285,0.25,350.0,0.735,0.99
52,0.51,0.0077523,0.012004,0.039267,0.022871,0.016397,0.12,350.0,0.735,0.006185,0.0098763,0.031874,0.018746,0.013127,0.15,350.0,0.735,0.0037997,0.0067523,0.020835,0.012663,0.0081726,0.25,350.0,0.735,0.99
53,0.52,0.0076385,0.011844,0.038722,0.022562,0.016159,0.12,350.0,0.735,0.0060889,0.0097328,0.031398,0.018472,0.012926,0.15,350.0,0.735,0.003728,0.006629,0.02045,0.012431,0.0080194,0.25,350.0,0.735,0.99
