,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.10343,0.11663,0.417,0.21102,0.20598,480.0,480.0,480.0,480.0,0.095011,0.10758,0.38396,0.19464,0.18932,540.0,540.0,540.0,540.0,0.086416,0.098604,0.35078,0.17841,0.17237,600.0,600.0,600.0,600.0,0.0
1,0.0,0.10343,0.11663,0.417,0.21102,0.20598,0.1,700.0,21.539,-2.5273,0.095011,0.10758,0.38396,0.19464,0.18932,0.12,700.0,21.539,-2.1749,0.086416,0.098604,0.35078,0.17841,0.17237,0.16,700.0,21.539,-1.5017,0.87
2,0.01,0.097075,0.10985,0.41351,0.21633,0.19718,0.1,700.0,21.539,8.3037,0.088928,0.10102,0.37957,0.19885,0.18072,0.12,700.0,21.539,8.5848,0.080457,0.092073,0.34472,0.18107,0.16365,0.16,700.0,21.539,9.1176,0.87
3,0.02,0.08843,0.10081,0.37837,0.19853,0.17984,0.1,700.0,21.539,8.8901,0.080793,0.092453,0.34637,0.18198,0.16439,0.12,700.0,21.539,9.1608,0.072731,0.083822,0.31296,0.16485,0.14811,0.16,700.0,21.539,9.6764,0.87
4,0.03,0.079988,0.092009,0.3439,0.18102,0.16288,0.1,700.0,21.539,9.4537,0.072891,0.084155,0.31399,0.1655,0.14849,0.12,700.0,21.539,9.7179,0.065297,0.075912,0.28229,0.14916,0.13313,0.16,700.0,21.539,10.217,0.87
5,0.04,0.071771,0.083465,0.31039,0.16402,0.14637,0.1,700.0,21.539,10.127,0.065234,0.076141,0.28265,0.14956,0.1331,0.12,700.0,21.539,10.388,0.058156,0.068344,0.25289,0.13413,0.11875,0.16,700.0,21.539,10.876,0.87
6,0.05,0.063757,0.075157,0.27775,0.14748,0.13027,0.1,700.0,21.539,10.955,0.057798,0.068384,0.25228,0.13413,0.11815,0.12,700.0,21.539,11.215,0.051279,0.061085,0.22463,0.11971,0.10491,0.16,700.0,21.539,11.694,0.87
7,0.06,0.055923,0.067061,0.2459,0.13136,0.11454,0.1,700.0,21.539,11.981,0.050559,0.06086,0.22276,0.11916,0.10361,0.12,700.0,21.539,12.245,0.044634,0.054102,0.19738,0.10584,0.091545,0.16,700.0,21.539,12.727,0.87
8,0.07,0.048246,0.059155,0.21474,0.11561,0.099137,0.1,700.0,21.539,13.293,0.04349,0.053542,0.194,0.10459,0.089413,0.12,700.0,21.539,13.564,0.03819,0.047364,0.17103,0.092441,0.078592,0.16,700.0,21.539,14.065,0.87
9,0.08,0.040706,0.051416,0.18419,0.10018,0.084013,0.1,700.0,21.539,15.002,0.03657,0.046405,0.16589,0.090371,0.075523,0.12,700.0,21.539,15.301,0.03192,0.040841,0.14546,0.079461,0.065994,0.16,700.0,21.539,15.837,0.87
