,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.10141,0.11663,0.41338,0.21102,0.20236,480.0,480.0,480.0,480.0,0.092558,0.10758,0.37958,0.19464,0.18494,540.0,540.0,540.0,540.0,0.084085,0.098604,0.34663,0.17841,0.16822,600.0,600.0,600.0,600.0,0.0
1,0.0,0.10141,0.11663,0.41338,0.21102,0.20236,0.07,1000.0,22.96,-0.99193,0.092558,0.10758,0.37958,0.19464,0.18494,0.15,1000.0,22.96,0.049592,0.084085,0.098604,0.34663,0.17841,0.16822,0.2,1000.0,22.96,0.88606,0.9
2,0.01,0.092325,0.10725,0.39894,0.2107,0.18824,0.07,1000.0,22.96,11.001,0.083627,0.098071,0.36314,0.19244,0.1707,0.15,1000.0,22.96,11.792,0.075425,0.089248,0.32907,0.17494,0.15413,0.2,1000.0,22.96,12.486,0.9
3,0.02,0.080893,0.095551,0.35282,0.18748,0.16534,0.07,1000.0,22.96,12.218,0.072784,0.086715,0.31888,0.16996,0.14892,0.15,1000.0,22.96,12.937,0.065156,0.078362,0.28689,0.15342,0.13347,0.2,1000.0,22.96,13.652,0.9
4,0.03,0.06961,0.084037,0.30724,0.16452,0.14272,0.07,1000.0,22.96,13.669,0.062259,0.075743,0.2759,0.14814,0.12776,0.15,1000.0,22.96,14.318,0.055274,0.067946,0.24632,0.13273,0.11359,0.2,1000.0,22.96,15.082,0.9
5,0.04,0.05848,0.072707,0.26233,0.14191,0.12042,0.07,1000.0,22.96,15.577,0.052027,0.065128,0.23422,0.12701,0.10721,0.15,1000.0,22.96,16.158,0.045739,0.057957,0.20729,0.11288,0.094415,0.2,1000.0,22.96,17.017,0.9
6,0.05,0.047479,0.061537,0.21799,0.11962,0.098375,0.07,1000.0,22.96,18.191,0.04204,0.054819,0.19365,0.10648,0.087168,0.15,1000.0,22.96,18.707,0.036491,0.048332,0.16956,0.093726,0.075835,0.2,1000.0,22.96,19.743,0.9
7,0.06,0.036982,0.050875,0.17552,0.098288,0.077232,0.18,250.0,5.74,5.7488,0.03261,0.045118,0.1553,0.087119,0.068182,0.15,250.0,5.74,5.7611,0.027802,0.039328,0.13408,0.075769,0.05831,0.2,250.0,5.74,6.174,0.9
8,0.07,0.034415,0.048002,0.16457,0.092557,0.072016,0.18,250.0,5.74,5.9082,0.030276,0.042558,0.14547,0.082017,0.063454,0.15,250.0,5.74,5.9581,0.025675,0.036942,0.12501,0.071021,0.05399,0.2,250.0,5.74,6.3772,0.9
9,0.08,0.031906,0.045206,0.15396,0.087029,0.066933,0.18,250.0,5.74,6.1205,0.027982,0.040053,0.13588,0.077058,0.05882,0.15,250.0,5.74,6.2042,0.023596,0.034622,0.11621,0.066436,0.049778,0.2,250.0,5.74,6.6335,0.9
10,0.09,0.029444,0.042477,0.14359,0.08164,0.061952,0.18,250.0,5.74,6.3641,0.025723,0.037597,0.12646,0.072198,0.05426,0.15,250.0,5.74,6.4857,0.021555,0.032357,0.10762,0.061967,0.045649,0.2,250.0,5.74,6.9341,0.9
11,0.1,0.027025,0.039808,0.13343,0.076371,0.057061,0.18,250.0,5.74,6.6471,0.023495,0.035186,0.11719,0.067426,0.049764,0.15,250.0,5.74,6.8098,0.019549,0.030144,0.099191,0.057598,0.041593,0.2,250.0,5.74,7.2768,0.9
12,0.11,0.024644,0.037196,0.12346,0.071211,0.05225,0.18,250.0,5.74,6.9687,0.021294,0.032816,0.10806,0.062733,0.045326,0.15,250.0,5.74,7.1799,0.017573,0.027978,0.09092,0.05332,0.037601,0.2,250.0,5.74,7.6833,0.9
13,0.12,0.022298,0.034636,0.11366,0.066151,0.047508,0.18,250.0,5.74,7.3405,0.019118,0.030485,0.099048,0.058113,0.040935,0.15,250.0,5.74,7.6148,0.015624,0.025856,0.082786,0.049123,0.033662,0.2,250.0,5.74,8.1557,0.9
14,0.13,0.019981,0.032123,0.104,0.061178,0.042822,0.18,250.0,5.74,7.7805,0.016961,0.028186,0.090133,0.053554,0.036579,0.15,250.0,5.74,8.1288,0.013697,0.023771,0.074758,0.044997,0.029761,0.2,250.0,5.74,8.7312,0.9
15,0.14,0.017686,0.02965,0.09443,0.056274,0.038156,0.18,250.0,5.74,8.3233,0.014818,0.025914,0.081254,0.049036,0.032218,0.15,250.0,5.74,8.7759,0.011784,0.021716,0.066775,0.040918,0.025857,0.2,250.0,5.74,9.4605,0.9
16,0.15,0.015422,0.027229,0.084765,0.051423,0.033342,0.08,170.0,3.9032,0.8613,0.012691,0.023674,0.072169,0.044521,0.027648,0.11,170.0,3.9032,0.97286,0.0098837,0.019692,0.058566,0.036837,0.021729,0.15,170.0,3.9032,1.115,0.99
17,0.16,0.015264,0.027004,0.083984,0.050976,0.033008,0.08,170.0,0.357,0.82646,0.012548,0.023452,0.071406,0.044068,0.027339,0.11,170.0,0.357,0.93593,0.0097603,0.019481,0.057852,0.036397,0.021454,0.15,170.0,0.357,1.0681,0.99
18,0.17,0.015108,0.026781,0.083215,0.050535,0.03268,0.08,170.0,0.357,0.82682,0.012408,0.023233,0.070666,0.043629,0.027037,0.11,170.0,0.357,0.93438,0.0096397,0.019274,0.057169,0.035979,0.02119,0.15,170.0,0.357,1.0652,0.99
19,0.18,0.014954,0.026561,0.082453,0.050098,0.032355,0.08,170.0,0.357,0.83016,0.012269,0.023017,0.069938,0.043199,0.02674,0.11,170.0,0.357,0.93348,0.0095207,0.01907,0.056502,0.035572,0.02093,0.15,170.0,0.357,1.0636,0.99
20,0.19,0.0148,0.026341,0.081699,0.049667,0.032032,0.08,170.0,0.357,0.8301,0.012131,0.022803,0.069222,0.042776,0.026446,0.11,170.0,0.357,0.9339,0.0094033,0.018869,0.055848,0.035173,0.020675,0.15,170.0,0.357,1.063,0.99
