Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.10259,0.11663,0.41613,0.21102,0.20511,480.0,480.0,480.0,480.0,0.094002,0.10758,0.38275,0.19464,0.18811,540.0,540.0,540.0,540.0,0.085193,0.098604,0.34915,0.17841,0.17074,600.0,600.0,600.0,600.0,0.0
1,0.0,0.0965123562647937,0.11150966412714652,0.390988149670787,0.20160217244462414,0.18938597722616293,0.12,510.0,29.09,-0.49138,0.0906425602244988,0.10490141350007637,0.3693562561714382,0.1910213544201267,0.17833490175131156,0.15,510.0,29.09,0.16756,0.08369813304828795,0.09703934328463916,0.3423078503310586,0.17686480412257768,0.1654430462084809,0.22,510.0,29.09,1.3221,0.78
2,0.01,0.08780345836221666,0.10243368743876194,0.37997650184150134,0.20107673613754337,0.17889976570395805,0.12,510.0,29.09,11.034,0.08249996839718363,0.09609538843628583,0.3569841886830102,0.18881821138335486,0.1681659772996553,0.15,510.0,29.09,11.608,0.07507671041050018,0.0879008418973413,0.325418393865584,0.17238423323124738,0.1530341606343367,0.22,510.0,29.09,12.561,0.78
3,0.02,0.0774828468425962,0.09162033515435165,0.3378535697600727,0.17967449739022978,0.15817907236984294,0.12,510.0,29.09,12.051,0.07179561557345022,0.08489004861454,0.3133116125088043,0.16665445515207541,0.14665715735672888,0.15,510.0,29.09,12.658,0.06515549148032389,0.07732556067483047,0.2845916096033119,0.1515012377297225,0.13309037187358946,0.22,510.0,29.09,13.61,0.78
4,0.03,0.06667896263514035,0.08040321898551304,0.29383006589961697,0.15735790672807573,0.13647215917154124,0.12,510.0,29.09,13.234,0.06208986389210307,0.07466670772186039,0.27346782023755317,0.1463329138671197,0.1271349063704334,0.15,510.0,29.09,13.904,0.05549668252018994,0.0670120647908257,0.24466006732039125,0.13104434014727442,0.11361572717311681,0.22,510.0,29.09,14.877,0.78
5,0.04,0.05679199449909403,0.07016178022923088,0.25365103825864327,0.13701171647869348,0.11663932177994978,0.12,510.0,29.09,14.777,0.052396301087022784,0.06457587385362937,0.23394768267979332,0.12626607753158042,0.10768160514821291,0.15,510.0,29.09,15.547,0.046369740167635856,0.057415982303695386,0.20728485410217565,0.11199549366954158,0.09528936043263406,0.22,510.0,29.09,16.585,0.78
6,0.05,0.04737052849370489,0.060367431669342476,0.21520768964118941,0.11750173552160234,0.09770595411958702,0.12,510.0,29.09,16.85,0.04284954144328279,0.05469601609254848,0.19515983816123575,0.10661922333375821,0.08854061482747748,0.15,510.0,29.09,17.793,0.03755564807138414,0.048159474143481845,0.1711761529841632,0.09361407942929527,0.0775620735548679,0.22,510.0,29.09,18.967,0.78
7,0.06,0.03788951750810516,0.05065245258460345,0.17674805659137788,0.09809264774651745,0.07865540884486047,0.08,300.0,17.112,5.4761,0.03382982737647003,0.0454095579056226,0.15846386387548833,0.08809079209377042,0.0703730717817179,0.11,300.0,17.112,5.9217,0.029217896636108562,0.03949458790901249,0.1370929172352022,0.07634112377297961,0.06075179346222259,0.15,300.0,17.112,6.3848,0.9
8,0.07,0.035170699369372935,0.04775792914314735,0.16553035337913702,0.09235029794053397,0.07318005543860302,0.08,300.0,6.888,5.6798,0.031449820819164746,0.04283313932292539,0.14851795084489833,0.08296780987328987,0.06555014097160844,0.11,300.0,6.888,6.0744,0.026984951438925597,0.037059531569577836,0.1277387921534415,0.07150412266041657,0.0562346694930249,0.15,300.0,6.888,6.5207,0.9
9,0.08,0.032916493649608185,0.04539226618932887,0.15635804535824133,0.08767727153499848,0.06868077382324286,0.08,300.0,6.888,5.9408,0.029178999288195666,0.04039803425869676,0.13908307645127838,0.07811994385087954,0.0609631326003988,0.11,300.0,6.888,6.3511,0.02479106097705702,0.03465382905935833,0.11859538865374558,0.06676851124453595,0.051826877409209625,0.15,300.0,6.888,6.8219,0.9
10,0.09,0.030279650068401907,0.04262748009079638,0.14547031244899178,0.08214905234030748,0.06332126010868434,0.08,300.0,6.888,6.2367,0.02679907943887455,0.037857300062489524,0.1292781698947557,0.07309736809944631,0.056180801795309404,0.11,300.0,6.888,6.6731,0.022687389746985663,0.03236248390197737,0.10983079145986764,0.06225314234933659,0.047577649110531056,0.15,300.0,6.888,7.1667,0.9
11,0.1,0.027893796218466462,0.040075851695647584,0.13560802875165046,0.07708035276784442,0.058527675983806045,0.08,300.0,6.888,6.5695,0.024398057648819287,0.03532830562522475,0.11942265923337768,0.06806811190375046,0.05135454732962721,0.11,300.0,6.888,7.0375,0.02057309407811741,0.030089002779546424,0.10103191986502534,0.057728762507483586,0.04330315735754176,0.15,300.0,6.888,7.5702,0.9
12,0.11,0.025347244052028494,0.03741609463557381,0.1252327967224924,0.07181198721315915,0.05342080950933329,0.08,300.0,6.888,6.9494,0.022075277654985587,0.03286017014124617,0.10984723290071303,0.06317982105215861,0.04666741184855442,0.11,300.0,6.888,7.4569,0.018461449498318027,0.02782512280869581,0.0922977759050623,0.05324477440369092,0.0390530015013714,0.15,300.0,6.888,8.0331,0.9
13,0.12,0.023027107044947332,0.03499804663699909,0.1158262210097335,0.06702518518683429,0.048801035822899214,0.08,300.0,6.888,7.3881,0.019919767521328433,0.030564730218234006,0.10093831754633321,0.058612963734636085,0.04232535381169713,0.11,300.0,6.888,7.9515,0.01638400686289896,0.025636573127098446,0.0837555283676899,0.048887915061907615,0.034867613305782294,0.15,300.0,6.888,8.5865,0.9
14,0.13,0.020576650544974023,0.03246315963177079,0.10580327754556727,0.06195792588946301,0.04384535165610426,0.08,300.0,6.888,7.9055,0.017603611557146147,0.02811392055915226,0.09145924651764689,0.05375956124541629,0.0376996852722306,0.11,300.0,6.888,8.5368,0.014352584992919054,0.023444958620535892,0.07533696381665043,0.0445577522818837,0.03077921153476673,0.15,300.0,6.888,9.251,0.9
15,0.14,0.018138489687972804,0.029946123608667573,0.09589148300920382,0.05695824030126625,0.03893324270793757,0.08,300.0,6.888,8.5335,0.015320119233277363,0.02575697609277784,0.0821317640933051,0.04906460805407494,0.03306715603923016,0.11,300.0,6.888,9.2625,0.012356399337375507,0.021341331631541068,0.06707950587067336,0.040361179235618966,0.0267183266350544,0.15,300.0,6.888,10.098,0.9
16,0.15,0.015929629857407996,0.027623352821968754,0.086553362132522,0.05227083360283569,0.03428252852968631,0.06,103.0,2.3649,0.83153,0.013185686483217439,0.02354157765740052,0.07314265616610272,0.0445815542028265,0.028561101963276218,0.09,103.0,2.3649,0.93951,0.010330754724700051,0.019255505221862968,0.05857589302337755,0.036146397770674625,0.022429495252702908,0.13,103.0,2.3649,1.1049,0.98
17,0.16,0.015596537101394331,0.027260120095795624,0.08515336596978125,0.05154463838304312,0.033608727586738135,0.06,103.0,0.43672,0.80236,0.013014432490140499,0.023282715982450478,0.0722154223859027,0.04403149198412762,0.028183930401775074,0.09,103.0,0.43672,0.92054,0.010234291180632776,0.019047027670954127,0.057911441483179005,0.03572061776574542,0.02219082371743358,0.13,103.0,0.43672,1.0703,0.98
18,0.17,0.015577535197628665,0.027112639954615922,0.08477646849740646,0.0512512877838149,0.03352518071359156,0.06,103.0,0.43672,0.80522,0.012922628621114114,0.02311273309457703,0.07169189497665412,0.04371261166909097,0.027979283307563184,0.09,103.0,0.43672,0.92096,0.01011588325169811,0.018865653306642537,0.057276651416150674,0.035343861590646196,0.02193278982550448,0.13,103.0,0.43672,1.0662,0.98
