Unnamed: 0,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
0,0.0,0.10343,0.11663,0.417,0.21102,0.20598,480.0,480.0,480.0,0.095011,0.10758,0.38396,0.19464,0.18932,540.0,540.0,540.0,0.086416,0.098604,0.35078,0.17841,0.17237,600.0,600.0,600.0,0.0
1,0.0,0.11011000199099558,0.12650550782893225,0.4393000462877964,0.22577783741907625,0.21352220886872011,0.1,700.0,21.539,0.09723020750322127,0.11196963854834041,0.3905833337987863,0.2017029180613122,0.18888041573747416,0.12,700.0,21.539,0.08645765563897151,0.09962560200615425,0.34734528512554336,0.1782167726298432,0.16912851249570013,0.16,700.0,21.539,0.87
2,0.01,0.10216345339280244,0.11919700253896082,0.44021840744945184,0.23303583935055144,0.20718256809890034,0.1,700.0,21.539,0.09125186642211695,0.1060308153560157,0.3925764981106555,0.2073958422974788,0.18518065581317672,0.12,700.0,21.539,0.07899447336451221,0.09344080017828921,0.34242711293409817,0.1821792261375431,0.16024788679655502,0.16,700.0,21.539,0.87
3,0.02,0.0937526048422345,0.10986774137818109,0.4049915360137768,0.2146427995428372,0.19034873647093953,0.1,700.0,21.539,0.08163905294237878,0.09622050842964361,0.3539927480762599,0.18815700329688723,0.1658357447793727,0.12,700.0,21.539,0.07199111135372745,0.08598604054318564,0.3138126165986835,0.16746382063384474,0.14634879596483874,0.16,700.0,21.539,0.87
4,0.03,0.08332066197899475,0.09918771770795036,0.3628282899165608,0.19346224591139743,0.1693660440051634,0.1,700.0,21.539,0.07472695556056137,0.088039529904137,0.323927756444618,0.17207561986436967,0.15185213658024838,0.12,700.0,21.539,0.06430448469175673,0.07681471623967971,0.2802751156552985,0.1495791868535956,0.13069592880170294,0.16,700.0,21.539,0.87
5,0.04,0.07469572351873853,0.09045019574282408,0.32832003862268366,0.17626637461316838,0.15205366400951525,0.1,700.0,21.539,0.06670577926445538,0.07981270911991245,0.2915491138721031,0.15571513165160453,0.13583398222049858,0.12,700.0,21.539,0.057163070990823135,0.06985642400683573,0.25215963243631173,0.13562163553138343,0.11653799690492823,0.16,700.0,21.539,0.87
6,0.05,0.06736966526511526,0.08204641568026981,0.2969102849174928,0.15967935671870975,0.137230928198783,0.1,700.0,21.539,0.05841158914799329,0.07142988735198097,0.25838085325380894,0.1390854554892894,0.11929539776451946,0.12,700.0,21.539,0.05023841730831311,0.06225865820918842,0.22325457824440603,0.12072850738004076,0.10252607086436527,0.16,700.0,21.539,0.87
7,0.06,0.05860362440519855,0.07331025405096935,0.26181516423243645,0.14198471379938069,0.1198304504330557,0.1,700.0,21.539,0.05078635432796377,0.06367118709094861,0.2275760989363439,0.12365016819599041,0.10392593074035344,0.12,700.0,21.539,0.04368616542310978,0.05557458945439843,0.19671087296705847,0.10735440036409648,0.08935647260296203,0.16,700.0,21.539,0.87
8,0.07,0.04999932008348237,0.06416573396504324,0.22640912464387314,0.1238831498181008,0.10252597482577229,0.1,700.0,21.539,0.0437919575634819,0.0561077622958458,0.19846126245730863,0.10867681996451815,0.08978444249279047,0.12,700.0,21.539,0.03719670963768546,0.048758847572642476,0.1701407604776833,0.09380570800399173,0.0763350524736916,0.16,700.0,21.539,0.87
9,0.08,0.042490632853364706,0.05686955889955303,0.19695628772632154,0.10933019821485193,0.08762608951146961,0.1,700.0,21.539,0.037035044861542514,0.04917114789188139,0.17103990078233278,0.09479593387303122,0.07624396690930159,0.12,700.0,21.539,0.03098214149371404,0.041903311667779775,0.14420426234290842,0.08032231445305765,0.06388194788985078,0.16,700.0,21.539,0.87
10,0.09,0.03415121853962971,0.04841151961680801,0.1631437404728434,0.0924642347172209,0.07067950575562251,0.1,700.0,21.539,0.029944241630360274,0.041843465532851475,0.1423203097949858,0.08028558780016383,0.062034721994822,0.12,700.0,21.539,0.025197118432674206,0.035686745341071496,0.12031348185650115,0.0681462815112218,0.05216720034527934,0.16,700.0,21.539,0.87
11,0.1,0.026701354080661304,0.04030430351215846,0.13212250758042596,0.07632135561723759,0.05580115196318835,0.1,700.0,21.539,0.02270397756901463,0.034762822670822084,0.11365063896081798,0.06605783831163875,0.047592800649179236,0.12,700.0,21.539,0.01914096818054467,0.029481710194684544,0.0957362920100447,0.05569700747052029,0.04003928453952439,0.16,700.0,21.539,0.87
12,0.11,0.018731810104420762,0.032271888714291055,0.10022995739095782,0.06038815147760926,0.03984180591334857,0.1,700.0,21.539,0.015915154170740846,0.027676918794907544,0.08596431221165517,0.05207293548613858,0.033891376725516585,0.12,700.0,21.539,0.013103214773119244,0.023236938049861655,0.07122645980043871,0.043267389328374886,0.027959070472063835,0.16,700.0,21.539,0.87
13,0.12,0.011405042385628825,0.0249918459772765,0.07100960141970766,0.045767748613928405,0.02524185280577925,0.15,180.0,5.5386,0.00975485872714117,0.021111015490482374,0.060361487888414646,0.03892915997777394,0.021432327910640713,0.18,180.0,5.5386,0.007251681394747645,0.01762686739319479,0.04805914573483704,0.031894676252709336,0.01616446948212771,0.25,180.0,5.5386,0.94
14,0.13,0.010377171361278976,0.024025694788984153,0.0668572065179068,0.04378655036675403,0.023070656151152776,0.15,180.0,2.3814,0.00903198092336479,0.019928037370392757,0.05668510403159594,0.036598802724560134,0.020086301307035804,0.18,180.0,2.3814,0.006847996125068589,0.016491941943622156,0.045106848979790566,0.029808395792221932,0.015298453187568648,0.25,180.0,2.3814,0.94
15,0.14,0.009357487406922667,0.023045236195777183,0.06291777469033207,0.04192143224398813,0.020996342446343918,0.15,180.0,2.3814,0.007977873621602674,0.019220917829360282,0.053121154888479585,0.03522086032347353,0.017900294565006067,0.18,180.0,2.3814,0.006277802299967003,0.0158236481405343,0.042571954386832235,0.028470233440474293,0.014101720946357942,0.25,180.0,2.3814,0.94
16,0.15,0.00883568363788736,0.0219824765871952,0.05977248365783212,0.039931474882452675,0.019841008775379445,0.15,180.0,2.3814,0.0073079420639176225,0.018451132921327933,0.0502324630828538,0.03371561926796252,0.016516843814891272,0.18,180.0,2.3814,0.005207668380520567,0.015236834657478998,0.03922348954254827,0.027210802842791218,0.012012686699757052,0.25,180.0,2.3814,0.94
17,0.16,0.00755617922774787,0.020947701795434905,0.05513838141727456,0.03783459258388512,0.01730378883338944,0.15,180.0,2.3814,0.0066508648107360974,0.017365249865359436,0.046670872146057696,0.031488080829591196,0.015182791316466496,0.18,180.0,2.3814,0.004875472634006986,0.014258909864725167,0.03666532461849661,0.025470733403476227,0.011194591215020384,0.25,180.0,2.3814,0.94
