,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
0,0.0,0.10033,0.11663,0.41184,0.21102,0.20082,480.0,480.0,480.0,0.091328,0.10758,0.37778,0.19464,0.18313,540.0,540.0,540.0,0.080934,0.098604,0.34146,0.17841,0.16305,600.0,600.0,600.0,0.0
1,0.0,0.10033,0.11663,0.41184,0.21102,0.20082,0.043,200.0,7.246,0.091328,0.10758,0.37778,0.19464,0.18313,0.065,200.0,7.246,0.080934,0.098604,0.34146,0.17841,0.16305,0.133,200.0,7.246,999.0
2,0.01,0.098696,0.11481,0.42423,0.22344,0.20079,0.043,200.0,7.246,0.089549,0.10554,0.3876,0.20511,0.18248,0.065,200.0,7.246,0.078703,0.095908,0.34679,0.18572,0.16106,0.133,200.0,7.246,999.0
3,0.02,0.095422,0.11136,0.41266,0.21812,0.19454,0.043,200.0,7.246,0.086307,0.10205,0.37584,0.19959,0.17625,0.065,200.0,7.246,0.075254,0.092007,0.33357,0.17924,0.15433,0.133,200.0,7.246,999.0
4,0.03,0.091935,0.1077,0.39887,0.21125,0.18762,0.043,200.0,7.246,0.082892,0.098399,0.36216,0.19271,0.16945,0.065,200.0,7.246,0.071705,0.088023,0.31891,0.1717,0.1472,0.133,200.0,7.246,999.0
5,0.04,0.088415,0.10401,0.38462,0.20405,0.18057,0.043,200.0,7.246,0.079464,0.09474,0.34814,0.18557,0.16257,0.065,200.0,7.246,0.06819,0.084094,0.30416,0.16406,0.1401,0.133,200.0,7.246,999.0
6,0.05,0.084908,0.10034,0.37033,0.1968,0.17353,0.043,200.0,7.246,0.076064,0.091118,0.33415,0.17843,0.15573,0.065,200.0,7.246,0.064742,0.080252,0.28964,0.15651,0.13313,0.133,200.0,7.246,999.0
7,0.06,0.081427,0.096702,0.35612,0.18958,0.16654,0.043,200.0,7.246,0.072703,0.087545,0.32031,0.17135,0.14896,0.065,200.0,7.246,0.061369,0.076502,0.27542,0.14912,0.1263,0.133,200.0,7.246,999.0
8,0.07,0.077976,0.093101,0.34202,0.18242,0.1596,0.043,200.0,7.246,0.069383,0.084021,0.30663,0.16436,0.14227,0.065,200.0,7.246,0.058069,0.072846,0.26153,0.14191,0.11962,0.133,200.0,7.246,999.0
9,0.08,0.074555,0.089535,0.32806,0.17533,0.15273,0.043,200.0,7.246,0.066104,0.080547,0.29314,0.15747,0.13567,0.065,200.0,7.246,0.054841,0.069279,0.24795,0.13487,0.11309,0.133,200.0,7.246,999.0
10,0.09,0.071163,0.086006,0.31422,0.16831,0.14591,0.043,200.0,7.246,0.062865,0.077122,0.27982,0.15067,0.12915,0.065,200.0,7.246,0.05168,0.065797,0.23468,0.12799,0.10669,0.133,200.0,7.246,999.0
11,0.1,0.0678,0.08251,0.30051,0.16135,0.13916,0.043,200.0,7.246,0.059664,0.073743,0.26667,0.14395,0.12271,0.065,200.0,7.246,0.048582,0.062396,0.2217,0.12127,0.10043,0.133,200.0,7.246,999.0
12,0.11,0.064463,0.079047,0.28692,0.15446,0.13245,0.043,200.0,7.246,0.056499,0.070409,0.25367,0.13733,0.11634,0.065,200.0,7.246,0.045545,0.059072,0.209,0.1147,0.094294,0.133,200.0,7.246,999.0
13,0.12,0.061153,0.075616,0.27344,0.14763,0.12581,0.043,200.0,7.246,0.053367,0.067117,0.24083,0.13079,0.11004,0.065,200.0,7.246,0.042564,0.055822,0.19655,0.10828,0.088273,0.133,200.0,7.246,999.0
14,0.13,0.057866,0.072215,0.26007,0.14086,0.11921,0.043,200.0,7.246,0.050268,0.063865,0.22814,0.12433,0.10381,0.065,200.0,7.246,0.039636,0.05264,0.18434,0.10198,0.082362,0.133,200.0,7.246,999.0
15,0.14,0.054603,0.068843,0.2468,0.13414,0.11266,0.043,200.0,7.246,0.047199,0.060652,0.21558,0.11794,0.097642,0.065,200.0,7.246,0.036757,0.049524,0.17237,0.095814,0.076552,0.133,200.0,7.246,999.0
16,0.15,0.051362,0.065498,0.23363,0.12748,0.10615,0.043,200.0,7.246,0.044159,0.057476,0.20316,0.11163,0.091531,0.065,200.0,7.246,0.033923,0.046469,0.1606,0.089764,0.070836,0.133,200.0,7.246,999.0
17,0.16,0.04814,0.06218,0.22056,0.12087,0.099686,0.043,200.0,7.246,0.041145,0.054334,0.19085,0.10538,0.085475,0.065,200.0,7.246,0.031131,0.043471,0.14903,0.083825,0.065206,0.133,200.0,7.246,999.0
18,0.17,0.044938,0.058885,0.20757,0.11431,0.093258,0.043,200.0,7.246,0.038156,0.051224,0.17866,0.099189,0.079467,0.065,200.0,7.246,0.028377,0.040526,0.13764,0.077988,0.059654,0.133,200.0,7.246,999.0
19,0.18,0.041752,0.055613,0.19465,0.10779,0.086861,0.043,200.0,7.246,0.035188,0.048144,0.16656,0.093058,0.073499,0.065,200.0,7.246,0.025656,0.037629,0.12641,0.072242,0.054166,0.133,200.0,7.246,999.0
20,0.19,0.038579,0.052359,0.18177,0.10129,0.080474,0.043,200.0,7.246,0.032237,0.045089,0.15452,0.08697,0.067548,0.065,200.0,7.246,0.022961,0.034774,0.11528,0.06657,0.048709,0.133,200.0,7.246,999.0
21,0.2,0.035276,0.04898,0.16812,0.094509,0.073615,0.043,350.0,12.681,0.029166,0.041921,0.14175,0.080611,0.061136,0.065,350.0,12.681,0.020159,0.031825,0.10344,0.060656,0.042786,0.133,350.0,12.681,999.0
22,0.21,0.034876,0.048508,0.16644,0.093626,0.072809,0.043,350.0,0.224,0.028802,0.041465,0.14014,0.079749,0.060395,0.065,350.0,0.224,0.019844,0.031373,0.1019,0.059779,0.042124,0.133,350.0,0.224,999.0
23,0.22,0.034478,0.048039,0.16471,0.092712,0.072,0.043,350.0,0.224,0.028442,0.041015,0.13852,0.078869,0.059655,0.065,350.0,0.224,0.019535,0.03093,0.10039,0.058911,0.041475,0.133,350.0,0.224,999.0
24,0.23,0.034082,0.047572,0.16299,0.091797,0.071193,0.043,350.0,0.224,0.028085,0.040568,0.13691,0.077994,0.05892,0.065,350.0,0.224,0.019231,0.030493,0.098894,0.058058,0.040835,0.133,350.0,0.224,999.0
25,0.24,0.033688,0.047108,0.16128,0.090886,0.070389,0.043,350.0,0.224,0.02773,0.040124,0.13532,0.077126,0.058191,0.065,350.0,0.224,0.01893,0.030061,0.097425,0.05722,0.040205,0.133,350.0,0.224,999.0
26,0.25,0.033296,0.046647,0.15957,0.08998,0.069589,0.043,350.0,0.224,0.027377,0.039684,0.13373,0.076265,0.057467,0.065,350.0,0.224,0.018633,0.029636,0.095978,0.056395,0.039583,0.133,350.0,0.224,999.0
27,0.26,0.032905,0.046188,0.15787,0.089079,0.068794,0.043,350.0,0.224,0.027027,0.039248,0.13216,0.075412,0.056748,0.065,350.0,0.224,0.01834,0.029216,0.094552,0.055583,0.038969,0.133,350.0,0.224,999.0
28,0.27,0.032516,0.045732,0.15619,0.088183,0.068002,0.043,350.0,0.224,0.02668,0.038815,0.1306,0.074566,0.056034,0.065,350.0,0.224,0.01805,0.028801,0.093145,0.054782,0.038363,0.133,350.0,0.224,999.0
29,0.28,0.03213,0.045279,0.15451,0.087292,0.067214,0.043,350.0,0.224,0.026334,0.038385,0.12905,0.073727,0.055325,0.065,350.0,0.224,0.017763,0.028392,0.091756,0.053992,0.037764,0.133,350.0,0.224,999.0
30,0.29,0.031745,0.044827,0.15284,0.086407,0.06643,0.043,350.0,0.224,0.025991,0.037959,0.12752,0.072895,0.054621,0.065,350.0,0.224,0.01748,0.027987,0.090385,0.053213,0.037172,0.133,350.0,0.224,999.0
31,0.3,0.031361,0.044379,0.15118,0.085526,0.065649,0.043,350.0,0.224,0.02565,0.037536,0.12599,0.072069,0.053922,0.065,350.0,0.224,0.0172,0.027588,0.089031,0.052444,0.036587,0.133,350.0,0.224,999.0
32,0.31,0.03098,0.043933,0.14952,0.08465,0.064872,0.043,350.0,0.224,0.025312,0.037115,0.12448,0.071249,0.053228,0.065,350.0,0.224,0.016923,0.027193,0.087694,0.051685,0.036009,0.133,350.0,0.224,999.0
33,0.32,0.0306,0.043489,0.14788,0.083779,0.064099,0.043,350.0,0.224,0.024975,0.036699,0.12297,0.070436,0.052537,0.065,350.0,0.224,0.016649,0.026804,0.086372,0.050935,0.035437,0.133,350.0,0.224,999.0
34,0.33,0.030222,0.043048,0.14624,0.082913,0.06333,0.043,350.0,0.224,0.024641,0.036285,0.12148,0.069628,0.051852,0.065,350.0,0.224,0.016378,0.026419,0.085066,0.050194,0.034872,0.133,350.0,0.224,999.0
35,0.34,0.029846,0.042609,0.14461,0.082051,0.062564,0.043,350.0,0.224,0.024309,0.035874,0.12,0.068827,0.051171,0.065,350.0,0.224,0.01611,0.026038,0.083776,0.049463,0.034313,0.133,350.0,0.224,999.0
36,0.35000000000000003,0.029471,0.042172,0.14299,0.081194,0.061801,0.043,350.0,0.224,0.023978,0.035466,0.11853,0.068032,0.050494,0.065,350.0,0.224,0.015844,0.025662,0.0825,0.04874,0.033759,0.133,350.0,0.224,999.0
