,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.10001,0.11663,0.41009,0.21102,0.19907,480.0,480.0,480.0,480.0,0.091276,0.10758,0.3766,0.19464,0.18195,540.0,540.0,540.0,540.0,0.080912,0.098604,0.34044,0.17841,0.16203,600.0,600.0,600.0,600.0,0.0
1,0.0,0.10001,0.11663,0.41009,0.21102,0.19907,0.06,2550.0,5.355,-2.3729,0.091276,0.10758,0.3766,0.19464,0.18195,0.0775,2550.0,5.355,-2.0489,0.080912,0.098604,0.34044,0.17841,0.16203,0.145,2550.0,5.355,-1.0125,0.99
2,0.01,0.098479,0.11485,0.42442,0.22407,0.20035,0.06,2550.0,5.355,2.9484,0.08965,0.10565,0.38853,0.2059,0.18262,0.0775,2550.0,5.355,3.1951,0.078828,0.096013,0.34772,0.18648,0.16124,0.145,2550.0,5.355,3.9829,0.99
3,0.02,0.095138,0.11126,0.41214,0.21822,0.19393,0.06,2550.0,5.355,3.3561,0.086393,0.1021,0.37635,0.20002,0.17633,0.0775,2550.0,5.355,3.5982,0.075376,0.092067,0.33417,0.1797,0.15448,0.145,2550.0,5.355,4.3658,0.99
4,0.03,0.09163,0.10751,0.39798,0.21106,0.18693,0.06,2550.0,5.355,3.4993,0.082998,0.098418,0.36252,0.19298,0.16954,0.0775,2550.0,5.355,3.7406,0.071854,0.088072,0.31943,0.17205,0.14738,0.145,2550.0,5.355,4.5059,0.99
5,0.04,0.088123,0.10377,0.38358,0.2037,0.17988,0.06,2550.0,5.355,3.5908,0.079618,0.094763,0.34854,0.1858,0.16274,0.0775,2550.0,5.355,3.8333,0.068389,0.084156,0.30475,0.16438,0.14036,0.145,2550.0,5.355,4.5986,0.99
6,0.05,0.084651,0.10007,0.36927,0.19638,0.17289,0.06,2550.0,5.355,3.6715,0.076283,0.091165,0.3347,0.17869,0.15601,0.0775,2550.0,5.355,3.918,0.065006,0.080342,0.29039,0.15688,0.13351,0.145,2550.0,5.355,4.6861,0.99
7,0.06,0.081223,0.096424,0.35514,0.18915,0.16598,0.06,2550.0,5.355,3.7574,0.072999,0.087628,0.32107,0.17169,0.14939,0.0775,2550.0,5.355,4.0047,0.061707,0.076633,0.27639,0.14957,0.12682,0.145,2550.0,5.355,4.777,0.99
8,0.07,0.077839,0.092832,0.34119,0.18202,0.15917,0.06,2550.0,5.355,3.8464,0.069767,0.084153,0.30767,0.1648,0.14287,0.0775,2550.0,5.355,4.0974,0.058491,0.073027,0.26276,0.14246,0.1203,0.145,2550.0,5.355,4.8764,0.99
9,0.08,0.074498,0.089291,0.32744,0.17499,0.15244,0.06,2550.0,5.355,3.9428,0.066584,0.080738,0.29448,0.15803,0.13645,0.0775,2550.0,5.355,4.1992,0.055353,0.069518,0.24948,0.13553,0.11394,0.145,2550.0,5.355,4.9849,0.99
