,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.09997,0.11663,0.41019,0.21102,0.19916,480.0,480.0,480.0,480.0,0.091242,0.10758,0.37668,0.19464,0.18204,540.0,540.0,540.0,540.0,0.080877,0.098604,0.34051,0.17841,0.16211,600.0,600.0,600.0,600.0,0.0
1,0.0,0.09997,0.11663,0.41019,0.21102,0.19916,0.06,2550.0,1.632,-2.5495,0.091242,0.10758,0.37668,0.19464,0.18204,0.0775,2550.0,1.632,-2.2258,0.080877,0.098604,0.34051,0.17841,0.16211,0.145,2550.0,1.632,-1.1855,0.9
2,0.01,0.098466,0.11487,0.42475,0.22437,0.20039,0.06,2550.0,1.632,2.9777,0.089639,0.10567,0.38884,0.20617,0.18266,0.0775,2550.0,1.632,3.2232,0.078817,0.096035,0.348,0.18673,0.16127,0.145,2550.0,1.632,4.0064,0.9
3,0.02,0.095098,0.11125,0.41218,0.21832,0.19387,0.06,2550.0,1.632,3.3723,0.086359,0.1021,0.3764,0.20012,0.17628,0.0775,2550.0,1.632,3.6126,0.075346,0.09207,0.33424,0.1798,0.15444,0.145,2550.0,1.632,4.3792,0.9
4,0.03,0.09158,0.10749,0.39791,0.21108,0.18683,0.06,2550.0,1.632,3.5052,0.082956,0.098407,0.36247,0.19301,0.16946,0.0775,2550.0,1.632,3.7454,0.071817,0.088067,0.3194,0.17209,0.14731,0.145,2550.0,1.632,4.5095,0.9
5,0.04,0.08807,0.10375,0.38346,0.2037,0.17977,0.06,2550.0,1.632,3.5915,0.079574,0.09475,0.34846,0.18581,0.16264,0.0775,2550.0,1.632,3.8342,0.068352,0.08415,0.3047,0.16441,0.14029,0.145,2550.0,1.632,4.5977,0.9
6,0.05,0.084599,0.10005,0.36915,0.19637,0.17278,0.06,2550.0,1.632,3.6715,0.07624,0.091153,0.33461,0.17869,0.15592,0.0775,2550.0,1.632,3.916,0.064971,0.080337,0.29034,0.1569,0.13344,0.145,2550.0,1.632,4.6823,0.9
7,0.06,0.081173,0.096407,0.35502,0.18914,0.16588,0.06,2550.0,1.632,3.7551,0.072959,0.087618,0.32099,0.17169,0.1493,0.0775,2550.0,1.632,4.0029,0.061675,0.076631,0.27635,0.14959,0.12676,0.145,2550.0,1.632,4.7739,0.9
8,0.07,0.077791,0.092817,0.34108,0.18202,0.15907,0.06,2550.0,1.632,3.8445,0.069729,0.084146,0.30759,0.16481,0.14279,0.0775,2550.0,1.632,4.0962,0.058461,0.073027,0.26273,0.14248,0.12024,0.145,2550.0,1.632,4.8731,0.9
9,0.08,0.074452,0.089278,0.32733,0.17499,0.15235,0.06,2550.0,1.632,3.9412,0.066549,0.080733,0.29441,0.15804,0.13638,0.0775,2550.0,1.632,4.1967,0.055325,0.06952,0.24945,0.13556,0.11389,0.145,2550.0,1.632,4.9814,0.9
