,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.09824,0.11663,0.4068,0.21102,0.19577,480.0,480.0,480.0,480.0,0.089597,0.10758,0.37346,0.19464,0.17881,540.0,540.0,540.0,540.0,0.079276,0.098604,0.33736,0.17841,0.15896,600.0,600.0,600.0,600.0,0.0
1,0.0,0.09824,0.11663,0.4068,0.21102,0.19577,0.06,2550.0,9.4605,-0.15162,0.089597,0.10758,0.37346,0.19464,0.17881,0.0775,2550.0,9.4605,0.1241,0.079276,0.098604,0.33736,0.17841,0.15896,0.145,2550.0,9.4605,1.0044,0.99
2,0.01,0.096406,0.11455,0.41677,0.22086,0.19591,0.06,2550.0,9.4605,2.6718,0.087712,0.1054,0.38147,0.20299,0.17848,0.0775,2550.0,9.4605,2.8973,0.077027,0.095858,0.34136,0.18398,0.15738,0.145,2550.0,9.4605,3.6285,0.99
3,0.02,0.093399,0.11129,0.40707,0.21662,0.19045,0.06,2550.0,9.4605,3.0712,0.084777,0.10217,0.37171,0.19861,0.1731,0.0775,2550.0,9.4605,3.2964,0.073913,0.092258,0.33014,0.17862,0.15152,0.145,2550.0,9.4605,4.005,0.99
4,0.03,0.090172,0.10783,0.39475,0.21058,0.18418,0.06,2550.0,9.4605,3.2586,0.081654,0.098767,0.35962,0.19262,0.167,0.0775,2550.0,9.4605,3.4835,0.07068,0.088557,0.31711,0.17198,0.14513,0.145,2550.0,9.4605,4.1857,0.99
5,0.04,0.086885,0.10431,0.38162,0.20397,0.17765,0.06,2550.0,9.4605,3.3812,0.07849,0.09533,0.34685,0.18615,0.1607,0.0775,2550.0,9.4605,3.6067,0.06745,0.084878,0.30368,0.16502,0.13865,0.145,2550.0,9.4605,4.3073,0.99
6,0.05,0.083594,0.1008,0.36824,0.19717,0.17107,0.06,2550.0,9.4605,3.4818,0.075332,0.09191,0.33391,0.17954,0.15438,0.0775,2550.0,9.4605,3.7061,0.064264,0.081262,0.29027,0.15804,0.13223,0.145,2550.0,9.4605,4.4093,0.99
7,0.06,0.080322,0.097307,0.35484,0.19034,0.1645,0.06,2550.0,9.4605,3.5717,0.072202,0.088528,0.321,0.17291,0.14808,0.0775,2550.0,9.4605,3.8015,0.061135,0.077723,0.27704,0.15114,0.12591,0.145,2550.0,9.4605,4.5065,0.99
8,0.07,0.077077,0.093855,0.34151,0.18353,0.15798,0.06,2550.0,9.4605,3.6619,0.069106,0.08519,0.30819,0.16634,0.14185,0.0775,2550.0,9.4605,3.8957,0.058068,0.074266,0.26406,0.14436,0.1197,0.145,2550.0,9.4605,4.6046,0.99
9,0.08,0.073863,0.090441,0.32829,0.17677,0.15152,0.06,2550.0,9.4605,3.7571,0.066049,0.081899,0.29553,0.15984,0.13569,0.0775,2550.0,9.4605,3.9933,0.055065,0.07089,0.25135,0.13773,0.11362,0.145,2550.0,9.4605,4.7111,0.99
