,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,g
0,0.0,0.09986,0.11663,0.41104,0.21102,0.20002,480.0,480.0,480.0,0.090953,0.10758,0.37714,0.19464,0.18249,540.0,540.0,540.0,0.080696,0.098604,0.34105,0.17841,0.16265,600.0,600.0,600.0,0.0
1,0.0,0.09986,0.11663,0.41104,0.21102,0.20002,0.043,200.0,7.246,0.090953,0.10758,0.37714,0.19464,0.18249,0.065,200.0,7.246,0.080696,0.098604,0.34105,0.17841,0.16265,0.133,200.0,7.246,999.0
2,0.01,0.098101,0.11469,0.42281,0.22309,0.19972,0.043,200.0,7.246,0.089075,0.10545,0.38647,0.20484,0.18163,0.065,200.0,7.246,0.078403,0.095846,0.34607,0.18555,0.16052,0.133,200.0,7.246,999.0
3,0.02,0.094715,0.11112,0.41078,0.21754,0.19325,0.043,200.0,7.246,0.085744,0.10187,0.37435,0.19913,0.17522,0.065,200.0,7.246,0.074897,0.091889,0.33262,0.17895,0.15367,0.133,200.0,7.246,999.0
4,0.03,0.091117,0.10735,0.39655,0.21045,0.1861,0.043,200.0,7.246,0.08224,0.098125,0.36031,0.19207,0.16824,0.065,200.0,7.246,0.07129,0.08785,0.31773,0.1713,0.14643,0.133,200.0,7.246,999.0
5,0.04,0.087486,0.10355,0.38186,0.20303,0.17883,0.043,200.0,7.246,0.078724,0.094379,0.34594,0.18476,0.16118,0.065,200.0,7.246,0.067718,0.083865,0.30276,0.16354,0.13922,0.133,200.0,7.246,999.0
6,0.05,0.083868,0.099775,0.36712,0.19555,0.17157,0.043,200.0,7.246,0.075234,0.090669,0.3316,0.17744,0.15416,0.065,200.0,7.246,0.064213,0.079967,0.28801,0.15588,0.13213,0.133,200.0,7.246,999.0
7,0.06,0.080275,0.096028,0.35247,0.18811,0.16435,0.043,200.0,7.246,0.071784,0.087008,0.3174,0.17018,0.14722,0.065,200.0,7.246,0.060781,0.076162,0.27357,0.14838,0.12518,0.133,200.0,7.246,999.0
8,0.07,0.076712,0.092316,0.33793,0.18074,0.15719,0.043,200.0,7.246,0.068374,0.083396,0.30337,0.16302,0.14035,0.065,200.0,7.246,0.057423,0.072449,0.25944,0.14106,0.11839,0.133,200.0,7.246,999.0
9,0.08,0.073179,0.088641,0.32352,0.17342,0.15009,0.043,200.0,7.246,0.065004,0.079834,0.28951,0.15595,0.13357,0.065,200.0,7.246,0.054134,0.068824,0.24564,0.1339,0.11174,0.133,200.0,7.246,999.0
