,Zenith angle (°),"Radiance raw, -1e-05 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, -1e-05 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, -1e-05 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 0.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 20.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 20.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 40.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 40.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 60.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 60.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 80.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 80.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 100.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 100.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 120.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 120.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 140.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 140.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 160.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 160.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 180.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 180.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 484 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 544 nm (W sr-1 m-2 nm-1)","Radiance raw, 200.0 cm, 603 nm (W sr-1 m-2 nm-1)","Radiance fit, 200.0 cm, 603 nm (W sr-1 m-2 nm-1)"
0,0.0,,,,,,,,0.024487010127407213,,0.019917234454299073,,0.015665142944021836,,0.01622379860480505,,0.013166738291071674,,0.009719509982791004,,0.010743750607370515,,0.008535965198332347,,0.005782315075401131,,0.007680593444127359,,0.006032021317392397,,0.0038266191739151174,,0.006944691817641001,,0.0054416645742574685,,0.003340175229462827,,0.006284274671250968,,0.0049015523109865195,,0.002947537320825467,,0.005060126402281948,,0.003986889679228876,,0.0023430743902554635,,0.004728971325888549,,0.0037306278436586224,,0.0021809899152799004,,0.004656174729033625,,0.0036836106422622017,,0.0021511914467335354,,0.003875021465835856,,0.003121897240247937,,0.0017867436740573012
1,1.0,0.031434511384280515,0.027796268142611606,0.022952557076176945,0.04088163125594127,0.03481706756547606,0.02862124562393605,,0.02448480659242614,,0.01991547686858358,,0.01566339951064564,,0.016223180775832607,,0.01316622345999651,,0.009718904414844385,,0.010743821493461871,,0.008535989130267709,,0.005782197902431585,,0.007680578858205871,,0.006032009930666583,,0.0038265259329439373,,0.006944560026561681,,0.005441560825043651,,0.003340036844604162,,0.006283991818479498,,0.0049013466886373746,,0.002947343618177946,,0.0050600256981037164,,0.003986830739030793,,0.002342975358401912,,0.004728843176036482,,0.003730545128177519,,0.0021808797031249516,,0.004656072503318138,,0.0036835429141315254,,0.0021510911794118395,,0.0038748900317199988,,0.003121800190354097,,0.001786642490388516
2,2.0,0.03690458667127303,0.03178779271383466,0.026288931247791514,0.039538415953100675,0.032098892099899266,0.02720052661956225,,0.024478198052526705,,0.01991020564176794,,0.015658170942060977,,0.016221326858767728,,0.013164678577063375,,0.009717087688969154,,0.010744032979815995,,0.008536060049757098,,0.005781845953294282,,0.007680534325646355,,0.006031975153100039,,0.0038262459349482844,,0.006944164052390711,,0.00544124910335173,,0.0033396215122987963,,0.0062831429722348935,,0.0049007295696520065,,0.0029467624724666824,,0.005059723009292265,,0.00398665341951721,,0.0023426780838721024,,0.004728458283968825,,0.003730296595579366,,0.0021805489542827588,,0.0046557653355487364,,0.0036833393160699023,,0.0021507902467086675,,0.003874495324624823,,0.003121508697289852,,0.0017863388380459635
3,3.0,0.03169301445803486,0.026562730752622107,0.021911335830714442,0.02968789454940739,0.02409371949328288,0.02020112181685108,,0.02446719069973287,,0.01990142536271915,,0.01564946243014676,,0.016218235565479598,,0.013162102475172185,,0.00971405974011793,,0.010744381554381274,,0.008536175330655331,,0.005781257938931117,,0.007680457524506624,,0.006031915134468319,,0.0038257783557016376,,0.006943502094305033,,0.005440727988593713,,0.0033389287000966054,,0.0062817272699796315,,0.004899700199254746,,0.0029457937707812734,,0.005059216608915194,,0.003986356225535288,,0.0023421820304605186,,0.004727815323635128,,0.0037298810886546518,,0.002179997332112484,,0.004655251755453943,,0.003682998608389416,,0.0021502882569455566,,0.0038738361316782684,,0.0031210217320480427,,0.0017858324134531148
4,4.0,0.0339314132225297,0.027501130609709674,0.023235271545453278,0.02641718444719715,0.021780585793610897,0.018708085510579252,,0.02445179484373256,,0.019889143672467628,,0.015637282618864014,,0.016213904756782374,,0.013158493215892665,,0.00970982046340377,,0.010744861376088549,,0.008536330605395494,,0.005780431716333307,,0.007680344593019356,,0.006031826797534767,,0.003825121824889509,,0.006942571157513947,,0.005439995118329936,,0.0033379575230384644,,0.006279743278324246,,0.004898257322943494,,0.002944437326255406,,0.005058503625072719,,0.003985936670509714,,0.002341486306829055,,0.004726912089893524,,0.0037292966829007377,,0.002179224277181944,,0.0046545293179012905,,0.0036825187293427477,,0.0021495845591094544,,0.0038729104359922074,,0.003120337583416914,,0.0017851227120880134
5,5.0,0.03775178516122679,0.030788556369295048,0.02566216684920465,0.031040743781301373,0.025375678127878033,0.02197568942646717,,0.02443202489637105,,0.019873371253599035,,0.015621643590519773,,0.016208331453958034,,0.013153848099546988,,0.009704369719374908,,0.010745464293339451,,0.008536519778973524,,0.005779364296656472,,0.007680190141772518,,0.00603170584773753,,0.0038242744311935166,,0.00694136706311123,,0.0054390471960641396,,0.0033367067473351903,,0.006277188999273858,,0.0048963991916649964,,0.0029426928800387895,,0.005057580050360206,,0.003985391284446017,,0.002340589670006375,,0.0047257455059094055,,0.003728540692779397,,0.002178229009716277,,0.004653594610861643,,0.0036818968017091136,,0.0021486782455237396,,0.003871715423496856,,0.0031194538636691712,,0.0017842090306371908
6,6.0,0.04005994988892102,0.03231642571169151,0.026767023648810413,0.035419347094411364,0.028924520153447125,0.024364927063200054,,0.024407899349984323,,0.019854121815429934,,0.015602560846576049,,0.01620151185483752,,0.013148163679281287,,0.009697707341372881,,0.010746179869816387,,0.00853673504847076,,0.005778051856547749,,0.007679987270713913,,0.006031546786713186,,0.003823233729388106,,0.006939884461829296,,0.005437880002125803,,0.003335174795502702,,0.006274061878947117,,0.004894123569038791,,0.0029405601040486417,,0.005056440755078222,,0.003984715625103672,,0.002339490530272497,,0.004724311633484348,,0.003727609680452845,,0.0021770105330158078,,0.004652443266528001,,0.003681129141988845,,0.002147568155576559,,0.0038702474924819227,,0.0031183675165042625,,0.0017830904700022164
7,7.0,0.042902196580940015,0.034574588015415325,0.028711108117255215,0.03650186851718558,0.029859284795888445,0.025138391044931627,,0.02437944074961495,,0.01983141207499463,,0.015580053283043044,,0.016193441354389652,,0.013141435779081934,,0.009689833144947606,,0.010746995417540612,,0.008536966928058755,,0.005776489752651076,,0.007679727590931939,,0.006031342929618955,,0.0038219967494290247,,0.006938116851656661,,0.005436488407609064,,0.0033333597529381096,,0.006270358818741546,,0.004891427740608406,,0.002938038604491572,,0.00505507950415269,,0.003983904292307554,,0.002338186957414135,,0.004722605686286126,,0.0037264994669737985,,0.0021755676378328523,,0.004651069975557585,,0.0036802112721809888,,0.0021462528804954257,,0.0038685022658175245,,0.003117074827221586,,0.0017817659391499837
8,8.0,0.04353133071823003,0.03506160398044088,0.029223671137960087,0.03917624622056674,0.031597974908810306,0.026754218182673768,,0.0243466756591651,,0.01980526173387782,,0.015554143160507013,,0.01618411456975288,,0.013133659515680216,,0.009680746939295536,,0.010747896037084329,,0.008537204279414987,,0.0057746725392472855,,0.007679401251151234,,0.006031086426204738,,0.0038205600075067693,,0.0069360565992691555,,0.005434866391328934,,0.0033312593759171312,,0.0062660761889118104,,0.00488830852509245,,0.0029351279261440964,,0.005053488977717288,,0.003982950945357442,,0.002336676688332261,,0.004720622045942525,,0.0037252051458982662,,0.0021738989076943603,,0.004649468504397308,,0.0036791379341110705,,0.002144730769153916,,0.003866474605820368,,0.0031155714350960184,,0.0017802341597953292
9,9.0,0.04340743218409468,0.03491797722670695,0.029763729713003704,0.042124781622732047,0.03403486307073049,0.028530662463095612,,0.024309634621552882,,0.019775693450935494,,0.01552485606885412,,0.016173525369631053,,0.013124829324276721,,0.009670448540679801,,0.010748864664822232,,0.008537434347462724,,0.005772593988976172,,0.0076789969688685535,,0.006030768285575671,,0.003818919519032433,,0.006933694965214545,,0.005433007059747006,,0.0033288711009889903,,0.006261209844520347,,0.004884762287602262,,0.002931827557377497,,0.005051660795299814,,0.003981848323486607,,0.0023349571359793427,,0.004718354280953492,,0.0037237210992829535,,0.0021720027251544193,,0.00464763171564405,,0.003677903106269078,,0.0021429999348932358,,0.003864158631723182,,0.003113852347921002,,0.001778493671902114
