,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.098206,0.11663,0.40818,0.21102,0.19716,480.0,480.0,480.0,480.0,0.089558,0.10758,0.37473,0.19464,0.18009,540.0,540.0,540.0,540.0,0.07923,0.098604,0.33851,0.17841,0.16011,600.0,600.0,600.0,600.0,0.0
1,0.0,0.098206,0.11663,0.40818,0.21102,0.19716,0.06,170.0,6.1591,-0.84877,0.089558,0.10758,0.37473,0.19464,0.18009,0.0775,170.0,6.1591,-0.56037,0.07923,0.098604,0.33851,0.17841,0.16011,0.145,170.0,6.1591,0.35328,0.85
2,0.01,0.096582,0.11475,0.41927,0.22235,0.19692,0.06,170.0,6.1591,2.6904,0.087865,0.10558,0.38376,0.20435,0.17941,0.0775,170.0,6.1591,2.9195,0.077152,0.096024,0.34342,0.18517,0.15824,0.145,170.0,6.1591,3.645,0.85
3,0.02,0.09353,0.11145,0.40869,0.21754,0.19115,0.06,170.0,6.1591,3.1102,0.08489,0.10232,0.37319,0.19945,0.17374,0.0775,170.0,6.1591,3.3338,0.074008,0.092391,0.33152,0.17938,0.15215,0.145,170.0,6.1591,4.0371,0.85
4,0.03,0.090266,0.10795,0.39581,0.21112,0.18468,0.06,170.0,6.1591,3.2793,0.081735,0.098877,0.3606,0.19312,0.16748,0.0775,170.0,6.1591,3.5031,0.070751,0.088663,0.31807,0.17245,0.14562,0.145,170.0,6.1591,4.1997,0.85
5,0.04,0.086963,0.10441,0.38237,0.2043,0.17807,0.06,170.0,6.1591,3.386,0.078558,0.095425,0.34756,0.18646,0.1611,0.0775,170.0,6.1591,3.6097,0.067513,0.084974,0.30441,0.16534,0.13907,0.145,170.0,6.1591,4.3062,0.85
6,0.05,0.083673,0.1009,0.36885,0.1974,0.17145,0.06,170.0,6.1591,3.4728,0.075402,0.092005,0.3345,0.17976,0.15474,0.0775,170.0,6.1591,3.6983,0.06433,0.081359,0.29091,0.15828,0.13262,0.145,170.0,6.1591,4.3963,0.85
7,0.06,0.08041,0.097417,0.35541,0.19053,0.16488,0.06,170.0,6.1591,3.5551,0.072281,0.08863,0.32155,0.1731,0.14845,0.0775,170.0,6.1591,3.7838,0.061212,0.077829,0.27766,0.15136,0.1263,0.145,170.0,6.1591,4.4852,0.85
8,0.07,0.077181,0.093979,0.3421,0.18372,0.15838,0.06,170.0,6.1591,3.6401,0.069201,0.085306,0.30876,0.16653,0.14223,0.0775,170.0,6.1591,3.8727,0.058161,0.074385,0.2647,0.14458,0.12011,0.145,170.0,6.1591,4.5789,0.85
9,0.08,0.073987,0.090583,0.32894,0.17699,0.15195,0.06,170.0,6.1591,3.7297,0.066162,0.082032,0.29615,0.16005,0.1361,0.0775,170.0,6.1591,3.965,0.055175,0.071024,0.25203,0.13797,0.11406,0.145,170.0,6.1591,4.6796,0.85
10,0.09,0.070827,0.08723,0.31592,0.17033,0.14559,0.06,170.0,6.1591,3.8261,0.063162,0.078807,0.28371,0.15366,0.13005,0.0775,170.0,6.1591,4.0662,0.052251,0.067744,0.23964,0.13151,0.10813,0.145,170.0,6.1591,4.7886,0.85
11,0.1,0.0677,0.083917,0.30305,0.16376,0.13929,0.06,170.0,6.1591,3.9299,0.0602,0.075631,0.27145,0.14737,0.12408,0.0775,170.0,6.1591,4.175,0.049387,0.064542,0.22752,0.12519,0.10233,0.145,170.0,6.1591,4.9101,0.85
12,0.11,0.064605,0.080644,0.29032,0.15726,0.13306,0.06,170.0,6.1591,4.0405,0.057275,0.0725,0.25935,0.14116,0.11819,0.0775,170.0,6.1591,4.2925,0.04658,0.061413,0.21567,0.11902,0.096647,0.145,170.0,6.1591,5.0433,0.85
13,0.12,0.06154,0.077409,0.27773,0.15084,0.12689,0.06,170.0,6.1591,4.1618,0.054385,0.069414,0.24741,0.13504,0.11236,0.0775,170.0,6.1591,4.4219,0.043826,0.058355,0.20406,0.11299,0.091073,0.145,170.0,6.1591,5.1902,0.85
14,0.13,0.058505,0.074211,0.26527,0.14448,0.12079,0.06,170.0,6.1591,4.2926,0.051529,0.06637,0.23561,0.129,0.10661,0.0775,170.0,6.1591,4.5629,0.041122,0.055363,0.19269,0.10709,0.085603,0.145,170.0,6.1591,5.3537,0.85
15,0.14,0.055497,0.071048,0.25294,0.1382,0.11474,0.06,170.0,6.1591,4.4361,0.048704,0.063367,0.22397,0.12305,0.10092,0.0775,170.0,6.1591,4.7165,0.038466,0.052435,0.18154,0.10131,0.08023,0.145,170.0,6.1591,5.5354,0.85
16,0.15,0.052515,0.067918,0.24072,0.13198,0.10874,0.06,170.0,6.1591,4.5927,0.045908,0.060402,0.21245,0.11716,0.095291,0.0775,170.0,6.1591,4.8869,0.035853,0.049567,0.17059,0.09564,0.074948,0.145,170.0,6.1591,5.7388,0.85
17,0.16,0.049558,0.06482,0.22861,0.12582,0.10279,0.06,170.0,6.1591,4.764,0.043141,0.057474,0.20107,0.11135,0.089718,0.0775,170.0,6.1591,5.0749,0.033281,0.046756,0.15983,0.090082,0.06975,0.145,170.0,6.1591,5.968,0.85
18,0.17,0.046623,0.061752,0.21661,0.11972,0.096886,0.06,170.0,6.1591,4.9572,0.040398,0.05458,0.1898,0.1056,0.084194,0.0775,170.0,6.1591,5.2838,0.030745,0.043996,0.14925,0.084625,0.064624,0.145,170.0,6.1591,6.2292,0.85
19,0.18,0.043708,0.05871,0.20468,0.11367,0.091013,0.06,170.0,6.1591,5.171,0.037678,0.051717,0.17862,0.099911,0.078707,0.0775,170.0,6.1591,5.5224,0.028242,0.041284,0.13881,0.079255,0.059553,0.145,170.0,6.1591,6.5345,0.85
20,0.19,0.040807,0.05569,0.19279,0.10765,0.085139,0.06,170.0,6.1591,5.4256,0.034973,0.048879,0.16748,0.09426,0.07322,0.0775,170.0,6.1591,5.8082,0.025762,0.03861,0.12844,0.073948,0.05449,0.145,170.0,6.1591,6.9138,0.85
21,0.2,0.037623,0.052389,0.17942,0.10101,0.078402,0.06,480.0,17.39,1.2486,0.032004,0.045779,0.15493,0.088027,0.066898,0.0775,480.0,17.39,1.3729,0.023036,0.035699,0.11666,0.068095,0.048569,0.145,480.0,17.39,1.7297,0.99
22,0.21,0.037112,0.051771,0.17713,0.099784,0.07735,0.06,480.0,1.7808,1.1816,0.031534,0.045189,0.15276,0.086844,0.065921,0.0775,480.0,1.7808,1.2912,0.022623,0.035117,0.11458,0.066897,0.047686,0.145,480.0,1.7808,1.6292,0.99
23,0.22,0.036608,0.051161,0.17489,0.098573,0.076316,0.06,480.0,1.7808,1.1867,0.031072,0.04461,0.15066,0.085691,0.064967,0.0775,480.0,1.7808,1.2929,0.02222,0.03455,0.1126,0.065759,0.046837,0.145,480.0,1.7808,1.6283,0.99
24,0.23,0.036109,0.050558,0.17267,0.097375,0.075292,0.06,480.0,1.7808,1.1888,0.030615,0.044037,0.14858,0.084552,0.064024,0.0775,480.0,1.7808,1.2957,0.021824,0.033992,0.11066,0.064651,0.046006,0.145,480.0,1.7808,1.6268,0.99
25,0.24,0.035613,0.049959,0.17047,0.096191,0.074277,0.06,480.0,1.7808,1.1926,0.030162,0.04347,0.14652,0.08343,0.063091,0.0775,480.0,1.7808,1.2994,0.021435,0.033444,0.10876,0.063569,0.04519,0.145,480.0,1.7808,1.6261,0.99
