,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.098762,0.11663,0.40908,0.21102,0.19806,480.0,480.0,480.0,480.0,0.090035,0.10758,0.3755,0.19464,0.18085,540.0,540.0,540.0,540.0,0.079557,0.098604,0.33903,0.17841,0.16062,600.0,600.0,600.0,600.0,0.0
1,0.0,0.098762,0.11663,0.40908,0.21102,0.19806,0.06,170.0,6.4243,-0.90546,0.090035,0.10758,0.3755,0.19464,0.18085,0.0775,170.0,6.4243,-0.6085,0.079557,0.098604,0.33903,0.17841,0.16062,0.145,170.0,6.4243,0.33253,0.85
2,0.01,0.097244,0.11486,0.42068,0.2226,0.19808,0.06,170.0,6.4243,2.5882,0.088432,0.10567,0.38495,0.20455,0.1804,0.0775,170.0,6.4243,2.8247,0.077536,0.096081,0.34419,0.18529,0.1589,0.145,170.0,6.4243,3.5735,0.85
3,0.02,0.094306,0.11167,0.41061,0.21806,0.19255,0.06,170.0,6.4243,3.0045,0.085555,0.1025,0.37483,0.19989,0.17494,0.0775,170.0,6.4243,3.2355,0.074459,0.092512,0.33261,0.17966,0.15295,0.145,170.0,6.4243,3.9627,0.85
4,0.03,0.091153,0.10828,0.3982,0.21189,0.18631,0.06,170.0,6.4243,3.1698,0.082495,0.099156,0.36264,0.19377,0.16887,0.0775,170.0,6.4243,3.4001,0.071266,0.088847,0.31943,0.17288,0.14655,0.145,170.0,6.4243,4.1213,0.85
5,0.04,0.087959,0.10485,0.38521,0.20529,0.17991,0.06,170.0,6.4243,3.2698,0.079411,0.095796,0.34998,0.18731,0.16268,0.0775,170.0,6.4243,3.5001,0.068092,0.085219,0.30604,0.1659,0.14014,0.145,170.0,6.4243,4.2222,0.85
6,0.05,0.084777,0.10144,0.37213,0.19861,0.17352,0.06,170.0,6.4243,3.3491,0.076347,0.092466,0.33729,0.18079,0.15651,0.0775,170.0,6.4243,3.5819,0.064972,0.081665,0.29278,0.15897,0.13382,0.145,170.0,6.4243,4.3046,0.85
7,0.06,0.081622,0.098064,0.35912,0.19196,0.16716,0.06,170.0,6.4243,3.4238,0.07332,0.089182,0.32472,0.17432,0.1504,0.0775,170.0,6.4243,3.6585,0.061917,0.078195,0.27978,0.15216,0.12762,0.145,170.0,6.4243,4.3862,0.85
8,0.07,0.078501,0.094731,0.34624,0.18536,0.16088,0.06,170.0,6.4243,3.4998,0.070332,0.085947,0.3123,0.16793,0.14437,0.0775,170.0,6.4243,3.7377,0.05893,0.074812,0.26707,0.14551,0.12156,0.145,170.0,6.4243,4.4708,0.85
9,0.08,0.075415,0.091441,0.3335,0.17884,0.15466,0.06,170.0,6.4243,3.5791,0.067386,0.082764,0.30005,0.16163,0.13843,0.0775,170.0,6.4243,3.82,0.056009,0.071512,0.25466,0.13902,0.11563,0.145,170.0,6.4243,4.561,0.85
