,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.09822,0.11663,0.40816,0.21102,0.19714,480.0,480.0,480.0,480.0,0.089572,0.10758,0.37471,0.19464,0.18007,540.0,540.0,540.0,540.0,0.079245,0.098604,0.3385,0.17841,0.16009,600.0,600.0,600.0,600.0,0.0
1,0.0,0.09822,0.11663,0.40816,0.21102,0.19714,0.06,170.0,6.4243,-0.78373,0.089572,0.10758,0.37471,0.19464,0.18007,0.0775,170.0,6.4243,-0.49555,0.079245,0.098604,0.3385,0.17841,0.16009,0.145,170.0,6.4243,0.41535,0.85
2,0.01,0.09658,0.11474,0.41913,0.22224,0.19689,0.06,170.0,6.4243,2.6886,0.087864,0.10557,0.38363,0.20425,0.17938,0.0775,170.0,6.4243,2.9177,0.077154,0.096011,0.3433,0.18509,0.15822,0.145,170.0,6.4243,3.6434,0.85
3,0.02,0.093531,0.11144,0.40861,0.21748,0.19113,0.06,170.0,6.4243,3.1087,0.084892,0.1023,0.37312,0.19939,0.17373,0.0775,170.0,6.4243,3.3321,0.074012,0.09238,0.33146,0.17932,0.15213,0.145,170.0,6.4243,4.0369,0.85
4,0.03,0.090268,0.10794,0.39575,0.21108,0.18468,0.06,170.0,6.4243,3.2804,0.081739,0.098866,0.36055,0.19308,0.16747,0.0775,170.0,6.4243,3.5029,0.070755,0.088652,0.31802,0.17241,0.14561,0.145,170.0,6.4243,4.2009,0.85
5,0.04,0.086966,0.1044,0.38233,0.20427,0.17806,0.06,170.0,6.4243,3.387,0.078561,0.095414,0.34752,0.18643,0.16109,0.0775,170.0,6.4243,3.6106,0.067517,0.084962,0.30437,0.16531,0.13907,0.145,170.0,6.4243,4.3075,0.85
6,0.05,0.083674,0.10088,0.36882,0.19737,0.17145,0.06,170.0,6.4243,3.4751,0.075403,0.091992,0.33446,0.17973,0.15473,0.0775,170.0,6.4243,3.7005,0.064332,0.081346,0.29087,0.15825,0.13262,0.145,170.0,6.4243,4.3994,0.85
7,0.06,0.080409,0.097402,0.35537,0.1905,0.16487,0.06,170.0,6.4243,3.5582,0.072281,0.088616,0.32151,0.17307,0.14844,0.0775,170.0,6.4243,3.7872,0.061212,0.077814,0.27761,0.15132,0.12629,0.145,170.0,6.4243,4.489,0.85
8,0.07,0.077178,0.093961,0.34205,0.18369,0.15837,0.06,170.0,6.4243,3.6439,0.069198,0.085289,0.30871,0.16649,0.14222,0.0775,170.0,6.4243,3.876,0.058158,0.074367,0.26464,0.14455,0.1201,0.145,170.0,6.4243,4.5825,0.85
9,0.08,0.073981,0.090563,0.32888,0.17695,0.15193,0.06,170.0,6.4243,3.7341,0.066156,0.082012,0.29609,0.16001,0.13609,0.0775,170.0,6.4243,3.9691,0.05517,0.071004,0.25197,0.13793,0.11404,0.145,170.0,6.4243,4.6836,0.85
