,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.095529,0.11663,0.40461,0.21102,0.19359,480.0,480.0,480.0,480.0,0.086798,0.10758,0.37091,0.19464,0.17627,540.0,540.0,540.0,540.0,0.075932,0.098604,0.33363,0.17841,0.15522,600.0,600.0,600.0,600.0,0.0
1,0.0,0.095529,0.11663,0.40461,0.21102,0.19359,0.06,170.0,1.3175,-0.17689,0.086798,0.10758,0.37091,0.19464,0.17627,0.0775,170.0,1.3175,0.080231,0.075932,0.098604,0.33363,0.17841,0.15522,0.145,170.0,1.3175,0.88642,0.99
2,0.01,0.094369,0.11522,0.41462,0.22157,0.19304,0.06,170.0,1.3175,1.944,0.085553,0.10604,0.37899,0.20363,0.17536,0.0775,170.0,1.3175,2.1539,0.074327,0.096507,0.33783,0.18453,0.15329,0.145,170.0,1.3175,2.8107,0.99
3,0.02,0.092172,0.11278,0.40788,0.2189,0.18898,0.06,170.0,1.3175,2.3149,0.083384,0.10358,0.37202,0.20071,0.1713,0.0775,170.0,1.3175,2.5153,0.071967,0.093663,0.32936,0.1806,0.14876,0.145,170.0,1.3175,3.148,0.99
4,0.03,0.089749,0.11011,0.39863,0.2144,0.18422,0.06,170.0,1.3175,2.467,0.081018,0.10093,0.36282,0.19618,0.16664,0.0775,170.0,1.3175,2.6674,0.069469,0.090695,0.31913,0.17537,0.14377,0.145,170.0,1.3175,3.2917,0.99
5,0.04,0.087255,0.10738,0.38859,0.20934,0.17925,0.06,170.0,1.3175,2.5552,0.078598,0.098229,0.35295,0.19116,0.16179,0.0775,170.0,1.3175,2.7545,0.066951,0.087722,0.30847,0.16979,0.13868,0.145,170.0,1.3175,3.3767,0.99
6,0.05,0.084746,0.10464,0.37829,0.20408,0.17421,0.06,170.0,1.3175,2.6164,0.076171,0.095532,0.34286,0.18596,0.1569,0.0775,170.0,1.3175,2.814,0.064453,0.084785,0.29776,0.16415,0.13361,0.145,170.0,1.3175,3.4391,0.99
7,0.06,0.082244,0.10192,0.36793,0.19876,0.16917,0.06,170.0,1.3175,2.6674,0.073757,0.092857,0.33279,0.18076,0.15203,0.0775,170.0,1.3175,2.8693,0.06199,0.081898,0.28714,0.15855,0.1286,0.145,170.0,1.3175,3.4939,0.99
8,0.07,0.079758,0.099214,0.3576,0.19345,0.16416,0.06,170.0,1.3175,2.7147,0.071365,0.09021,0.32277,0.17557,0.1472,0.0775,170.0,1.3175,2.9188,0.059567,0.079066,0.27669,0.15302,0.12367,0.145,170.0,1.3175,3.5475,0.99
9,0.08,0.077292,0.096537,0.34735,0.18817,0.15918,0.06,170.0,1.3175,2.7617,0.068997,0.087596,0.31284,0.17043,0.14241,0.0775,170.0,1.3175,2.9675,0.057187,0.076292,0.26642,0.1476,0.11882,0.145,170.0,1.3175,3.6016,0.99
10,0.09,0.074848,0.093888,0.33718,0.18294,0.15425,0.06,170.0,1.3175,2.8088,0.066656,0.085016,0.30302,0.16534,0.13768,0.0775,170.0,1.3175,3.0173,0.054849,0.073575,0.25634,0.14227,0.11406,0.145,170.0,1.3175,3.6577,0.99
11,0.1,0.072426,0.091267,0.32711,0.17775,0.14936,0.06,170.0,1.3175,2.8579,0.064341,0.08247,0.29331,0.16031,0.13299,0.0775,170.0,1.3175,3.0699,0.052552,0.070914,0.24645,0.13706,0.10939,0.145,170.0,1.3175,3.717,0.99
12,0.11,0.070027,0.088674,0.31714,0.17262,0.14452,0.06,170.0,1.3175,2.9099,0.062051,0.079957,0.28372,0.15535,0.12837,0.0775,170.0,1.3175,3.1253,0.050296,0.068307,0.23674,0.13194,0.1048,0.145,170.0,1.3175,3.7809,0.99
