psi[deg],betatilde[1/sr]
0.1,7.00E+00
0.2,6.99E+00
0.3,6.99E+00
0.4,6.98E+00
0.5,6.97E+00
0.6,6.95E+00
0.7,6.93E+00
0.8,6.92E+00
0.9,6.89E+00
1,6.87E+00
2,6.51E+00
3,5.97E+00
4,5.34E+00
5,4.67E+00
6,4.03E+00
7,3.44E+00
8,2.92E+00
9,2.47E+00
10,2.09E+00
11,1.78E+00
12,1.51E+00
13,1.29E+00
14,1.11E+00
15,9.56E-01
16,8.28E-01
17,7.20E-01
18,6.30E-01
19,5.53E-01
20,4.88E-01
21,4.32E-01
22,3.84E-01
23,3.43E-01
24,3.07E-01
25,2.77E-01
26,2.50E-01
27,2.26E-01
28,2.05E-01
29,1.87E-01
30,1.71E-01
31,1.56E-01
32,1.43E-01
33,1.32E-01
34,1.22E-01
35,1.12E-01
36,1.04E-01
37,9.66E-02
38,8.98E-02
39,8.37E-02
40,7.81E-02
41,7.30E-02
42,6.84E-02
43,6.41E-02
44,6.02E-02
45,5.66E-02
46,5.33E-02
47,5.03E-02
48,4.75E-02
49,4.49E-02
50,4.25E-02
51,4.03E-02
52,3.82E-02
53,3.63E-02
54,3.45E-02
55,3.29E-02
56,3.13E-02
57,2.99E-02
58,2.85E-02
59,2.72E-02
60,2.61E-02
61,2.49E-02
62,2.39E-02
63,2.29E-02
64,2.20E-02
65,2.11E-02
66,2.03E-02
67,1.95E-02
68,1.88E-02
69,1.81E-02
70,1.74E-02
71,1.68E-02
72,1.62E-02
73,1.57E-02
74,1.51E-02
75,1.46E-02
76,1.42E-02
77,1.37E-02
78,1.33E-02
79,1.29E-02
80,1.25E-02
81,1.21E-02
82,1.17E-02
83,1.14E-02
84,1.11E-02
85,1.08E-02
86,1.05E-02
87,1.02E-02
88,9.93E-03
89,9.67E-03
90,9.43E-03
91,9.19E-03
92,8.96E-03
93,8.75E-03
94,8.54E-03
95,8.34E-03
96,8.15E-03
97,7.97E-03
98,7.79E-03
99,7.63E-03
100,7.46E-03
101,7.31E-03
102,7.16E-03
103,7.02E-03
104,6.88E-03
105,6.75E-03
106,6.62E-03
107,6.50E-03
108,6.38E-03
109,6.27E-03
110,6.16E-03
111,6.06E-03
112,5.96E-03
113,5.86E-03
114,5.77E-03
115,5.68E-03
116,5.59E-03
117,5.51E-03
118,5.43E-03
119,5.36E-03
120,5.29E-03
121,5.22E-03
122,5.15E-03
123,5.09E-03
124,5.03E-03
125,4.97E-03
126,4.92E-03
127,4.87E-03
128,4.82E-03
129,4.77E-03
130,4.73E-03
131,4.69E-03
132,4.65E-03
133,4.61E-03
134,4.58E-03
135,4.55E-03
136,4.53E-03
137,4.50E-03
138,4.48E-03
139,4.47E-03
140,4.45E-03
141,4.44E-03
142,4.44E-03
143,4.43E-03
144,4.44E-03
145,4.44E-03
146,4.45E-03
147,4.47E-03
148,4.49E-03
149,4.52E-03
150,4.55E-03
151,4.59E-03
152,4.64E-03
153,4.70E-03
154,4.76E-03
155,4.84E-03
156,4.93E-03
157,5.03E-03
158,5.14E-03
159,5.27E-03
160,5.41E-03
161,5.57E-03
162,5.75E-03
163,5.95E-03
164,6.17E-03
165,6.41E-03
166,6.68E-03
167,6.97E-03
168,7.28E-03
169,7.62E-03
170,7.97E-03
171,8.33E-03
172,8.70E-03
173,9.07E-03
174,9.43E-03
175,9.77E-03
176,1.01E-02
177,1.03E-02
178,1.05E-02
179,1.06E-02
180,1.07E-02
