depth,r,g,b
0.0,-162.4621,-152.34439,-143.80013
0.10000000149011612,-175.77463,-170.03145,-164.7811
5.0,-0.34043175,-0.6460714,-0.23267806
10.0,13.1618595,9.767841,12.976124
15.0,2.101976,1.937822,2.1671214
20.0,1.7061985,1.5703716,1.7972193
25.0,2.2307124,2.0030437,2.342764
30.0,2.019603,1.8007635,2.1103294
40.0,0.7787135,0.6520091,0.8170529
50.0,0.69826037,0.6341819,0.8717074
60.0,0.77215356,0.7723022,1.1183424
70.0,0.31752774,0.33958164,0.4393039
80.0,0.15484567,0.15803196,0.25141123
90.0,0.20314628,0.05568423,0.18224277
