DateTime	DateTimeUTC	Millisecond (ms)	Ed0Roll (°)	Ed0Pitch (°)	Ed0380 (µW/(cm² nm))	Ed0395 (µW/(cm² nm))	Ed0412 (µW/(cm² nm))	Ed0443 (µW/(cm² nm))	Ed0465 (µW/(cm² nm))	Ed0490 (µW/(cm² nm))	Ed0510 (µW/(cm² nm))	Ed0532 (µW/(cm² nm))	Ed0555 (µW/(cm² nm))	Ed0560 (µW/(cm² nm))	Ed0589 (µW/(cm² nm))	Ed0625 (µW/(cm² nm))	Ed0665 (µW/(cm² nm))	Ed0683 (µW/(cm² nm))	Ed0694 (µW/(cm² nm))	Ed0710 (µW/(cm² nm))	Ed0765 (µW/(cm² nm))	Ed0780 (µW/(cm² nm))	Ed0875 (µW/(cm² nm))
3/23/2022 3:13:56 PM	3/23/2022 3:13:56 PM	431	-0.3494712	-0.06989381	58.19677	60.33657	95.44846	104.5908	119.0377	111.9083	110.986	110.3977	105.2409	103.6876	98.50529	93.48634	92.05058	85.91103	83.29927	84.33257	50.40106	72.14677	54.39963
3/23/2022 3:13:57 PM	3/23/2022 3:13:57 PM	414	-0.3494712	-0.06989381	58.19871	60.34168	95.45382	104.5955	119.0449	111.9144	110.9935	110.4053	105.2482	103.6947	98.51186	93.49255	92.05636	85.91645	83.30447	84.33752	50.40456	72.1516	54.40274
3/23/2022 3:13:58 PM	3/23/2022 3:13:58 PM	397	-0.3494712	-0.06989381	58.20428	60.34128	95.46317	104.6059	119.0565	111.9266	111.0048	110.4173	105.2595	103.7066	98.52351	93.50418	92.06879	85.92764	83.31565	84.34892	50.41261	72.16232	54.41193
3/23/2022 3:13:59 PM	3/23/2022 3:13:59 PM	364	-0.2795763	-0.06989381	58.20162	60.33998	95.45735	104.6005	119.0502	111.9178	110.997	110.4078	105.2509	103.6981	98.5147	93.49622	92.0599	85.91993	83.30812	84.34019	50.40786	72.15504	54.40622
3/23/2022 3:14:00 PM	3/23/2022 3:14:00 PM	347	-0.3494712	-0.1397877	58.20413	60.34198	95.46029	104.6063	119.0535	111.9228	111.0024	110.4143	105.2572	103.7037	98.52035	93.50157	92.06583	85.92568	83.31316	84.34574	50.41118	72.16077	54.41054
3/23/2022 3:14:01 PM	3/23/2022 3:14:01 PM	314	-0.2795763	-0.06989381	58.21115	60.35034	95.47457	104.6187	119.0693	111.9389	111.018	110.4311	105.2734	103.7206	98.53621	93.51713	92.08142	85.93954	83.32753	84.35989	50.4201	72.17281	54.42021
3/23/2022 3:14:02 PM	3/23/2022 3:14:02 PM	297	-0.3494712	-0.06989381	58.19671	60.33233	95.4455	104.5886	119.0359	111.9083	110.9887	110.4022	105.2466	103.6938	98.51154	93.49561	92.06061	85.9214	83.30911	84.34162	50.41019	72.1586	54.41035
3/23/2022 3:14:03 PM	3/23/2022 3:14:03 PM	279	-0.3494712	-0.06989381	58.18695	60.32204	95.42149	104.5613	119.0018	111.8757	110.9551	110.3662	105.2119	103.6585	98.47742	93.46233	92.02757	85.88988	83.27895	84.31109	50.39197	72.13255	54.38979
3/23/2022 3:14:04 PM	3/23/2022 3:14:04 PM	247	-0.2795763	-0.06989381	58.19353	60.33005	95.43171	104.5737	119.0134	111.8847	110.9653	110.3763	105.2209	103.6683	98.48563	93.4699	92.03432	85.89638	83.28465	84.31728	50.3956	72.13745	54.39389
3/23/2022 3:14:05 PM	3/23/2022 3:14:05 PM	229	-0.3494712	-0.1397877	58.19936	60.336	95.43819	104.577	119.0176	111.8873	110.967	110.379	105.2238	103.6703	98.48678	93.47193	92.03642	85.89767	83.28551	84.31779	50.39622	72.1384	54.39467
3/23/2022 3:14:06 PM	3/23/2022 3:14:06 PM	197	-0.3494712	-0.1397877	58.18621	60.31974	95.41238	104.55	118.982	111.8575	110.9358	110.3484	105.1934	103.6405	98.45866	93.44574	92.0108	85.87402	83.26295	84.29466	50.38301	72.11924	54.38021
3/23/2022 3:14:07 PM	3/23/2022 3:14:07 PM	179	-0.3494712	-0.1397877	58.18082	60.31557	95.39816	104.5307	118.9659	111.8391	110.9197	110.3307	105.1786	103.6255	98.44476	93.43308	91.99889	85.86288	83.25218	84.28425	50.37764	72.11198	54.37533
3/23/2022 3:14:08 PM	3/23/2022 3:14:08 PM	162	-0.3494712	-0.06989381	58.17335	60.30402	95.38331	104.5131	118.9481	111.8193	110.9014	110.3117	105.1591	103.6066	98.42698	93.41768	91.98387	85.8497	83.23806	84.27078	50.37056	72.10124	54.36769
3/23/2022 3:14:09 PM	3/23/2022 3:14:09 PM	129	-0.3494712	-0.06989381	58.1557	60.286	95.34996	104.4744	118.9026	111.7739	110.8548	110.2648	105.116	103.5657	98.3868	93.37975	91.94774	85.81615	83.20608	84.238	50.35215	72.07423	54.34948
3/23/2022 3:14:10 PM	3/23/2022 3:14:10 PM	112	-0.3494712	-0.06989381	58.16428	60.2938	95.36472	104.4881	118.9212	111.7938	110.8759	110.2868	105.1376	103.586	98.40801	93.40191	91.97099	85.83759	83.22675	84.25936	50.36583	72.09476	54.36462
3/23/2022 3:14:11 PM	3/23/2022 3:14:11 PM	79	-0.2795763	-0.06989381	58.16777	60.29824	95.37209	104.497	118.9311	111.8035	110.8848	110.2966	105.1474	103.5961	98.41753	93.41219	91.98026	85.84634	83.23679	84.26885	50.37209	72.10311	54.37074
3/23/2022 3:14:12 PM	3/23/2022 3:14:12 PM	62	-0.3494712	-0.06989381	58.1739	60.30303	95.37814	104.5051	118.94	111.814	110.8951	110.3077	105.1568	103.6059	98.42734	93.42117	91.98979	85.85584	83.24551	84.2775	50.37786	72.11127	54.37775
3/23/2022 3:14:13 PM	3/23/2022 3:14:13 PM	45	-0.3494712	-0.06989381	58.20855	60.33987	95.44451	104.5859	119.0276	111.898	110.9786	110.3926	105.2405	103.6873	98.50443	93.49358	92.06079	85.92266	83.31011	84.34267	50.4169	72.16586	54.41862
3/23/2022 3:14:14 PM	3/23/2022 3:14:14 PM	12	-0.3494712	-0.1397877	58.22935	60.3628	95.48684	104.6277	119.0768	111.9483	111.0275	110.4404	105.2845	103.7318	98.5464	93.53162	92.09674	85.95554	83.34248	84.37417	50.43492	72.19033	54.43645
