,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.099367,0.11663,0.40895,480.0,480.0,480.0,0.089068,0.10758,0.37241,540.0,540.0,540.0,0.077774,0.098604,0.33418,600.0,600.0,600.0
1,0.0,0.19857,0.21575,0.86608,0.043,2000.0,8.48,0.17789,0.19633,0.78014,0.066613,2000.0,8.48,0.15517,0.17594,0.68703,0.11822,2000.0,8.48
2,0.01,0.19199,0.20882,0.8103,0.043,2000.0,8.48,0.17133,0.18927,0.72872,0.066613,2000.0,8.48,0.14846,0.16846,0.63998,0.11822,2000.0,8.48
3,0.02,0.18658,0.20307,0.78902,0.043,2000.0,8.48,0.16562,0.18309,0.706,0.066613,2000.0,8.48,0.14222,0.16148,0.61465,0.11822,2000.0,8.48
4,0.03,0.18104,0.1972,0.76613,0.043,2000.0,8.48,0.15982,0.17683,0.68181,0.066613,2000.0,8.48,0.13595,0.1545,0.58808,0.11822,2000.0,8.48
5,0.04,0.17557,0.19141,0.74337,0.043,2000.0,8.48,0.15413,0.1707,0.65791,0.066613,2000.0,8.48,0.12987,0.14775,0.56214,0.11822,2000.0,8.48
6,0.05,0.1702,0.18574,0.721,0.043,2000.0,8.48,0.14859,0.16473,0.63458,0.066613,2000.0,8.48,0.12401,0.14124,0.53708,0.11822,2000.0,8.48
7,0.06,0.16494,0.18017,0.69906,0.043,2000.0,8.48,0.14318,0.15891,0.61185,0.066613,2000.0,8.48,0.11835,0.13497,0.51293,0.11822,2000.0,8.48
8,0.07,0.15978,0.17471,0.67755,0.043,2000.0,8.48,0.13791,0.15324,0.58969,0.066613,2000.0,8.48,0.11289,0.12892,0.48963,0.11822,2000.0,8.48
9,0.08,0.15471,0.16936,0.65644,0.043,2000.0,8.48,0.13277,0.14772,0.56809,0.066613,2000.0,8.48,0.10763,0.12309,0.46715,0.11822,2000.0,8.48
10,0.09,0.14973,0.16411,0.63573,0.043,2000.0,8.48,0.12775,0.14233,0.54703,0.066613,2000.0,8.48,0.10254,0.11746,0.44547,0.11822,2000.0,8.48
11,0.1,0.14485,0.15896,0.61541,0.043,2000.0,8.48,0.12286,0.13708,0.52648,0.066613,2000.0,8.48,0.097623,0.11204,0.42452,0.11822,2000.0,8.48
12,0.11,0.14005,0.15391,0.59546,0.043,2000.0,8.48,0.11808,0.13196,0.50642,0.066613,2000.0,8.48,0.092872,0.1068,0.4043,0.11822,2000.0,8.48
13,0.12,0.13534,0.14895,0.57587,0.043,2000.0,8.48,0.11341,0.12697,0.48685,0.066613,2000.0,8.48,0.088277,0.10174,0.38475,0.11822,2000.0,8.48
14,0.13,0.13071,0.14408,0.55663,0.043,2000.0,8.48,0.10885,0.12209,0.46774,0.066613,2000.0,8.48,0.083829,0.096849,0.36584,0.11822,2000.0,8.48
