,depths,Eu_484.0,Ed_484.0,Eo_484.0,Eod_484.0,Eou_484.0,a_484.0,b_484.0,bb_484.0
0,0.0,1.0684,1.1776,4.2519,2.1307,2.1212,484.0,484.0,484.0
1,0.0,1.0684,1.1776,4.2519,2.1307,2.1212,0.01,200.0,7.254
2,0.01,1.0654,1.1741,4.4465,2.2962,2.1503,0.01,200.0,7.254
3,0.02,1.0444,1.1527,4.3821,2.2701,2.112,0.01,200.0,7.254
4,0.03,1.0207,1.1286,4.2922,2.2266,2.0656,0.01,200.0,7.254
5,0.04,0.99639,1.1038,4.1959,2.1787,2.0172,0.01,200.0,7.254
6,0.05,0.97193,1.079,4.098,2.1296,1.9684,0.01,200.0,7.254
7,0.06,0.94748,1.0541,3.9998,2.0802,1.9195,0.01,200.0,7.254
8,0.07,0.92314,1.0294,3.902,2.031,1.871,0.01,200.0,7.254
9,0.08,0.89898,1.0048,3.8056,1.9822,1.8234,0.01,200.0,7.254
10,0.09,0.87526,0.98073,3.7126,1.9346,1.778,0.01,200.0,7.254
11,0.1,0.85275,0.95785,3.6447,1.8928,1.7519,0.01,350.0,12.694
12,0.11,0.85074,0.95547,3.6534,1.9018,1.7516,0.01,350.0,0.735
13,0.12,0.84816,0.95253,3.6471,1.8998,1.7473,0.01,350.0,0.735
14,0.13,0.84541,0.94942,3.6382,1.896,1.7422,0.01,350.0,0.735
15,0.14,0.84257,0.9462,3.628,1.8912,1.7368,0.01,350.0,0.735
16,0.15,0.83965,0.94293,3.617,1.886,1.7311,0.01,350.0,0.735
17,0.16,0.83669,0.93961,3.6055,1.8803,1.7252,0.01,350.0,0.735
18,0.17,0.8337,0.93626,3.5936,1.8744,1.7193,0.01,350.0,0.735
19,0.18,0.83069,0.93288,3.5815,1.8683,1.7132,0.01,350.0,0.735
20,0.19,0.82766,0.9295,3.5691,1.862,1.7071,0.01,350.0,0.735
21,0.2,0.82462,0.9261,3.5565,1.8556,1.7009,0.01,350.0,0.735
22,0.21,0.82157,0.92269,3.5438,1.8491,1.6947,0.01,350.0,0.735
23,0.22,0.81851,0.91928,3.5311,1.8426,1.6885,0.01,350.0,0.735
24,0.23,0.81546,0.91588,3.5182,1.836,1.6823,0.01,350.0,0.735
25,0.24,0.8124,0.91247,3.5053,1.8293,1.676,0.01,350.0,0.735
26,0.25,0.80935,0.90907,3.4924,1.8226,1.6698,0.01,350.0,0.735
27,0.26,0.8063,0.90567,3.4795,1.816,1.6635,0.01,350.0,0.735
28,0.27,0.80326,0.90228,3.4665,1.8093,1.6572,0.01,350.0,0.735
29,0.28,0.80022,0.89889,3.4535,1.8025,1.651,0.01,350.0,0.735
30,0.29,0.79719,0.89551,3.4406,1.7958,1.6447,0.01,350.0,0.735
31,0.3,0.79416,0.89214,3.4276,1.7891,1.6385,0.01,350.0,0.735
32,0.31,0.79114,0.88878,3.4146,1.7824,1.6322,0.01,350.0,0.735
33,0.32,0.78813,0.88542,3.4017,1.7757,1.626,0.01,350.0,0.735
34,0.33,0.78512,0.88208,3.3888,1.769,1.6198,0.01,350.0,0.735
35,0.34,0.78212,0.87874,3.3759,1.7623,1.6135,0.01,350.0,0.735
36,0.35000000000000003,0.77913,0.87541,3.363,1.7557,1.6073,0.01,350.0,0.735
37,0.36,0.77614,0.87208,3.3501,1.749,1.6011,0.01,350.0,0.735
38,0.37,0.77316,0.86877,3.3372,1.7423,1.5949,0.01,350.0,0.735
39,0.38,0.77018,0.86546,3.3243,1.7357,1.5886,0.01,350.0,0.735
40,0.39,0.7672,0.86215,3.3113,1.729,1.5823,0.01,350.0,0.735
41,0.4,0.76427,0.85888,3.2984,1.7224,1.5761,0.01,250.0,0.525
42,0.41000000000000003,0.76219,0.85647,3.2891,1.7175,1.5716,0.01,250.0,0.525
43,0.42,0.76012,0.85407,3.2798,1.7126,1.5672,0.01,250.0,0.525
44,0.43,0.75805,0.85168,3.2705,1.7077,1.5628,0.01,250.0,0.525
45,0.44,0.75599,0.84929,3.2612,1.7029,1.5583,0.01,250.0,0.525
46,0.45,0.75392,0.8469,3.2519,1.6981,1.5538,0.01,250.0,0.525
47,0.46,0.75186,0.84451,3.2425,1.6932,1.5493,0.01,250.0,0.525
48,0.47000000000000003,0.74979,0.84212,3.2331,1.6884,1.5447,0.01,250.0,0.525
49,0.48,0.74772,0.83973,3.2236,1.6835,1.5401,0.01,250.0,0.525
50,0.49,0.74565,0.83733,3.2139,1.6786,1.5354,0.01,250.0,0.525
51,0.5,0.74361,0.83497,3.2042,1.6737,1.5306,0.01,110.0,0.231
52,0.51,0.74278,0.83381,3.1998,1.6712,1.5286,0.01,110.0,0.231
53,0.52,0.74195,0.83266,3.1954,1.6688,1.5266,0.01,110.0,0.231
54,0.53,0.74112,0.83151,3.1911,1.6664,1.5247,0.01,110.0,0.231
55,0.54,0.74029,0.83037,3.1867,1.664,1.5227,0.01,110.0,0.231
56,0.55,0.73947,0.82923,3.1824,1.6616,1.5208,0.01,110.0,0.231
57,0.56,0.73865,0.82809,3.1781,1.6593,1.5188,0.01,110.0,0.231
58,0.5700000000000001,0.73782,0.82695,3.1738,1.657,1.5168,0.01,110.0,0.231
59,0.58,0.737,0.82581,3.1694,1.6546,1.5148,0.01,110.0,0.231
60,0.59,0.73618,0.82467,3.1651,1.6523,1.5128,0.01,110.0,0.231
61,0.6,0.73535,0.82353,3.1606,1.6499,1.5107,0.01,110.0,0.231
62,0.61,0.73462,0.82247,3.1566,1.6477,1.5089,0.01,100.0,0.21
63,0.62,0.73388,0.82142,3.1525,1.6455,1.507,0.01,100.0,0.21
64,0.63,0.73314,0.82037,3.1485,1.6434,1.5051,0.01,100.0,0.21
65,0.64,0.73241,0.81931,3.1444,1.6412,1.5032,0.01,100.0,0.21
66,0.65,0.73167,0.81826,3.1402,1.639,1.5012,0.01,100.0,0.21
67,0.66,0.73092,0.8172,3.136,1.6368,1.4992,0.01,100.0,0.21
68,0.67,0.73017,0.81614,3.1317,1.6345,1.4972,0.01,100.0,0.21
69,0.68,0.72942,0.81508,3.1273,1.6323,1.495,0.01,100.0,0.21
70,0.6900000000000001,0.72866,0.814,3.1228,1.63,1.4928,0.01,100.0,0.21
71,0.7000000000000001,0.72784,0.81286,3.1178,1.6275,1.4903,0.01,60.0,0.126
72,0.71,0.72744,0.81215,3.1149,1.6259,1.489,0.01,60.0,0.126
73,0.72,0.72703,0.81143,3.112,1.6243,1.4877,0.01,60.0,0.126
74,0.73,0.72662,0.81071,3.109,1.6227,1.4863,0.01,60.0,0.126
