,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10339,0.11663,0.41639,480.0,480.0,480.0,0.093441,0.10758,0.38051,540.0,540.0,540.0,0.08263,0.098604,0.34318,600.0,600.0,600.0
1,0.0,0.20674,0.2199,0.89506,0.043,3531.8,14.975,0.18678,0.20084,0.81168,0.066613,3531.8,14.975,0.16506,0.18097,0.72216,0.11822,3531.8,14.975
2,0.01,0.19782,0.21062,0.82708,0.043,3531.8,14.975,0.17775,0.1913,0.74723,0.066613,3531.8,14.975,0.15556,0.17067,0.66036,0.11822,3531.8,14.975
3,0.02,0.19021,0.20267,0.79589,0.043,3531.8,14.975,0.16978,0.18285,0.7143,0.066613,3531.8,14.975,0.14684,0.1612,0.62387,0.11822,3531.8,14.975
4,0.03,0.18273,0.19487,0.76495,0.043,3531.8,14.975,0.16203,0.17464,0.68197,0.066613,3531.8,14.975,0.13849,0.15214,0.58862,0.11822,3531.8,14.975
5,0.04,0.17545,0.18727,0.73479,0.043,3531.8,14.975,0.15454,0.16672,0.65075,0.066613,3531.8,14.975,0.13054,0.14352,0.55508,0.11822,3531.8,14.975
6,0.05,0.16835,0.17986,0.70542,0.043,3531.8,14.975,0.14731,0.15907,0.62061,0.066613,3531.8,14.975,0.12299,0.13533,0.52319,0.11822,3531.8,14.975
7,0.06,0.16143,0.17265,0.67679,0.043,3531.8,14.975,0.14032,0.15168,0.5915,0.066613,3531.8,14.975,0.11579,0.12754,0.49284,0.11822,3531.8,14.975
8,0.07,0.15468,0.16562,0.64888,0.043,3531.8,14.975,0.13357,0.14455,0.56337,0.066613,3531.8,14.975,0.10894,0.12013,0.46395,0.11822,3531.8,14.975
9,0.08,0.14809,0.15877,0.62165,0.043,3531.8,14.975,0.12703,0.13765,0.53617,0.066613,3531.8,14.975,0.10241,0.11307,0.43643,0.11822,3531.8,14.975
10,0.09,0.14167,0.15209,0.59509,0.043,3531.8,14.975,0.12071,0.13099,0.50986,0.066613,3531.8,14.975,0.096183,0.10635,0.4102,0.11822,3531.8,14.975
11,0.1,0.13539,0.14556,0.56915,0.043,3531.8,14.975,0.11459,0.12454,0.4844,0.066613,3531.8,14.975,0.09024,0.099938,0.38518,0.11822,3531.8,14.975
12,0.11,0.12925,0.13919,0.54382,0.043,3531.8,14.975,0.10866,0.1183,0.45974,0.066613,3531.8,14.975,0.084563,0.093824,0.3613,0.11822,3531.8,14.975
13,0.12,0.12325,0.13297,0.51907,0.043,3531.8,14.975,0.10291,0.11225,0.43584,0.066613,3531.8,14.975,0.079136,0.087987,0.33849,0.11822,3531.8,14.975
14,0.13,0.11739,0.12689,0.49486,0.043,3531.8,14.975,0.097328,0.10639,0.41267,0.066613,3531.8,14.975,0.073944,0.08241,0.31667,0.11822,3531.8,14.975
15,0.14,0.11164,0.12095,0.47118,0.043,3531.8,14.975,0.091908,0.10071,0.39018,0.066613,3531.8,14.975,0.068969,0.077077,0.2958,0.11822,3531.8,14.975
