,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.11008,0.11663,0.42759,480.0,480.0,480.0,0.10035,0.10758,0.39223,540.0,540.0,540.0,0.090126,0.098604,0.35611,600.0,600.0,600.0
1,0.0,0.21663,0.2231,0.91374,0.043,500.0,127.8,0.19749,0.20463,0.83484,0.066613,500.0,127.8,0.17735,0.18575,0.75266,0.11822,500.0,127.8
2,0.01,0.20092,0.20703,0.81584,0.043,500.0,127.8,0.1808,0.18743,0.73637,0.066613,500.0,127.8,0.15868,0.16627,0.64977,0.11822,500.0,127.8
3,0.02,0.18787,0.19363,0.76298,0.043,500.0,127.8,0.16678,0.17294,0.67939,0.066613,500.0,127.8,0.14293,0.14979,0.58535,0.11822,500.0,127.8
4,0.03,0.17552,0.18097,0.71297,0.043,500.0,127.8,0.15374,0.15947,0.62637,0.066613,500.0,127.8,0.12868,0.13489,0.52705,0.11822,500.0,127.8
5,0.04,0.16385,0.169,0.66569,0.043,500.0,127.8,0.14162,0.14694,0.57707,0.066613,500.0,127.8,0.11578,0.1214,0.4743,0.11822,500.0,127.8
6,0.05,0.15281,0.15768,0.62097,0.043,500.0,127.8,0.13033,0.13529,0.53121,0.066613,500.0,127.8,0.10411,0.1092,0.42657,0.11822,500.0,127.8
7,0.06,0.14235,0.14697,0.57863,0.043,500.0,127.8,0.11983,0.12444,0.48851,0.066613,500.0,127.8,0.093544,0.098153,0.38334,0.11822,500.0,127.8
8,0.07,0.13244,0.13682,0.53851,0.043,500.0,127.8,0.11003,0.11434,0.44871,0.066613,500.0,127.8,0.083963,0.088141,0.34416,0.11822,500.0,127.8
9,0.08,0.12304,0.12719,0.50045,0.043,500.0,127.8,0.10089,0.10491,0.41158,0.066613,500.0,127.8,0.075267,0.07906,0.30861,0.11822,500.0,127.8
10,0.09,0.11411,0.11806,0.46432,0.043,500.0,127.8,0.092352,0.096109,0.37689,0.066613,500.0,127.8,0.067366,0.070814,0.27632,0.11822,500.0,127.8
11,0.1,0.10562,0.10937,0.42997,0.043,500.0,127.8,0.084361,0.087877,0.34445,0.066613,500.0,127.8,0.060177,0.063316,0.24695,0.11822,500.0,127.8
12,0.11,0.097533,0.10111,0.39727,0.043,500.0,127.8,0.076871,0.080169,0.31406,0.066613,500.0,127.8,0.053623,0.056486,0.22019,0.11822,500.0,127.8
13,0.12,0.089821,0.093233,0.36609,0.043,500.0,127.8,0.069839,0.072937,0.28553,0.066613,500.0,127.8,0.047636,0.050253,0.19575,0.11822,500.0,127.8
14,0.13,0.082453,0.085714,0.33632,0.043,500.0,127.8,0.063222,0.066138,0.2587,0.066613,500.0,127.8,0.042151,0.044551,0.17338,0.11822,500.0,127.8
15,0.14,0.075402,0.078525,0.30784,0.043,500.0,127.8,0.056981,0.059734,0.23341,0.066613,500.0,127.8,0.037112,0.039319,0.15284,0.11822,500.0,127.8
16,0.15,0.068639,0.071636,0.28054,0.043,500.0,127.8,0.051078,0.053684,0.20951,0.066613,500.0,127.8,0.032465,0.034502,0.13391,0.11822,500.0,127.8
17,0.16,0.062141,0.065023,0.25432,0.043,500.0,127.8,0.04548,0.047953,0.18685,0.066613,500.0,127.8,0.02816,0.03005,0.1164,0.11822,500.0,127.8
18,0.17,0.055881,0.058658,0.22907,0.043,500.0,127.8,0.040151,0.042508,0.16531,0.066613,500.0,127.8,0.024153,0.025914,0.10012,0.11822,500.0,127.8
19,0.18,0.049835,0.05252,0.2047,0.043,500.0,127.8,0.035062,0.037315,0.14474,0.066613,500.0,127.8,0.0204,0.022053,0.084894,0.11822,500.0,127.8
20,0.19,0.043981,0.046582,0.18112,0.043,500.0,127.8,0.030181,0.032345,0.12504,0.066613,500.0,127.8,0.016863,0.018424,0.070565,0.11822,500.0,127.8
21,0.2,0.03852,0.041045,0.1591,0.043,100.0,25.56,0.025671,0.027753,0.10681,0.066613,100.0,25.56,0.013637,0.015118,0.057478,0.11822,100.0,25.56
22,0.21,0.03744,0.039897,0.15463,0.043,100.0,25.56,0.024789,0.026802,0.10314,0.066613,100.0,25.56,0.013021,0.014436,0.054873,0.11822,100.0,25.56
23,0.22,0.036389,0.038781,0.1503,0.043,100.0,25.56,0.023939,0.025884,0.099602,0.066613,100.0,25.56,0.012434,0.013786,0.052398,0.11822,100.0,25.56
24,0.23,0.035368,0.037696,0.14609,0.043,100.0,25.56,0.023118,0.024997,0.096187,0.066613,100.0,25.56,0.011874,0.013165,0.050037,0.11822,100.0,25.56
25,0.24,0.034373,0.036639,0.14198,0.043,100.0,25.56,0.022324,0.02414,0.092887,0.066613,100.0,25.56,0.011339,0.012572,0.047783,0.11822,100.0,25.56
26,0.25,0.033405,0.035611,0.13799,0.043,100.0,25.56,0.021556,0.023312,0.089697,0.066613,100.0,25.56,0.010827,0.012006,0.045629,0.11822,100.0,25.56
27,0.26,0.032462,0.03461,0.13411,0.043,100.0,25.56,0.020815,0.022512,0.086614,0.066613,100.0,25.56,0.010339,0.011465,0.043572,0.11822,100.0,25.56
28,0.27,0.031545,0.033635,0.13032,0.043,100.0,25.56,0.020098,0.021738,0.083634,0.066613,100.0,25.56,0.0098725,0.010948,0.041607,0.11822,100.0,25.56
29,0.28,0.030651,0.032687,0.12664,0.043,100.0,25.56,0.019405,0.02099,0.080754,0.066613,100.0,25.56,0.0094269,0.010454,0.03973,0.11822,100.0,25.56
30,0.29,0.029781,0.031763,0.12305,0.043,100.0,25.56,0.018735,0.020268,0.07797,0.066613,100.0,25.56,0.0090011,0.0099824,0.037936,0.11822,100.0,25.56
31,0.3,0.028934,0.030864,0.11956,0.043,100.0,25.56,0.018087,0.019569,0.075278,0.066613,100.0,25.56,0.0085944,0.0095318,0.036223,0.11822,100.0,25.56
32,0.31,0.028109,0.029988,0.11616,0.043,100.0,25.56,0.017461,0.018894,0.072676,0.066613,100.0,25.56,0.0082058,0.0091014,0.034586,0.11822,100.0,25.56
33,0.32,0.027306,0.029136,0.11285,0.043,100.0,25.56,0.016855,0.018241,0.070161,0.066613,100.0,25.56,0.0078346,0.0086902,0.033023,0.11822,100.0,25.56
34,0.33,0.026524,0.028306,0.10963,0.043,100.0,25.56,0.01627,0.017609,0.067729,0.066613,100.0,25.56,0.0074798,0.0082973,0.031529,0.11822,100.0,25.56
35,0.34,0.025762,0.027498,0.10649,0.043,100.0,25.56,0.015704,0.016999,0.065377,0.066613,100.0,25.56,0.0071409,0.007922,0.030101,0.11822,100.0,25.56
