,depths,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0
0,0.0,1.0236,1.0808,3.9465,1.9347,2.0119,540.0,540.0,540.0
1,0.0,1.0236,1.0808,3.9465,1.9347,2.0119,0.065,1000.0,36.23
2,0.01,0.93705,0.99163,3.8594,1.9717,1.8877,0.065,1000.0,36.23
3,0.02,0.87585,0.92801,3.6073,1.843,1.7643,0.065,1000.0,36.23
4,0.03,0.81783,0.86772,3.3707,1.723,1.6477,0.065,1000.0,36.23
5,0.04,0.76229,0.81006,3.1443,1.6082,1.5361,0.065,1000.0,36.23
6,0.05,0.70903,0.75483,2.9274,1.4983,1.4291,0.065,1000.0,36.23
7,0.06,0.65792,0.70188,2.7193,1.3928,1.3265,0.065,1000.0,36.23
8,0.07,0.60879,0.65105,2.5194,1.2916,1.2278,0.065,1000.0,36.23
9,0.08,0.56149,0.60218,2.3271,1.1942,1.1328,0.065,1000.0,36.23
10,0.09,0.51588,0.55512,2.1418,1.1005,1.0413,0.065,1000.0,36.23
11,0.1,0.47183,0.50974,1.9629,1.0101,0.95285,0.065,1000.0,36.23
12,0.11,0.4292,0.46589,1.79,0.92268,0.86731,0.065,1000.0,36.23
13,0.12,0.38787,0.42345,1.6224,0.83807,0.78437,0.065,1000.0,36.23
14,0.13,0.3477,0.38228,1.4598,0.75599,0.70381,0.065,1000.0,36.23
15,0.14,0.30858,0.34226,1.3015,0.67618,0.62535,0.065,1000.0,36.23
16,0.15,0.27039,0.30328,1.1472,0.59842,0.54879,0.065,1000.0,36.23
17,0.16,0.23302,0.26521,0.99633,0.52246,0.47388,0.065,1000.0,36.23
18,0.17,0.19634,0.22793,0.84846,0.44807,0.40039,0.065,1000.0,36.23
19,0.18,0.16026,0.19135,0.70315,0.37503,0.32811,0.065,1000.0,36.23
20,0.19,0.12466,0.15534,0.55994,0.30312,0.25682,0.065,1000.0,36.23
21,0.2,0.090448,0.1208,0.42143,0.23394,0.18749,0.065,350.0,12.681
22,0.21,0.089596,0.11968,0.41743,0.23172,0.18571,0.065,350.0,0.735
23,0.22,0.08876,0.11857,0.4135,0.22953,0.18397,0.065,350.0,0.735
24,0.23,0.087933,0.11748,0.40962,0.22737,0.18225,0.065,350.0,0.735
25,0.24,0.087115,0.11639,0.40579,0.22525,0.18055,0.065,350.0,0.735
26,0.25,0.086305,0.11532,0.40201,0.22315,0.17886,0.065,350.0,0.735
27,0.26,0.085504,0.11426,0.39828,0.22108,0.1772,0.065,350.0,0.735
28,0.27,0.084711,0.11321,0.39458,0.21903,0.17556,0.065,350.0,0.735
29,0.28,0.083925,0.11217,0.39093,0.217,0.17393,0.065,350.0,0.735
30,0.29,0.083147,0.11114,0.38731,0.21499,0.17231,0.065,350.0,0.735
31,0.3,0.082376,0.11012,0.38373,0.21301,0.17072,0.065,350.0,0.735
32,0.31,0.081612,0.10911,0.38018,0.21104,0.16913,0.065,350.0,0.735
33,0.32,0.080856,0.1081,0.37667,0.2091,0.16757,0.065,350.0,0.735
34,0.33,0.080106,0.10711,0.37319,0.20717,0.16602,0.065,350.0,0.735
35,0.34,0.079363,0.10613,0.36974,0.20526,0.16448,0.065,350.0,0.735
36,0.35000000000000003,0.078627,0.10515,0.36632,0.20337,0.16295,0.065,350.0,0.735
37,0.36,0.077897,0.10418,0.36294,0.2015,0.16144,0.065,350.0,0.735
38,0.37,0.077174,0.10323,0.35959,0.19964,0.15995,0.065,350.0,0.735
39,0.38,0.076458,0.10228,0.35627,0.1978,0.15846,0.065,350.0,0.735
40,0.39,0.075748,0.10134,0.35298,0.19598,0.15699,0.065,350.0,0.735
41,0.4,0.075044,0.10041,0.34971,0.19418,0.15554,0.065,350.0,0.735
42,0.41000000000000003,0.074347,0.099482,0.34648,0.19239,0.15409,0.065,350.0,0.735
