,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.1027,0.11663,0.41554,0.21102,0.20452,480.0,480.0,480.0,480.0,0.094528,0.10758,0.38293,0.19464,0.18829,540.0,540.0,540.0,540.0,0.085885,0.098604,0.34968,0.17841,0.17128,600.0,600.0,600.0,600.0,0.0
1,0.0,0.1027,0.11663,0.41554,0.21102,0.20452,0.14,925.0,21.238,-2.1104,0.094528,0.10758,0.38293,0.19464,0.18829,0.15,925.0,21.238,-1.9211,0.085885,0.098604,0.34968,0.17841,0.17128,0.2,925.0,21.238,-1.1311,0.9
2,0.01,0.095719,0.10905,0.4092,0.21461,0.19459,0.14,925.0,21.238,9.0457,0.087962,0.10042,0.37645,0.19758,0.17886,0.15,925.0,21.238,9.1991,0.079431,0.091438,0.3414,0.17972,0.16168,0.2,925.0,21.238,9.8198,0.9
3,0.02,0.08656,0.099343,0.37166,0.19549,0.17618,0.14,925.0,21.238,9.6229,0.079423,0.091344,0.34139,0.1797,0.16169,0.15,925.0,21.238,9.7744,0.071311,0.082668,0.30779,0.16247,0.14532,0.2,925.0,21.238,10.368,0.9
4,0.03,0.077716,0.090003,0.33531,0.17694,0.15837,0.14,925.0,21.238,10.2,0.071195,0.08263,0.30753,0.1624,0.14513,0.15,925.0,21.238,10.354,0.063574,0.074347,0.27569,0.14599,0.12971,0.2,925.0,21.238,10.923,0.9
5,0.04,0.069187,0.081028,0.30032,0.15911,0.14121,0.14,925.0,21.238,10.904,0.063278,0.074274,0.27499,0.1458,0.12919,0.15,925.0,21.238,11.062,0.056206,0.066457,0.2452,0.13034,0.11485,0.2,925.0,21.238,11.608,0.9
6,0.05,0.060939,0.072384,0.26655,0.14192,0.12463,0.14,925.0,21.238,11.778,0.055636,0.066243,0.24366,0.12984,0.11382,0.15,925.0,21.238,11.945,0.049164,0.058954,0.21612,0.11546,0.10067,0.2,925.0,21.238,12.472,0.9
7,0.06,0.05294,0.064033,0.23386,0.12531,0.10855,0.14,925.0,21.238,12.888,0.048237,0.058501,0.21339,0.11445,0.098943,0.15,925.0,21.238,13.072,0.042409,0.051794,0.18831,0.10124,0.087064,0.2,925.0,21.238,13.584,0.9
8,0.07,0.045156,0.055944,0.20212,0.10921,0.092913,0.14,925.0,21.238,14.329,0.041049,0.051014,0.18405,0.099555,0.084499,0.15,925.0,21.238,14.529,0.0359,0.044935,0.16159,0.087618,0.073968,0.2,925.0,21.238,15.041,0.9
9,0.08,0.037556,0.048082,0.17121,0.093558,0.077655,0.14,925.0,21.238,16.248,0.03404,0.04375,0.15552,0.085094,0.070423,0.15,925.0,21.238,16.487,0.029601,0.038338,0.1358,0.074502,0.061302,0.2,925.0,21.238,17.016,0.9
