,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,g
0,0.0,0.10228,0.11615,0.41383,0.21015,0.20367,480.0,480.0,480.0,480.0,0.0
1,0.0,0.10228,0.11615,0.41383,0.21015,0.20367,0.14,925.0,21.238,-2.1109,0.9
2,0.01,0.095325,0.1086,0.40751,0.21373,0.19379,0.14,925.0,21.238,9.0462,0.9
3,0.02,0.086204,0.098934,0.37013,0.19468,0.17545,0.14,925.0,21.238,9.6224,0.9
4,0.03,0.077396,0.089633,0.33393,0.17621,0.15772,0.14,925.0,21.238,10.2,0.9
5,0.04,0.068902,0.080695,0.29908,0.15845,0.14063,0.14,925.0,21.238,10.904,0.9
6,0.05,0.060688,0.072086,0.26545,0.14133,0.12411,0.14,925.0,21.238,11.78,0.9
7,0.06,0.052722,0.06377,0.2329,0.12479,0.1081,0.14,925.0,21.238,12.892,0.9
8,0.07,0.04497,0.055714,0.20129,0.10876,0.09253,0.14,925.0,21.238,14.328,0.9
9,0.08,0.037401,0.047884,0.17051,0.093173,0.077335,0.14,925.0,21.238,16.248,0.9
10,0.09,0.029985,0.04025,0.14042,0.077963,0.062454,0.14,925.0,21.238,18.908,0.9
11,0.1,0.02274,0.032827,0.11109,0.063165,0.047922,0.15,800.0,18.368,19.728,0.9
12,0.11,0.016528,0.026468,0.085948,0.050484,0.035464,0.15,800.0,18.368,24.102,0.9
13,0.12,0.010598,0.020423,0.061878,0.038399,0.023479,0.145,190.0,4.3624,4.0501,0.95
14,0.13,0.0098729,0.019611,0.058786,0.036782,0.022004,0.145,190.0,2.0729,4.1169,0.95
15,0.14,0.0091545,0.018809,0.055735,0.035192,0.020543,0.145,190.0,2.0729,4.2425,0.95
16,0.15,0.0084403,0.018017,0.05271,0.033621,0.019089,0.145,190.0,2.0729,4.3852,0.95
17,0.16,0.007729,0.017231,0.049701,0.032065,0.017636,0.145,190.0,2.0729,4.5487,0.95
18,0.17,0.0070192,0.016451,0.046696,0.030519,0.016177,0.145,190.0,2.0729,4.7349,0.95
19,0.18,0.0063088,0.015675,0.043675,0.028976,0.014699,0.145,190.0,2.0729,4.9572,0.95
20,0.19,0.0055937,0.014899,0.040593,0.027421,0.013172,0.145,190.0,2.0729,5.2432,0.95
21,0.2,0.0048848,0.014133,0.037325,0.025839,0.011486,0.14,70.0,0.7637,0.71813,0.99
22,0.21,0.0048383,0.014034,0.036988,0.025614,0.011374,0.14,70.0,0.147,0.69493,0.99
23,0.22,0.0047929,0.013937,0.036673,0.025406,0.011267,0.14,70.0,0.147,0.69076,0.99
24,0.23,0.0047481,0.013841,0.036367,0.025205,0.011163,0.14,70.0,0.147,0.68736,0.99
25,0.24,0.0047038,0.013746,0.036068,0.025008,0.01106,0.14,70.0,0.147,0.69117,0.99
26,0.25,0.0046599,0.013652,0.035776,0.024816,0.01096,0.14,70.0,0.147,0.68695,0.99
27,0.26,0.0046165,0.013559,0.035487,0.024627,0.01086,0.14,70.0,0.147,0.68254,0.99
28,0.27,0.0045734,0.013466,0.035204,0.024442,0.010762,0.14,70.0,0.147,0.68629,0.99
29,0.28,0.0045308,0.013374,0.034924,0.024259,0.010665,0.14,70.0,0.147,0.68385,0.99
30,0.29,0.0044884,0.013283,0.034648,0.024079,0.01057,0.14,70.0,0.147,0.68439,0.99
31,0.3,0.0044464,0.013193,0.034375,0.023901,0.010475,0.14,70.0,0.147,0.68349,0.99
