,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10711,0.11663,0.42328,480.0,480.0,480.0,0.0061834,0.10758,0.21585,540.0,540.0,540.0,0.0051273,0.098604,0.19671,600.0,600.0,600.0
1,0.0,0.21431,0.22373,0.92187,0.043,8071.0,34.221,0.0021284,0.10352,0.13427,0.066613,8071.0,34.221,0.00039216,0.093869,0.11582,0.11822,8071.0,34.221
2,0.01,0.20001,0.20904,0.82873,0.043,8071.0,34.221,0.0016067,0.048893,0.090526,0.066613,8071.0,34.221,0.00032046,0.04367,0.076441,0.11822,8071.0,34.221
3,0.02,0.18781,0.19645,0.7785,0.043,8071.0,34.221,0.0010253,0.031191,0.057763,0.066613,8071.0,34.221,0.00020336,0.027705,0.048504,0.11822,8071.0,34.221
4,0.03,0.17617,0.18446,0.73061,0.043,8071.0,34.221,0.00075067,0.022837,0.042293,0.066613,8071.0,34.221,0.00014819,0.020188,0.035345,0.11822,8071.0,34.221
5,0.04,0.16506,0.17301,0.68492,0.043,8071.0,34.221,0.00059036,0.01796,0.033261,0.066613,8071.0,34.221,0.00011595,0.015797,0.027657,0.11822,8071.0,34.221
6,0.05,0.1545,0.16214,0.64149,0.043,8071.0,34.221,0.00048499,0.014754,0.027324,0.066613,8071.0,34.221,9.4715e-05,0.012903,0.022591,0.11822,8071.0,34.221
7,0.06,0.14446,0.15179,0.60018,0.043,8071.0,34.221,0.00041024,0.01248,0.023113,0.066613,8071.0,34.221,7.9602e-05,0.010844,0.018986,0.11822,8071.0,34.221
8,0.07,0.13485,0.1419,0.56067,0.043,8071.0,34.221,0.00035431,0.010779,0.019962,0.066613,8071.0,34.221,6.8251e-05,0.0092983,0.016279,0.11822,8071.0,34.221
9,0.08,0.12564,0.13242,0.52282,0.043,8071.0,34.221,0.00031079,0.009455,0.01751,0.066613,8071.0,34.221,5.9388e-05,0.0080907,0.014165,0.11822,8071.0,34.221
10,0.09,0.11692,0.12345,0.48698,0.043,8071.0,34.221,0.00027588,0.0083928,0.015543,0.066613,8071.0,34.221,5.2252e-05,0.0071184,0.012463,0.11822,8071.0,34.221
11,0.1,0.1085,0.11479,0.45239,0.043,8071.0,34.221,0.00024719,0.0075201,0.013927,0.066613,8071.0,34.221,4.6369e-05,0.006317,0.01106,0.11822,8071.0,34.221
12,0.11,0.10053,0.1066,0.41963,0.043,8071.0,34.221,0.00022316,0.0067889,0.012573,0.066613,8071.0,34.221,4.1428e-05,0.0056438,0.0098811,0.11822,8071.0,34.221
13,0.12,0.092814,0.098672,0.38794,0.043,8071.0,34.221,0.00020269,0.0061664,0.01142,0.066613,8071.0,34.221,3.7212e-05,0.0050695,0.0088756,0.11822,8071.0,34.221
14,0.13,0.085398,0.091064,0.3575,0.043,8071.0,34.221,0.00018504,0.0056293,0.010425,0.066613,8071.0,34.221,3.3571e-05,0.0045736,0.0080072,0.11822,8071.0,34.221
15,0.14,0.078435,0.083912,0.32891,0.043,8071.0,34.221,0.00016964,0.0051607,0.0095573,0.066613,8071.0,34.221,3.0395e-05,0.0041407,0.0072495,0.11822,8071.0,34.221
16,0.15,0.071685,0.076989,0.30121,0.043,8071.0,34.221,0.00015606,0.0047478,0.0087925,0.066613,8071.0,34.221,2.7598e-05,0.0037596,0.0065824,0.11822,8071.0,34.221
17,0.16,0.065259,0.070398,0.27484,0.043,8071.0,34.221,0.000144,0.004381,0.0081132,0.066613,8071.0,34.221,2.5117e-05,0.0034218,0.0059908,0.11822,8071.0,34.221
18,0.17,0.058996,0.063985,0.24915,0.043,8071.0,34.221,0.00013322,0.0040528,0.0075055,0.066613,8071.0,34.221,2.2906e-05,0.0031205,0.0054633,0.11822,8071.0,34.221
19,0.18,0.052952,0.057803,0.22438,0.043,8071.0,34.221,0.00012351,0.0037574,0.0069585,0.066613,8071.0,34.221,2.0923e-05,0.0028505,0.0049905,0.11822,8071.0,34.221
20,0.19,0.047194,0.051913,0.20079,0.043,8071.0,34.221,0.00011472,0.00349,0.0064632,0.066613,8071.0,34.221,1.9139e-05,0.0026073,0.0045648,0.11822,8071.0,34.221
