,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10042,0.11663,0.41226,480.0,480.0,480.0,0.0061834,0.10758,0.21585,540.0,540.0,540.0,0.0051273,0.098604,0.19671,600.0,600.0,600.0
1,0.0,0.2042,0.22033,0.89812,0.043,8071.0,6.134,0.0021284,0.10352,0.13427,0.066613,8071.0,6.134,0.00039216,0.093869,0.11582,0.11822,8071.0,6.134
2,0.01,0.19451,0.21022,0.83229,0.043,8071.0,6.134,0.0023857,0.072093,0.13423,0.066613,8071.0,6.134,0.00047788,0.064683,0.11371,0.11822,8071.0,6.134
3,0.02,0.18525,0.20057,0.79357,0.043,8071.0,6.134,0.0017655,0.053023,0.099208,0.066613,8071.0,6.134,0.00035213,0.047328,0.083606,0.11822,8071.0,6.134
4,0.03,0.17623,0.19117,0.75569,0.043,8071.0,6.134,0.0013937,0.041852,0.078314,0.066613,8071.0,6.134,0.00027687,0.037209,0.065736,0.11822,8071.0,6.134
5,0.04,0.16744,0.18203,0.71883,0.043,8071.0,6.134,0.0011496,0.034522,0.064598,0.066613,8071.0,6.134,0.00022754,0.030579,0.054024,0.11822,8071.0,6.134
6,0.05,0.1589,0.17314,0.68297,0.043,8071.0,6.134,0.00097687,0.029336,0.054893,0.066613,8071.0,6.134,0.00019265,0.02589,0.045739,0.11822,8071.0,6.134
7,0.06,0.15062,0.16452,0.64821,0.043,8071.0,6.134,0.00084808,0.025468,0.047656,0.066613,8071.0,6.134,0.00016661,0.02239,0.039556,0.11822,8071.0,6.134
8,0.07,0.14248,0.15608,0.61411,0.043,8071.0,6.134,0.00074821,0.022469,0.042044,0.066613,8071.0,6.134,0.00014638,0.019672,0.034754,0.11822,8071.0,6.134
9,0.08,0.13468,0.14797,0.58138,0.043,8071.0,6.134,0.0006684,0.020072,0.03756,0.066613,8071.0,6.134,0.00013019,0.017497,0.030911,0.11822,8071.0,6.134
10,0.09,0.12696,0.13997,0.54904,0.043,8071.0,6.134,0.00060309,0.018111,0.03389,0.066613,8071.0,6.134,0.00011692,0.015712,0.027759,0.11822,8071.0,6.134
11,0.1,0.11942,0.13217,0.51749,0.043,8071.0,6.134,0.00054858,0.016474,0.030826,0.066613,8071.0,6.134,0.00010581,0.01422,0.025122,0.11822,8071.0,6.134
12,0.11,0.11207,0.12457,0.48673,0.043,8071.0,6.134,0.00050235,0.015086,0.028229,0.066613,8071.0,6.134,9.6374e-05,0.012952,0.022881,0.11822,8071.0,6.134
13,0.12,0.10489,0.11715,0.4567,0.043,8071.0,6.134,0.00046261,0.013892,0.025996,0.066613,8071.0,6.134,8.8242e-05,0.011859,0.02095,0.11822,8071.0,6.134
14,0.13,0.097932,0.10995,0.4276,0.043,8071.0,6.134,0.00042805,0.012854,0.024053,0.066613,8071.0,6.134,8.1153e-05,0.010906,0.019267,0.11822,8071.0,6.134
15,0.14,0.091039,0.10285,0.39881,0.043,8071.0,6.134,0.00039768,0.011943,0.022347,0.066613,8071.0,6.134,7.4914e-05,0.010067,0.017786,0.11822,8071.0,6.134
16,0.15,0.084526,0.096111,0.37155,0.043,8071.0,6.134,0.00037078,0.011134,0.020835,0.066613,8071.0,6.134,6.9372e-05,0.009323,0.01647,0.11822,8071.0,6.134
17,0.16,0.078053,0.089436,0.34451,0.043,8071.0,6.134,0.00034675,0.010413,0.019485,0.066613,8071.0,6.134,6.4418e-05,0.0086571,0.015294,0.11822,8071.0,6.134
18,0.17,0.07142,0.08264,0.31689,0.043,8071.0,6.134,0.00032514,0.009764,0.018271,0.066613,8071.0,6.134,5.9958e-05,0.0080577,0.014235,0.11822,8071.0,6.134
19,0.18,0.065287,0.076319,0.29127,0.043,8071.0,6.134,0.0003056,0.0091771,0.017173,0.066613,8071.0,6.134,5.5921e-05,0.0075151,0.013277,0.11822,8071.0,6.134
20,0.19,0.059362,0.070211,0.26652,0.043,8071.0,6.134,0.00028783,0.0086435,0.016174,0.066613,8071.0,6.134,5.2247e-05,0.0070215,0.012405,0.11822,8071.0,6.134
21,0.2,0.053553,0.064244,0.2422,0.043,1070.0,0.8132,0.0002722,0.0081747,0.015296,0.066613,1070.0,0.8132,4.9009e-05,0.0065873,0.011636,0.11822,1070.0,0.8132
22,0.21,0.052725,0.063314,0.23854,0.043,1070.0,0.8132,0.0002697,0.0081021,0.015156,0.066613,1070.0,0.8132,4.8447e-05,0.0065155,0.011505,0.11822,1070.0,0.8132
23,0.22,0.051908,0.062396,0.23496,0.043,1070.0,0.8132,0.00026721,0.0080286,0.015017,0.066613,1070.0,0.8132,4.7888e-05,0.0064421,0.011373,0.11822,1070.0,0.8132
24,0.23,0.0511,0.061488,0.23142,0.043,1070.0,0.8132,0.00026473,0.0079545,0.014877,0.066613,1070.0,0.8132,4.7327e-05,0.0063676,0.011241,0.11822,1070.0,0.8132
25,0.24,0.050299,0.060589,0.22793,0.043,1070.0,0.8132,0.00026223,0.0078799,0.014737,0.066613,1070.0,0.8132,4.6762e-05,0.0062922,0.011107,0.11822,1070.0,0.8132
26,0.25,0.049507,0.0597,0.22447,0.043,1070.0,0.8132,0.00025973,0.007805,0.014597,0.066613,1070.0,0.8132,4.6193e-05,0.006216,0.010972,0.11822,1070.0,0.8132
27,0.26,0.048722,0.05882,0.22104,0.043,1070.0,0.8132,0.00025722,0.0077297,0.014456,0.066613,1070.0,0.8132,4.5621e-05,0.0061392,0.010836,0.11822,1070.0,0.8132
28,0.27,0.047944,0.057948,0.21765,0.043,1070.0,0.8132,0.00025471,0.0076541,0.014314,0.066613,1070.0,0.8132,4.5045e-05,0.0060619,0.010699,0.11822,1070.0,0.8132
