,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.091586,0.11663,0.398,0.21102,0.18698,480.0,480.0,480.0,0.078453,0.10758,0.3565,0.19464,0.16186,540.0,540.0,540.0,0.067114,0.098604,0.31828,0.17841,0.13988,600.0,600.0,600.0
1,0.0,0.091586,0.11663,0.398,0.21102,0.18698,0.055,1100.0,2.332,0.078453,0.10758,0.3565,0.19464,0.16186,0.167,1100.0,2.332,0.067114,0.098604,0.31828,0.17841,0.13988,0.29569,1100.0,2.332
2,0.01,0.090846,0.11567,0.4133,0.22389,0.18941,0.055,1100.0,2.332,0.077181,0.10569,0.36571,0.20327,0.16244,0.167,1100.0,2.332,0.0655,0.096032,0.32271,0.1836,0.13911,0.29569,1100.0,2.332
3,0.02,0.088932,0.11353,0.40843,0.22227,0.18616,0.055,1100.0,2.332,0.074972,0.10288,0.35829,0.19991,0.15839,0.167,1100.0,2.332,0.063155,0.092747,0.31356,0.17896,0.1346,0.29569,1100.0,2.332
4,0.03,0.086749,0.11112,0.40053,0.21857,0.18196,0.055,1100.0,2.332,0.07258,0.099899,0.34856,0.19493,0.15363,0.167,1100.0,2.332,0.060699,0.08938,0.30271,0.17312,0.1296,0.29569,1100.0,2.332
5,0.04,0.084462,0.10862,0.39149,0.21409,0.1774,0.055,1100.0,2.332,0.070138,0.096885,0.33806,0.18941,0.14865,0.167,1100.0,2.332,0.058239,0.086042,0.29144,0.16694,0.1245,0.29569,1100.0,2.332
6,0.05,0.082134,0.10608,0.38196,0.20927,0.17269,0.055,1100.0,2.332,0.067697,0.093889,0.32733,0.1837,0.14362,0.167,1100.0,2.332,0.055813,0.082771,0.28014,0.16071,0.11943,0.29569,1100.0,2.332
7,0.06,0.079794,0.10353,0.37223,0.2043,0.16792,0.055,1100.0,2.332,0.065278,0.090933,0.31659,0.17797,0.13862,0.167,1100.0,2.332,0.053437,0.079584,0.26901,0.15456,0.11445,0.29569,1100.0,2.332
8,0.07,0.077455,0.10099,0.36242,0.19928,0.16314,0.055,1100.0,2.332,0.062892,0.088028,0.30594,0.17227,0.13367,0.167,1100.0,2.332,0.051118,0.076486,0.25812,0.14854,0.10958,0.29569,1100.0,2.332
9,0.08,0.075125,0.098462,0.35261,0.19424,0.15837,0.055,1100.0,2.332,0.060544,0.085177,0.29544,0.16665,0.12879,0.167,1100.0,2.332,0.048857,0.073479,0.2475,0.14266,0.10483,0.29569,1100.0,2.332
10,0.09,0.072807,0.095953,0.34283,0.18921,0.15362,0.055,1100.0,2.332,0.058234,0.082383,0.28512,0.16112,0.124,0.167,1100.0,2.332,0.046655,0.070561,0.23716,0.13695,0.10021,0.29569,1100.0,2.332
11,0.1,0.070503,0.093464,0.33311,0.18422,0.1489,0.055,1100.0,2.332,0.055963,0.079645,0.27498,0.1557,0.11928,0.167,1100.0,2.332,0.04451,0.06773,0.2271,0.1314,0.095704,0.29569,1100.0,2.332
12,0.11,0.068214,0.090994,0.32346,0.17925,0.1442,0.055,1100.0,2.332,0.053731,0.076962,0.26502,0.15037,0.11464,0.167,1100.0,2.332,0.042421,0.064984,0.21732,0.126,0.091317,0.29569,1100.0,2.332
13,0.12,0.06594,0.088545,0.31386,0.17432,0.13954,0.055,1100.0,2.332,0.051535,0.074333,0.25524,0.14515,0.11009,0.167,1100.0,2.332,0.040384,0.06232,0.20781,0.12077,0.087043,0.29569,1100.0,2.332
14,0.13,0.06368,0.086116,0.30434,0.16943,0.13491,0.055,1100.0,2.332,0.049376,0.071757,0.24563,0.14003,0.1056,0.167,1100.0,2.332,0.038398,0.059733,0.19856,0.11568,0.082876,0.29569,1100.0,2.332
15,0.14,0.061435,0.083707,0.29488,0.16458,0.1303,0.055,1100.0,2.332,0.047252,0.06923,0.2362,0.135,0.1012,0.167,1100.0,2.332,0.03646,0.057222,0.18955,0.11074,0.078812,0.29569,1100.0,2.332
16,0.15,0.059203,0.081316,0.28548,0.15976,0.12573,0.055,1100.0,2.332,0.04516,0.066752,0.22693,0.13007,0.096854,0.167,1100.0,2.332,0.034567,0.054782,0.18077,0.10593,0.074842,0.29569,1100.0,2.332
17,0.16,0.056985,0.078943,0.27615,0.15497,0.12117,0.055,1100.0,2.332,0.043099,0.06432,0.2178,0.12523,0.092574,0.167,1100.0,2.332,0.032716,0.05241,0.17221,0.10126,0.070958,0.29569,1100.0,2.332
18,0.17,0.054778,0.076587,0.26686,0.15022,0.11664,0.055,1100.0,2.332,0.041067,0.061932,0.20882,0.12047,0.088346,0.167,1100.0,2.332,0.030904,0.050101,0.16385,0.096699,0.067147,0.29569,1100.0,2.332
19,0.18,0.05258,0.074245,0.2576,0.14549,0.11211,0.055,1100.0,2.332,0.039059,0.059583,0.19994,0.11578,0.084155,0.167,1100.0,2.332,0.029125,0.047851,0.15563,0.092248,0.063386,0.29569,1100.0,2.332
20,0.19,0.050387,0.071914,0.24833,0.14077,0.10756,0.055,1100.0,2.332,0.03707,0.057268,0.19111,0.11115,0.079961,0.167,1100.0,2.332,0.027372,0.04565,0.1475,0.087877,0.059626,0.29569,1100.0,2.332
21,0.2,0.048266,0.069648,0.23913,0.13613,0.103,0.085,350.0,0.742,0.035158,0.055034,0.18234,0.1066,0.07574,0.169,350.0,0.742,0.025687,0.043526,0.13932,0.083555,0.055764,0.29569,350.0,0.742
22,0.21,0.047637,0.068817,0.23604,0.13439,0.10165,0.085,350.0,0.742,0.034618,0.054188,0.17937,0.10483,0.07454,0.169,350.0,0.742,0.025247,0.042679,0.13652,0.081775,0.054742,0.29569,350.0,0.742
23,0.22,0.047018,0.068,0.23306,0.13273,0.10034,0.085,350.0,0.742,0.034092,0.053362,0.17655,0.10316,0.073389,0.169,350.0,0.742,0.024827,0.041859,0.13391,0.080129,0.053783,0.29569,350.0,0.742
24,0.23,0.046408,0.067193,0.23015,0.1311,0.099044,0.085,350.0,0.742,0.033577,0.052551,0.17381,0.10155,0.072268,0.169,350.0,0.742,0.024422,0.041062,0.13142,0.078558,0.052864,0.29569,350.0,0.742
25,0.24,0.045805,0.066395,0.22727,0.12951,0.097768,0.085,350.0,0.742,0.033073,0.051756,0.17115,0.099975,0.071173,0.169,350.0,0.742,0.02403,0.040285,0.12902,0.077044,0.051977,0.29569,350.0,0.742
26,0.25,0.045208,0.065607,0.22444,0.12794,0.096508,0.085,350.0,0.742,0.032578,0.050974,0.16854,0.09844,0.0701,0.169,350.0,0.742,0.02365,0.039527,0.1267,0.075578,0.051121,0.29569,350.0,0.742
27,0.26,0.044618,0.064827,0.22165,0.12639,0.095263,0.085,350.0,0.742,0.032092,0.050205,0.16598,0.096937,0.069047,0.169,350.0,0.742,0.023282,0.038787,0.12445,0.074156,0.050291,0.29569,350.0,0.742
28,0.27,0.044033,0.064055,0.21889,0.12486,0.09403,0.085,350.0,0.742,0.031614,0.049449,0.16348,0.095463,0.068014,0.169,350.0,0.742,0.022924,0.038065,0.12226,0.072774,0.049487,0.29569,350.0,0.742
29,0.28,0.043454,0.063291,0.21616,0.12335,0.092811,0.085,350.0,0.742,0.031144,0.048705,0.16102,0.094017,0.066998,0.169,350.0,0.742,0.022577,0.03736,0.12014,0.071429,0.048707,0.29569,350.0,0.742
30,0.29,0.042881,0.062536,0.21345,0.12185,0.091603,0.085,350.0,0.742,0.030683,0.047973,0.1586,0.092596,0.066001,0.169,350.0,0.742,0.022241,0.036671,0.11807,0.070119,0.04795,0.29569,350.0,0.742
31,0.3,0.042313,0.061787,0.21078,0.12037,0.090408,0.085,350.0,0.742,0.030228,0.047253,0.15622,0.0912,0.065021,0.169,350.0,0.742,0.021914,0.035998,0.11606,0.068843,0.047217,0.29569,350.0,0.742
32,0.31,0.04175,0.061046,0.20813,0.11891,0.089223,0.085,350.0,0.742,0.029782,0.046545,0.15388,0.089827,0.064057,0.169,350.0,0.742,0.021597,0.035341,0.11411,0.067599,0.046506,0.29569,350.0,0.742
