,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10061,0.11663,0.41232,0.21102,0.20129,480.0,480.0,480.0,0.091291,0.10758,0.37771,0.19464,0.18307,540.0,540.0,540.0,0.080927,0.098604,0.34145,0.17841,0.16304,600.0,600.0,600.0
1,0.0,0.10061,0.11663,0.41232,0.21102,0.20129,0.04,200.0,7.246,0.091291,0.10758,0.37771,0.19464,0.18307,0.065,200.0,7.246,0.080927,0.098604,0.34145,0.17841,0.16304,0.133,200.0,7.246
2,0.01,0.099038,0.11489,0.42507,0.22365,0.20141,0.04,200.0,7.246,0.089501,0.10553,0.38748,0.20509,0.1824,0.065,200.0,7.246,0.078694,0.095906,0.34677,0.18572,0.16105,0.133,200.0,7.246
3,0.02,0.09582,0.1115,0.41375,0.21847,0.19528,0.04,200.0,7.246,0.086251,0.10204,0.37569,0.19954,0.17615,0.065,200.0,7.246,0.075244,0.092003,0.33354,0.17923,0.15431,0.133,200.0,7.246
4,0.03,0.092385,0.10791,0.4002,0.21173,0.18847,0.04,200.0,7.246,0.082827,0.098372,0.36198,0.19265,0.16933,0.065,200.0,7.246,0.071693,0.088018,0.31887,0.17169,0.14718,0.133,200.0,7.246
5,0.04,0.088915,0.10428,0.38617,0.20465,0.18152,0.04,200.0,7.246,0.07939,0.094704,0.34792,0.18549,0.16243,0.065,200.0,7.246,0.068177,0.084088,0.30412,0.16404,0.14008,0.133,200.0,7.246
6,0.05,0.085454,0.10067,0.37209,0.19751,0.17457,0.04,200.0,7.246,0.075981,0.091073,0.3339,0.17833,0.15557,0.065,200.0,7.246,0.064727,0.080244,0.28959,0.15649,0.1331,0.133,200.0,7.246
7,0.06,0.082018,0.097085,0.35807,0.1904,0.16767,0.04,200.0,7.246,0.072611,0.087491,0.32001,0.17123,0.14878,0.065,200.0,7.246,0.061352,0.076493,0.27537,0.1491,0.12627,0.133,200.0,7.246
8,0.07,0.07861,0.093536,0.34417,0.18334,0.16082,0.04,200.0,7.246,0.069282,0.083958,0.30631,0.16422,0.14208,0.065,200.0,7.246,0.058051,0.072835,0.26147,0.14189,0.11958,0.133,200.0,7.246
9,0.08,0.075229,0.09002,0.33038,0.17635,0.15403,0.04,200.0,7.246,0.065994,0.080476,0.29277,0.15731,0.13546,0.065,200.0,7.246,0.054821,0.069266,0.24789,0.13484,0.11305,0.133,200.0,7.246
