,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10034,0.11663,0.41186,0.21102,0.20084,480.0,480.0,480.0,0.091337,0.10758,0.37779,0.19464,0.18315,540.0,540.0,540.0,0.080941,0.098604,0.34147,0.17841,0.16306,600.0,600.0,600.0
1,0.0,0.10034,0.11663,0.41186,0.21102,0.20084,0.043,200.0,7.246,0.091337,0.10758,0.37779,0.19464,0.18315,0.065,200.0,7.246,0.080941,0.098604,0.34147,0.17841,0.16306,0.133,200.0,7.246
2,0.01,0.098709,0.11481,0.42426,0.22345,0.20081,0.043,200.0,7.246,0.08956,0.10555,0.38762,0.20512,0.1825,0.065,200.0,7.246,0.078711,0.09591,0.34681,0.18573,0.16108,0.133,200.0,7.246
3,0.02,0.095438,0.11136,0.4127,0.21813,0.19457,0.043,200.0,7.246,0.086321,0.10206,0.37588,0.1996,0.17628,0.065,200.0,7.246,0.075264,0.09201,0.33359,0.17925,0.15435,0.133,200.0,7.246
4,0.03,0.091953,0.1077,0.39893,0.21127,0.18766,0.043,200.0,7.246,0.082908,0.098406,0.36221,0.19273,0.16948,0.065,200.0,7.246,0.071716,0.088028,0.31894,0.17171,0.14722,0.133,200.0,7.246
5,0.04,0.088436,0.10402,0.38468,0.20407,0.18061,0.043,200.0,7.246,0.079482,0.094749,0.34819,0.18559,0.1626,0.065,200.0,7.246,0.068203,0.0841,0.3042,0.16407,0.14013,0.133,200.0,7.246
6,0.05,0.084931,0.10035,0.3704,0.19683,0.17357,0.043,200.0,7.246,0.076084,0.091129,0.33421,0.17845,0.15576,0.065,200.0,7.246,0.064757,0.080259,0.28968,0.15653,0.13315,0.133,200.0,7.246
7,0.06,0.081453,0.096717,0.3562,0.18961,0.16659,0.043,200.0,7.246,0.072725,0.087557,0.32038,0.17138,0.149,0.065,200.0,7.246,0.061385,0.076512,0.27547,0.14914,0.12633,0.133,200.0,7.246
8,0.07,0.078004,0.093118,0.34211,0.18246,0.15966,0.043,200.0,7.246,0.069407,0.084036,0.30671,0.16439,0.14232,0.065,200.0,7.246,0.058087,0.072857,0.26159,0.14193,0.11965,0.133,200.0,7.246
9,0.08,0.074586,0.089556,0.32816,0.17537,0.15279,0.043,200.0,7.246,0.066131,0.080564,0.29323,0.1575,0.13572,0.065,200.0,7.246,0.05486,0.069291,0.24802,0.13489,0.11312,0.133,200.0,7.246
10,0.09,0.071197,0.086028,0.31433,0.16836,0.14598,0.043,200.0,7.246,0.062894,0.077141,0.27991,0.15071,0.12921,0.065,200.0,7.246,0.0517,0.065811,0.23475,0.12802,0.10673,0.133,200.0,7.246
11,0.1,0.067836,0.082535,0.30063,0.16141,0.13922,0.043,200.0,7.246,0.059695,0.073764,0.26677,0.144,0.12277,0.065,200.0,7.246,0.048605,0.062412,0.22178,0.12131,0.10048,0.133,200.0,7.246
12,0.11,0.064502,0.079075,0.28705,0.15452,0.13253,0.043,200.0,7.246,0.056532,0.070432,0.25379,0.13738,0.11641,0.065,200.0,7.246,0.04557,0.05909,0.20908,0.11474,0.094341,0.133,200.0,7.246
13,0.12,0.061194,0.075646,0.27358,0.14769,0.12589,0.043,200.0,7.246,0.053403,0.067142,0.24096,0.13084,0.11011,0.065,200.0,7.246,0.04259,0.055841,0.19664,0.10831,0.088324,0.133,200.0,7.246
14,0.13,0.05791,0.072248,0.26022,0.14093,0.11929,0.043,200.0,7.246,0.050306,0.063893,0.22827,0.12439,0.10388,0.065,200.0,7.246,0.039664,0.052661,0.18444,0.10202,0.082415,0.133,200.0,7.246
15,0.14,0.05465,0.068878,0.24696,0.13422,0.11275,0.043,200.0,7.246,0.047239,0.060682,0.21572,0.118,0.097719,0.065,200.0,7.246,0.036787,0.049546,0.17247,0.09586,0.076609,0.133,200.0,7.246
16,0.15,0.051411,0.065536,0.23381,0.12756,0.10625,0.043,200.0,7.246,0.044201,0.057508,0.2033,0.11169,0.091613,0.065,200.0,7.246,0.033955,0.046493,0.16071,0.089814,0.070897,0.133,200.0,7.246
17,0.16,0.048192,0.06222,0.22074,0.12096,0.099786,0.043,200.0,7.246,0.04119,0.054368,0.19101,0.10545,0.08556,0.065,200.0,7.246,0.031164,0.043496,0.14915,0.083878,0.065271,0.133,200.0,7.246
18,0.17,0.044992,0.058928,0.20776,0.1144,0.093364,0.043,200.0,7.246,0.038202,0.051261,0.17882,0.099265,0.079557,0.065,200.0,7.246,0.028412,0.040553,0.13777,0.078044,0.059722,0.133,200.0,7.246
19,0.18,0.04181,0.055659,0.19485,0.10788,0.086972,0.043,200.0,7.246,0.035237,0.048183,0.16673,0.093138,0.073594,0.065,200.0,7.246,0.025693,0.037658,0.12654,0.072302,0.054237,0.133,200.0,7.246
20,0.19,0.038639,0.052407,0.18198,0.10139,0.080589,0.043,200.0,7.246,0.032288,0.04513,0.1547,0.087054,0.067646,0.065,200.0,7.246,0.023,0.034804,0.11541,0.066631,0.048781,0.133,200.0,7.246
