,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.096528,0.11663,0.4037,480.0,480.0,480.0,0.087251,0.10758,0.36906,540.0,540.0,540.0,0.077084,0.098604,0.33291,600.0,600.0,600.0
1,0.0,0.19283,0.21285,0.84579,0.043,2277.0,9.6545,0.17422,0.19448,0.7672,0.066613,2277.0,9.6545,0.15379,0.17525,0.6822,0.11822,2277.0,9.6545
2,0.01,0.1847,0.20438,0.78675,0.043,2277.0,9.6545,0.16634,0.18611,0.7125,0.066613,2277.0,9.6545,0.14597,0.16667,0.6317,0.11822,2277.0,9.6545
3,0.02,0.17729,0.19665,0.75732,0.043,2277.0,9.6545,0.15898,0.1783,0.68298,0.066613,2277.0,9.6545,0.13843,0.1584,0.6009,0.11822,2277.0,9.6545
4,0.03,0.16979,0.18883,0.72641,0.043,2277.0,9.6545,0.15158,0.17045,0.65223,0.066613,2277.0,9.6545,0.13093,0.15021,0.56927,0.11822,2277.0,9.6545
5,0.04,0.16237,0.18111,0.69577,0.043,2277.0,9.6545,0.14431,0.16276,0.62196,0.066613,2277.0,9.6545,0.12365,0.14228,0.5385,0.11822,2277.0,9.6545
6,0.05,0.15506,0.17351,0.66558,0.043,2277.0,9.6545,0.1372,0.15524,0.59232,0.066613,2277.0,9.6545,0.11661,0.13462,0.50873,0.11822,2277.0,9.6545
7,0.06,0.14786,0.16603,0.63585,0.043,2277.0,9.6545,0.13023,0.14789,0.56332,0.066613,2277.0,9.6545,0.10978,0.12722,0.47992,0.11822,2277.0,9.6545
8,0.07,0.14076,0.15867,0.60655,0.043,2277.0,9.6545,0.1234,0.1407,0.53492,0.066613,2277.0,9.6545,0.10317,0.12006,0.45204,0.11822,2277.0,9.6545
9,0.08,0.13376,0.15142,0.57768,0.043,2277.0,9.6545,0.1167,0.13366,0.5071,0.066613,2277.0,9.6545,0.09676,0.11313,0.42502,0.11822,2277.0,9.6545
10,0.09,0.12685,0.14427,0.5492,0.043,2277.0,9.6545,0.11013,0.12676,0.47982,0.066613,2277.0,9.6545,0.090532,0.10642,0.39881,0.11822,2277.0,9.6545
11,0.1,0.12003,0.13722,0.52109,0.043,2277.0,9.6545,0.10368,0.12,0.45305,0.066613,2277.0,9.6545,0.084476,0.099906,0.37337,0.11822,2277.0,9.6545
12,0.11,0.11329,0.13026,0.49335,0.043,2277.0,9.6545,0.097335,0.11337,0.42677,0.066613,2277.0,9.6545,0.078583,0.093588,0.34864,0.11822,2277.0,9.6545
13,0.12,0.10662,0.1234,0.46595,0.043,2277.0,9.6545,0.091098,0.10686,0.40095,0.066613,2277.0,9.6545,0.072839,0.087448,0.32458,0.11822,2277.0,9.6545
14,0.13,0.10004,0.11662,0.43887,0.043,2277.0,9.6545,0.084958,0.10046,0.37556,0.066613,2277.0,9.6545,0.067235,0.081476,0.30114,0.11822,2277.0,9.6545
15,0.14,0.093516,0.10992,0.41209,0.043,2277.0,9.6545,0.078909,0.094174,0.35057,0.066613,2277.0,9.6545,0.06176,0.07566,0.27827,0.11822,2277.0,9.6545
16,0.15,0.087061,0.10329,0.38559,0.043,2277.0,9.6545,0.072946,0.087987,0.32596,0.066613,2277.0,9.6545,0.056403,0.069988,0.25594,0.11822,2277.0,9.6545
17,0.16,0.080665,0.09674,0.35936,0.043,2277.0,9.6545,0.067061,0.081894,0.3017,0.066613,2277.0,9.6545,0.051153,0.064451,0.2341,0.11822,2277.0,9.6545
18,0.17,0.074326,0.090253,0.33338,0.043,2277.0,9.6545,0.061247,0.075889,0.27776,0.066613,2277.0,9.6545,0.046002,0.059036,0.2127,0.11822,2277.0,9.6545
19,0.18,0.068037,0.083828,0.30763,0.043,2277.0,9.6545,0.055499,0.069966,0.25412,0.066613,2277.0,9.6545,0.040938,0.053735,0.19171,0.11822,2277.0,9.6545
20,0.19,0.061794,0.077459,0.28207,0.043,2277.0,9.6545,0.049809,0.064115,0.23073,0.066613,2277.0,9.6545,0.03595,0.048533,0.17106,0.11822,2277.0,9.6545
21,0.2,0.055846,0.071388,0.25756,0.043,303.0,1.2847,0.044396,0.058546,0.20829,0.066613,303.0,1.2847,0.031219,0.043598,0.15122,0.11822,303.0,1.2847
22,0.21,0.055063,0.070496,0.25411,0.043,303.0,1.2847,0.043699,0.057711,0.20511,0.066613,303.0,1.2847,0.03063,0.042832,0.14839,0.11822,303.0,1.2847
23,0.22,0.054289,0.069613,0.25072,0.043,303.0,1.2847,0.043011,0.056888,0.20202,0.066613,303.0,1.2847,0.030054,0.042083,0.14567,0.11822,303.0,1.2847
24,0.23,0.053521,0.068738,0.24738,0.043,303.0,1.2847,0.042332,0.056075,0.19898,0.066613,303.0,1.2847,0.029489,0.041347,0.14301,0.11822,303.0,1.2847
25,0.24,0.052759,0.067871,0.24408,0.043,303.0,1.2847,0.04166,0.055272,0.19598,0.066613,303.0,1.2847,0.028933,0.040623,0.14041,0.11822,303.0,1.2847
26,0.25,0.052002,0.06701,0.2408,0.043,303.0,1.2847,0.040995,0.054478,0.19302,0.066613,303.0,1.2847,0.028385,0.039911,0.13785,0.11822,303.0,1.2847
27,0.26,0.051251,0.066156,0.23754,0.043,303.0,1.2847,0.040336,0.053691,0.19009,0.066613,303.0,1.2847,0.027845,0.039209,0.13534,0.11822,303.0,1.2847
28,0.27,0.050505,0.065309,0.23432,0.043,303.0,1.2847,0.039684,0.052913,0.1872,0.066613,303.0,1.2847,0.027313,0.038519,0.13286,0.11822,303.0,1.2847
29,0.28,0.049764,0.064468,0.23111,0.043,303.0,1.2847,0.039037,0.052143,0.18433,0.066613,303.0,1.2847,0.026788,0.037838,0.13043,0.11822,303.0,1.2847
