,depths,Eu_480.0,Ed_480.0,Eo_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.081966,0.11663,0.37778,480.0,480.0,480.0,0.072721,0.10758,0.34305,540.0,540.0,540.0,0.062965,0.098604,0.30751,600.0,600.0,600.0
1,0.0,0.16585,0.20045,0.7591,0.043,2000.0,1.52,0.14695,0.18175,0.67824,0.066613,2000.0,1.52,0.12695,0.16254,0.59339,0.11822,2000.0,1.52
2,0.01,0.16172,0.19601,0.72814,0.043,2000.0,1.52,0.14308,0.17744,0.65149,0.066613,2000.0,1.52,0.12336,0.15827,0.57118,0.11822,2000.0,1.52
3,0.02,0.15758,0.19155,0.7152,0.043,2000.0,1.52,0.13898,0.17291,0.6385,0.066613,2000.0,1.52,0.1193,0.15355,0.55798,0.11822,2000.0,1.52
4,0.03,0.15288,0.18655,0.69702,0.043,2000.0,1.52,0.13434,0.16785,0.62032,0.066613,2000.0,1.52,0.11474,0.14833,0.53962,0.11822,2000.0,1.52
5,0.04,0.148,0.18138,0.67697,0.043,2000.0,1.52,0.12955,0.16266,0.60038,0.066613,2000.0,1.52,0.11004,0.14302,0.51964,0.11822,2000.0,1.52
6,0.05,0.14309,0.17619,0.6564,0.043,2000.0,1.52,0.12473,0.15745,0.57999,0.066613,2000.0,1.52,0.10536,0.13773,0.49937,0.11822,2000.0,1.52
7,0.06,0.13819,0.17102,0.63576,0.043,2000.0,1.52,0.11995,0.15229,0.5596,0.066613,2000.0,1.52,0.10073,0.13253,0.47923,0.11822,2000.0,1.52
8,0.07,0.13332,0.16588,0.61521,0.043,2000.0,1.52,0.1152,0.14718,0.53937,0.066613,2000.0,1.52,0.096169,0.12741,0.45937,0.11822,2000.0,1.52
9,0.08,0.12848,0.16079,0.5948,0.043,2000.0,1.52,0.1105,0.14213,0.51934,0.066613,2000.0,1.52,0.091675,0.12239,0.43982,0.11822,2000.0,1.52
10,0.09,0.12368,0.15574,0.57453,0.043,2000.0,1.52,0.10585,0.13714,0.49952,0.066613,2000.0,1.52,0.087248,0.11746,0.42059,0.11822,2000.0,1.52
11,0.1,0.11891,0.15072,0.55442,0.043,2000.0,1.52,0.10124,0.13221,0.4799,0.066613,2000.0,1.52,0.082886,0.11261,0.40167,0.11822,2000.0,1.52
12,0.11,0.11417,0.14575,0.53445,0.043,2000.0,1.52,0.096672,0.12733,0.46048,0.066613,2000.0,1.52,0.078585,0.10785,0.38305,0.11822,2000.0,1.52
13,0.12,0.10946,0.14082,0.51463,0.043,2000.0,1.52,0.092145,0.1225,0.44125,0.066613,2000.0,1.52,0.074343,0.10317,0.36471,0.11822,2000.0,1.52
