,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0
0,0.0,0.10139,0.11663,0.4136,0.21102,0.20258,480.0,480.0,480.0,0.092678,0.10758,0.38003,0.19464,0.18539,540.0,540.0,540.0,0.084092,0.098604,0.34686,0.17841,0.16845,600.0,600.0,600.0
1,0.0,0.10139,0.11663,0.4136,0.21102,0.20258,0.31,800.0,28.984,0.092678,0.10758,0.38003,0.19464,0.18539,0.38,800.0,28.984,0.084092,0.098604,0.34686,0.17841,0.16845,0.45,800.0,28.984
2,0.01,0.091036,0.10499,0.39171,0.20635,0.18535,0.31,800.0,28.984,0.08255,0.096008,0.35675,0.1885,0.16825,0.38,800.0,28.984,0.074196,0.087158,0.32233,0.17092,0.15141,0.45,800.0,28.984
3,0.02,0.079196,0.092013,0.34219,0.18076,0.16143,0.31,800.0,28.984,0.071289,0.083482,0.30929,0.16384,0.14545,0.38,800.0,28.984,0.063468,0.075085,0.27684,0.14718,0.12966,0.45,800.0,28.984
4,0.03,0.068252,0.080079,0.29647,0.15716,0.13931,0.31,800.0,28.984,0.061019,0.07212,0.26606,0.14141,0.12466,0.38,800.0,28.984,0.05379,0.064254,0.23586,0.12582,0.11004,0.45,800.0,28.984
5,0.04,0.058094,0.069068,0.25416,0.13536,0.1188,0.31,800.0,28.984,0.051611,0.061778,0.22659,0.12097,0.10563,0.38,800.0,28.984,0.045012,0.0545,0.19883,0.10657,0.092259,0.45,800.0,28.984
6,0.05,0.04872,0.058971,0.21522,0.11535,0.099874,0.28,600.0,21.738,0.043037,0.05242,0.19075,0.10246,0.088298,0.3,600.0,21.738,0.037085,0.045762,0.16553,0.089312,0.076218,0.35,600.0,21.738
7,0.06,0.042054,0.051741,0.18744,0.10103,0.086412,0.28,600.0,21.738,0.036951,0.0458,0.16536,0.089356,0.076004,0.3,600.0,21.738,0.031491,0.039631,0.1421,0.077192,0.064911,0.35,600.0,21.738
8,0.07,0.035718,0.044917,0.16114,0.087511,0.07363,0.28,600.0,21.738,0.031174,0.039563,0.14135,0.077006,0.064348,0.3,600.0,21.738,0.026206,0.033887,0.12007,0.065828,0.054238,0.35,600.0,21.738
9,0.08,0.02966,0.038444,0.1361,0.074676,0.061423,0.28,600.0,21.738,0.025658,0.033658,0.11853,0.0653,0.05323,0.3,600.0,21.738,0.021176,0.028474,0.099201,0.055106,0.044095,0.35,600.0,21.738
10,0.09,0.023834,0.03227,0.11211,0.062423,0.049692,0.28,600.0,21.738,0.020356,0.028033,0.096691,0.054138,0.042552,0.3,600.0,21.738,0.016352,0.023338,0.079298,0.04492,0.034378,0.35,600.0,21.738
11,0.1,0.018369,0.026523,0.089538,0.050971,0.038567,0.19,180.0,6.5214,0.015382,0.022798,0.076114,0.043703,0.03241,0.23,180.0,6.5214,0.01183,0.018568,0.060547,0.035409,0.025138,0.3,180.0,6.5214
12,0.11,0.017735,0.025722,0.08662,0.049369,0.037251,0.19,180.0,2.3814,0.014812,0.022056,0.07344,0.042218,0.031222,0.23,180.0,2.3814,0.011319,0.017879,0.058095,0.034027,0.024067,0.3,180.0,2.3814
