,depths,Eu_480.0,Ed_480.0,Eo_480.0,Eod_480.0,Eou_480.0,a_480.0,b_480.0,bb_480.0,Kd_480.0,Eu_540.0,Ed_540.0,Eo_540.0,Eod_540.0,Eou_540.0,a_540.0,b_540.0,bb_540.0,Kd_540.0,Eu_600.0,Ed_600.0,Eo_600.0,Eod_600.0,Eou_600.0,a_600.0,b_600.0,bb_600.0,Kd_600.0,g
0,0.0,0.10259,0.11663,0.41613,0.21102,0.20511,480.0,480.0,480.0,480.0,0.094002,0.10758,0.38275,0.19464,0.18811,540.0,540.0,540.0,540.0,0.085193,0.098604,0.34915,0.17841,0.17074,600.0,600.0,600.0,600.0,0.0
1,0.0,0.10259,0.11663,0.41613,0.21102,0.20511,0.12,510.0,29.09,-0.49138,0.094002,0.10758,0.38275,0.19464,0.18811,0.15,510.0,29.09,0.16756,0.085193,0.098604,0.34915,0.17841,0.17074,0.22,510.0,29.09,1.3221,0.78
2,0.01,0.09357,0.1071,0.40108,0.2107,0.19039,0.12,510.0,29.09,11.034,0.085221,0.098217,0.36661,0.19306,0.17355,0.15,510.0,29.09,11.608,0.076491,0.089133,0.33095,0.17497,0.15598,0.22,510.0,29.09,12.561,0.78
3,0.02,0.082393,0.095473,0.35563,0.18767,0.16795,0.12,510.0,29.09,12.051,0.074561,0.08704,0.32308,0.17095,0.15213,0.15,510.0,29.09,12.658,0.066282,0.078242,0.28889,0.15346,0.13543,0.22,510.0,29.09,13.61,0.78
4,0.03,0.071525,0.084205,0.31137,0.16524,0.14612,0.12,510.0,29.09,13.234,0.064257,0.076282,0.28098,0.14955,0.13142,0.15,510.0,29.09,13.904,0.056549,0.067918,0.2488,0.13297,0.11583,0.22,510.0,29.09,14.877,0.78
5,0.04,0.060951,0.073283,0.26839,0.14349,0.1249,0.12,510.0,29.09,14.777,0.054283,0.065918,0.24032,0.12893,0.11139,0.15,510.0,29.09,15.547,0.047243,0.058107,0.21059,0.11348,0.097104,0.22,510.0,29.09,16.585,0.78
6,0.05,0.050628,0.062663,0.22651,0.12233,0.10418,0.12,510.0,29.09,16.85,0.044589,0.055894,0.20089,0.10897,0.091923,0.15,510.0,29.09,17.793,0.038295,0.048736,0.17397,0.094856,0.079112,0.22,510.0,29.09,18.967,0.78
7,0.06,0.040713,0.052505,0.18632,0.10207,0.084252,0.08,300.0,17.112,5.4761,0.035311,0.046346,0.16319,0.089934,0.073254,0.11,300.0,17.112,5.9217,0.029804,0.039906,0.13928,0.077277,0.062002,0.15,300.0,17.112,6.3848,0.9
8,0.07,0.038022,0.049668,0.17527,0.096434,0.078836,0.08,300.0,6.888,5.6798,0.03281,0.043671,0.15283,0.08462,0.068209,0.11,300.0,6.888,6.0744,0.027536,0.037437,0.12979,0.072377,0.057417,0.15,300.0,6.888,6.5207,0.9
9,0.08,0.035362,0.046872,0.16436,0.090877,0.073486,0.08,300.0,6.888,5.9408,0.030349,0.041047,0.14267,0.079414,0.063251,0.11,300.0,6.888,6.3511,0.025315,0.035027,0.12054,0.067606,0.052933,0.15,300.0,6.888,6.8219,0.9
10,0.09,0.032729,0.044112,0.15358,0.08539,0.068192,0.08,300.0,6.888,6.2367,0.02792,0.038467,0.13265,0.074294,0.058361,0.11,300.0,6.888,6.6731,0.02313,0.032668,0.11146,0.062935,0.048525,0.15,300.0,6.888,7.1667,0.9
11,0.1,0.03012,0.041385,0.14292,0.079968,0.062949,0.08,300.0,6.888,6.5695,0.02552,0.035927,0.12278,0.069252,0.053531,0.11,300.0,6.888,7.0375,0.020978,0.030356,0.10254,0.058354,0.044187,0.15,300.0,6.888,7.5702,0.9
12,0.11,0.027535,0.038689,0.13236,0.074607,0.057754,0.08,300.0,6.888,6.9494,0.023147,0.033423,0.11304,0.064282,0.048756,0.11,300.0,6.888,7.4569,0.018855,0.028086,0.093766,0.053856,0.039911,0.15,300.0,6.888,8.0331,0.9
13,0.12,0.02497,0.036022,0.1219,0.0693,0.052599,0.08,300.0,6.888,7.3881,0.020797,0.030955,0.10341,0.059377,0.044029,0.11,300.0,6.888,7.9515,0.016759,0.025856,0.085119,0.049432,0.035687,0.15,300.0,6.888,8.5865,0.9
14,0.13,0.022422,0.033381,0.11152,0.064042,0.047476,0.08,300.0,6.888,7.9055,0.018467,0.028516,0.093866,0.054529,0.039338,0.11,300.0,6.888,8.5368,0.014685,0.02366,0.076577,0.045073,0.031504,0.15,300.0,6.888,9.251,0.9
15,0.14,0.019886,0.03076,0.10118,0.058818,0.042359,0.08,300.0,6.888,8.5335,0.016151,0.026102,0.084373,0.04972,0.034652,0.11,300.0,6.888,9.2625,0.012625,0.021491,0.068086,0.04076,0.027327,0.15,300.0,6.888,10.098,0.9
16,0.15,0.017423,0.02822,0.090921,0.05371,0.037211,0.06,103.0,2.3649,0.83153,0.013898,0.023761,0.074901,0.045006,0.029894,0.09,103.0,2.3649,0.93951,0.010619,0.019389,0.059564,0.03652,0.023044,0.13,103.0,2.3649,1.1049,0.98
17,0.16,0.017251,0.027994,0.090107,0.053256,0.036851,0.06,103.0,0.43672,0.80236,0.013747,0.023542,0.074129,0.044559,0.02957,0.09,103.0,0.43672,0.92054,0.010488,0.019181,0.058844,0.036087,0.022757,0.13,103.0,0.43672,1.0703,0.98
18,0.17,0.017081,0.02777,0.089306,0.052809,0.036497,0.06,103.0,0.43672,0.80522,0.013597,0.023326,0.073377,0.044124,0.029253,0.09,103.0,0.43672,0.92096,0.010361,0.018978,0.058155,0.035674,0.022481,0.13,103.0,0.43672,1.0662,0.98
19,0.18,0.016912,0.027547,0.088512,0.052367,0.036145,0.06,103.0,0.43672,0.80582,0.013449,0.023112,0.072637,0.043698,0.02894,0.09,103.0,0.43672,0.92036,0.010235,0.018776,0.057482,0.035272,0.022209,0.13,103.0,0.43672,1.064,0.98
20,0.19,0.016744,0.027327,0.087727,0.05193,0.035796,0.06,103.0,0.43672,0.80707,0.013302,0.0229,0.071909,0.043279,0.02863,0.09,103.0,0.43672,0.91982,0.010111,0.018578,0.056822,0.034879,0.021942,0.13,103.0,0.43672,1.0622,0.98
21,0.2,0.016577,0.027107,0.086948,0.051498,0.03545,0.06,103.0,0.43672,0.8091,0.013157,0.022691,0.071189,0.042865,0.028324,0.09,103.0,0.43672,0.91941,0.0099878,0.018382,0.056173,0.034493,0.021679,0.13,103.0,0.43672,1.0598,0.98
22,0.21,0.016411,0.02689,0.086175,0.051069,0.035106,0.06,103.0,0.43672,0.80683,0.013013,0.022483,0.070477,0.042457,0.02802,0.09,103.0,0.43672,0.92161,0.0098662,0.018187,0.055534,0.034114,0.021419,0.13,103.0,0.43672,1.0619,0.98
23,0.22,0.016246,0.026673,0.085408,0.050644,0.034764,0.06,103.0,0.43672,0.80725,0.012869,0.022276,0.069773,0.042054,0.027719,0.09,103.0,0.43672,0.9237,0.009746,0.017995,0.054903,0.03374,0.021163,0.13,103.0,0.43672,1.0612,0.98
24,0.23,0.016082,0.026458,0.084647,0.050223,0.034424,0.06,103.0,0.43672,0.80958,0.012727,0.022072,0.069076,0.041655,0.027421,0.09,103.0,0.43672,0.92418,0.0096269,0.017805,0.054281,0.033372,0.020909,0.13,103.0,0.43672,1.0624,0.98
25,0.24,0.015919,0.026244,0.08389,0.049804,0.034086,0.06,103.0,0.43672,0.81232,0.012586,0.021869,0.068386,0.041261,0.027125,0.09,103.0,0.43672,0.92621,0.0095089,0.017617,0.053667,0.033009,0.020658,0.13,103.0,0.43672,1.0599,0.98
26,0.25,0.015756,0.026031,0.083139,0.049389,0.03375,0.06,103.0,0.43672,0.81585,0.012446,0.021667,0.067702,0.04087,0.026832,0.09,103.0,0.43672,0.92562,0.0093921,0.017431,0.053059,0.03265,0.02041,0.13,103.0,0.43672,1.0603,0.98
27,0.26,0.015594,0.02582,0.082392,0.048976,0.033416,0.06,103.0,0.43672,0.81717,0.012307,0.021468,0.067023,0.040483,0.026541,0.09,103.0,0.43672,0.92467,0.0092764,0.017247,0.052459,0.032295,0.020164,0.13,103.0,0.43672,1.0622,0.98
28,0.27,0.015433,0.02561,0.08165,0.048566,0.033084,0.06,103.0,0.43672,0.81991,0.012169,0.02127,0.066351,0.040099,0.026252,0.09,103.0,0.43672,0.92837,0.0091617,0.017064,0.051865,0.031945,0.01992,0.13,103.0,0.43672,1.0648,0.98
29,0.28,0.015273,0.025401,0.080912,0.048159,0.032753,0.06,103.0,0.43672,0.81818,0.012031,0.021073,0.065683,0.039719,0.025964,0.09,103.0,0.43672,0.9289,0.009048,0.016884,0.051277,0.031598,0.019679,0.13,103.0,0.43672,1.0654,0.98
30,0.29,0.015114,0.025193,0.080178,0.047755,0.032424,0.06,103.0,0.43672,0.82212,0.011895,0.020878,0.065021,0.039342,0.025679,0.09,103.0,0.43672,0.93052,0.0089352,0.016705,0.050696,0.031255,0.01944,0.13,103.0,0.43672,1.0657,0.98
31,0.3,0.014955,0.024986,0.079449,0.047353,0.032096,0.06,103.0,0.43672,0.82516,0.011759,0.020684,0.064364,0.038968,0.025396,0.09,103.0,0.43672,0.93374,0.0088234,0.016527,0.05012,0.030916,0.019203,0.13,103.0,0.43672,1.0664,0.98
32,0.31,0.014797,0.024781,0.078723,0.046953,0.03177,0.06,103.0,0.43672,0.82707,0.011625,0.020491,0.063712,0.038597,0.025115,0.09,103.0,0.43672,0.936,0.0087126,0.016352,0.04955,0.030581,0.018969,0.13,103.0,0.43672,1.0685,0.98
33,0.32,0.014639,0.024577,0.078001,0.046556,0.031446,0.06,103.0,0.43672,0.82886,0.011491,0.020301,0.063065,0.038229,0.024836,0.09,103.0,0.43672,0.93875,0.0086027,0.016178,0.048985,0.030249,0.018736,0.13,103.0,0.43672,1.0689,0.98
34,0.33,0.014483,0.024373,0.077283,0.04616,0.031123,0.06,103.0,0.43672,0.83274,0.011358,0.020111,0.062422,0.037864,0.024558,0.09,103.0,0.43672,0.93851,0.0084936,0.016005,0.048426,0.02992,0.018506,0.13,103.0,0.43672,1.0722,0.98
35,0.34,0.014327,0.024171,0.076569,0.045768,0.030801,0.06,103.0,0.43672,0.83309,0.011225,0.019923,0.061784,0.037502,0.024282,0.09,103.0,0.43672,0.94251,0.0083854,0.015835,0.047872,0.029595,0.018277,0.13,103.0,0.43672,1.0731,0.98
36,0.35,0.014171,0.02397,0.075859,0.045377,0.030481,0.06,103.0,0.43672,0.83775,0.011094,0.019736,0.061151,0.037143,0.024008,0.09,103.0,0.43672,0.94358,0.0082781,0.015665,0.047323,0.029273,0.01805,0.13,103.0,0.43672,1.0735,0.98
37,0.36,0.014017,0.02377,0.075152,0.044989,0.030163,0.06,103.0,0.43672,0.83924,0.010963,0.01955,0.060522,0.036786,0.023736,0.09,103.0,0.43672,0.94483,0.0081716,0.015498,0.046779,0.028953,0.017825,0.13,103.0,0.43672,1.0762,0.98
38,0.37,0.013862,0.023571,0.074448,0.044603,0.029845,0.06,103.0,0.43672,0.84228,0.010833,0.019366,0.059897,0.036432,0.023465,0.09,103.0,0.43672,0.94967,0.008066,0.015332,0.04624,0.028638,0.017603,0.13,103.0,0.43672,1.0791,0.98
39,0.38,0.013709,0.023373,0.073748,0.044219,0.02953,0.06,103.0,0.43672,0.84377,0.010704,0.019183,0.059277,0.03608,0.023196,0.09,103.0,0.43672,0.94979,0.0079611,0.015167,0.045706,0.028325,0.017381,0.13,103.0,0.43672,1.0804,0.98
40,0.39,0.013556,0.023176,0.073052,0.043837,0.029215,0.06,103.0,0.43672,0.84753,0.010575,0.019002,0.05866,0.035732,0.022929,0.09,103.0,0.43672,0.95199,0.0078571,0.015004,0.045176,0.028014,0.017162,0.13,103.0,0.43672,1.0803,0.98
41,0.4,0.013404,0.02298,0.072358,0.043456,0.028902,0.06,103.0,0.43672,0.84926,0.010448,0.018822,0.058048,0.035385,0.022663,0.09,103.0,0.43672,0.95331,0.0077538,0.014842,0.044652,0.027707,0.016944,0.13,103.0,0.43672,1.0824,0.98
42,0.41,0.013252,0.022785,0.071668,0.043078,0.02859,0.06,103.0,0.43672,0.85266,0.01032,0.018643,0.05744,0.035041,0.022399,0.09,103.0,0.43672,0.95575,0.0076513,0.014682,0.044131,0.027403,0.016728,0.13,103.0,0.43672,1.0849,0.98
43,0.42,0.013101,0.022592,0.070982,0.042702,0.028279,0.06,103.0,0.43672,0.8557,0.010194,0.018465,0.056836,0.0347,0.022136,0.09,103.0,0.43672,0.95939,0.0075496,0.014523,0.043615,0.027101,0.016514,0.13,103.0,0.43672,1.0894,0.98
44,0.43,0.012951,0.022399,0.070298,0.042328,0.02797,0.06,103.0,0.43672,0.85904,0.010068,0.018288,0.056235,0.034361,0.021875,0.09,103.0,0.43672,0.96166,0.0074485,0.014366,0.043104,0.026802,0.016301,0.13,103.0,0.43672,1.0923,0.98
45,0.44,0.012801,0.022207,0.069618,0.041956,0.027662,0.06,103.0,0.43672,0.86304,0.0099433,0.018113,0.055639,0.034024,0.021615,0.09,103.0,0.43672,0.96464,0.0073483,0.01421,0.042597,0.026506,0.01609,0.13,103.0,0.43672,1.0932,0.98
46,0.45,0.012651,0.022016,0.068941,0.041586,0.027355,0.06,103.0,0.43672,0.86549,0.0098189,0.017939,0.055046,0.033689,0.021356,0.09,103.0,0.43672,0.96751,0.0072487,0.014055,0.042094,0.026213,0.015881,0.13,103.0,0.43672,1.0924,0.98
47,0.46,0.012503,0.021826,0.068267,0.041217,0.027049,0.06,103.0,0.43672,0.86692,0.0096952,0.017766,0.054457,0.033357,0.0211,0.09,103.0,0.43672,0.96989,0.0071499,0.013902,0.041595,0.025922,0.015673,0.13,103.0,0.43672,1.0991,0.98
48,0.47,0.012354,0.021637,0.067596,0.040851,0.026745,0.06,103.0,0.43672,0.87056,0.0095721,0.017594,0.053872,0.033027,0.020844,0.09,103.0,0.43672,0.973,0.0070517,0.01375,0.0411,0.025634,0.015467,0.13,103.0,0.43672,1.0991,0.98
49,0.48,0.012207,0.021449,0.066928,0.040486,0.026442,0.06,103.0,0.43672,0.87575,0.0094497,0.017423,0.05329,0.0327,0.02059,0.09,103.0,0.43672,0.97496,0.0069543,0.0136,0.040609,0.025348,0.015262,0.13,103.0,0.43672,1.1029,0.98
50,0.49,0.012059,0.021262,0.066262,0.040123,0.02614,0.06,103.0,0.43672,0.8804,0.0093279,0.017254,0.052712,0.032375,0.020337,0.09,103.0,0.43672,0.97998,0.0068575,0.01345,0.040123,0.025064,0.015058,0.13,103.0,0.43672,1.1039,0.98
51,0.5,0.011913,0.021076,0.0656,0.039761,0.025839,0.06,103.0,0.43672,0.88046,0.0092067,0.017085,0.052137,0.032051,0.020086,0.09,103.0,0.43672,0.9829,0.0067613,0.013302,0.03964,0.024784,0.014856,0.13,103.0,0.43672,1.1094,0.98
52,0.51,0.011767,0.020891,0.064941,0.039402,0.025539,0.06,103.0,0.43672,0.88446,0.0090861,0.016918,0.051566,0.03173,0.019836,0.09,103.0,0.43672,0.98499,0.0066659,0.013156,0.039161,0.024505,0.014656,0.13,103.0,0.43672,1.1099,0.98
53,0.52,0.011621,0.020706,0.064285,0.039044,0.02524,0.06,103.0,0.43672,0.88774,0.0089661,0.016752,0.050998,0.031411,0.019587,0.09,103.0,0.43672,0.9903,0.006571,0.01301,0.038686,0.024229,0.014457,0.13,103.0,0.43672,1.1127,0.98
54,0.53,0.011476,0.020523,0.063631,0.038688,0.024943,0.06,103.0,0.43672,0.89323,0.0088467,0.016587,0.050434,0.031094,0.01934,0.09,103.0,0.43672,0.99197,0.0064769,0.012866,0.038215,0.023955,0.014259,0.13,103.0,0.43672,1.1156,0.98
55,0.54,0.011331,0.02034,0.06298,0.038334,0.024646,0.06,103.0,0.43672,0.89573,0.0087279,0.016423,0.049873,0.03078,0.019094,0.09,103.0,0.43672,0.99483,0.0063833,0.012723,0.037747,0.023684,0.014063,0.13,103.0,0.43672,1.1182,0.98
56,0.55,0.011187,0.020158,0.062332,0.037981,0.024351,0.06,103.0,0.43672,0.89836,0.0086097,0.01626,0.049316,0.030467,0.018849,0.09,103.0,0.43672,0.99835,0.0062903,0.012582,0.037283,0.023415,0.013868,0.13,103.0,0.43672,1.1218,0.98
